Analyzed: Oh No It's Zombies Arctic Updated (311)

ID : 0 PlayerName: Might Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: ROY Race: Terran
ID : 3 PlayerName: xxxpro Race: Terran
ID : 4 PlayerName: limitcalm Race: Terran
ID : 5 PlayerName: Ahanax Race: Terran
ID : 6 PlayerName: Tin Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Frosky Zombie Loss
Public Lobby

Game Length:[42:943]
Players ammount: 8
Marine rank avg: 5,833333333333333
GrandMaster ammount: 3
PURCHASES: 
[00:588] Might Unlocked AssaultRifle
[01:285] Might Placed MiningDroid
[01:383] Might Unlocked IncendiaryGrenade
[03:758] Might Unlocked AdvancedDroidEngines
[05:160] Might Unlocked BeamRifle
[06:710] Might Unlocked SpecOpsPlasmaRifle
[09:991] Might Unlocked LongRangeScope
[10:035] Might Unlocked TurboDroidEngines
[11:888] Might Unlocked CombatSuit
[11:901] Might Unlocked AdvancedCombatSuit
[15:520] Might Unlocked SuperStimpack
[15:527] Might Unlocked SpecOpsSuperStimpack
[16:080] Might Unlocked ExplorationDroid
[18:321] Might Placed ExplorationDroid
[18:460] Might Unlocked SpecOpsIncendiaryGrenade
[20:011] Might Unlocked OverloadWeapon
[21:302] Might Placed ExplorationDroid
[21:421] Might Unlocked MiningCharge
[21:432] Might Unlocked AdvancedMiningCharge
[21:600] Might Placed NukePack
[21:938] Might Placed NukePack
[23:641] Might Placed NukePack
[26:316] Might Unlocked BioMechanicalRepairDrone
[26:350] Might Unlocked SpecOpsBioMechanicalRepairDrone
[26:386] Might Placed HealingDrone
[28:766] Might Placed HealingDrone
[30:213] Might Placed NukePack
[33:408] Might Placed NukePack
[33:903] Might Placed HealingDrone
[34:233] Might Unlocked PsiDisrupter
[34:276] Might Unlocked PsiDepressor
[34:576] Might Placed PsiIndoctrinator
[35:200] Might Placed NukePack
[36:677] Might Unlocked SpecOpsPsiDisruptor
[36:873] Might Placed PsiIndoctrinator
[38:262] Might Placed NukePack
[39:297] Might Placed HealingDrone
[39:965] Might Placed HealingDrone
[40:146] Might Placed HealingDrone
[40:348] Might Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[00:636] Frosky Spawned MassiveCocoon
[02:076] Frosky Spawned Hunter
[05:063] Frosky Bought CreepSpeed
[09:974] Frosky Bought CreepSpeed
[10:558] Frosky Placed/Upgraded ToxicNest
[10:569] Frosky Placed/Upgraded ToxicNest
[11:153] Frosky Placed/Upgraded ToxicNest
[11:424] Frosky Bought VirulentCreep
[11:424] Frosky Bought VirulentCreep
[11:889] Frosky Bought ShieldSuit
[11:889] Frosky Bought CombatSuit
[11:889] Frosky Bought HazmatSuit
[11:889] Frosky Bought CombatSuit
[11:902] Frosky Bought CombatSuit
[13:170] Frosky Placed/Upgraded NydusCanalCreeper
[14:126] Frosky Placed/Upgraded ToxicNest
[15:502] Frosky Bought StrainSpeed
[16:128] Frosky Bought PureStrainSpeed
[18:159] Frosky Placed/Upgraded ToxicNest
[18:170] Frosky Placed/Upgraded ToxicNest
[18:650] Frosky Bought SiphonFuel
[20:007] Frosky Bought UnlockDropPods
[21:325] Frosky Bought EvolveDropPods
[21:327] Frosky Bought EvolveDropPods
[22:020] Frosky Bought SiphonFuel
[23:713] Frosky Placed/Upgraded NydusCanalCreeper
[24:739] Frosky Bought SpawnNydusWorm
[25:753] Frosky Placed/Upgraded GreaterNydusWorm
[27:029] Frosky Bought StrainVolatile
[27:953] Frosky Bought EvolveDropPods
[29:315] Frosky Bought EvolveDropPods
[29:318] Frosky Bought EvolveDropPods
[30:839] Frosky Bought EvolveDropPods
[32:562] Frosky Bought SiphonFuel
[32:637] Frosky Bought HunterlingStrain
[33:247] Frosky Bought DropshipsFueled
[33:366] Frosky Bought UltimateInfestationResearched
[33:438] Frosky Bought StrainSpeed
[33:446] Frosky Bought PureStrainSpeed
[33:455] Frosky Bought HunterlingStrain
[33:463] Frosky Bought StrainSpeed
[33:468] Frosky Bought PureStrainSpeed
[33:478] Frosky Bought HunterlingStrain
[33:818] Frosky Spawned MassiveCocoon
[35:257] Frosky Spawned Underseer
[35:446] Frosky Bought StrainSpeed
[36:400] Frosky Bought PureStrainVolatile
[36:598] Frosky Placed/Upgraded GreaterNydusWorm
[37:997] Frosky Placed/Upgraded NydusCanalCreeper
[00:588] ROY Unlocked AssaultRifle
[00:796] ROY Placed/Upgraded MiningDroid
[00:866] ROY Unlocked AdvancedDroidEngines
[01:714] ROY Unlocked FragGrenade
[04:509] ROY Unlocked SpecOpsAssaultRifle
[05:665] ROY Unlocked BioMechanicalRepairDrone
[05:720] ROY Unlocked CombatAccelerationDrone
[06:517] ROY Placed/Upgraded HealingDrone
[06:781] ROY Placed/Upgraded HealingDrone
[07:482] ROY Placed/Upgraded HealingDrone
[09:726] ROY Unlocked AutoTargetingSystem
[15:244] ROY Placed/Upgraded MiningDroid
[17:201] ROY Unlocked ExplorationDroid
[17:280] ROY Unlocked OverloadWeapon
[17:438] ROY Placed/Upgraded ExplorationDroid
[17:962] ROY Placed/Upgraded ExplorationDroid
[18:499] ROY Placed/Upgraded HealingDrone
[18:820] ROY Placed/Upgraded HealingDrone
[18:946] ROY Placed/Upgraded ExplorationDroid
[19:385] ROY Placed/Upgraded HealingDrone
[19:511] ROY Unlocked PowerConverter
[20:853] ROY Unlocked CombatShield
[22:949] ROY Placed/Upgraded HealingDrone
[23:690] ROY Unlocked AIAssistant
[24:216] ROY Placed/Upgraded HealingDrone
[24:594] ROY Unlocked EnergySuit
[24:595] ROY Unlocked EnergySuit
[27:395] ROY Placed/Upgraded HealingDrone
[28:617] ROY Placed/Upgraded HealingDrone
[29:543] ROY Unlocked SpecOpsPowerConverter
[29:612] ROY Unlocked SpecOpsFragGrenade
[29:703] ROY Unlocked AdvancedEnergySuit
[29:704] ROY Unlocked EnergySuit
[29:704] ROY Unlocked AdvancedEnergySuit
[32:446] ROY Unlocked AdvancedExplorationDroid
[32:615] ROY Unlocked QuantumBackpack
[35:292] ROY Unlocked TurboDroidEngines
[35:747] ROY Placed/Upgraded ExplorationDroid
[37:084] ROY Placed/Upgraded MiningDroid
[38:555] ROY Unlocked MiningCharge
[38:591] ROY Unlocked AdvancedMiningCharge
[39:736] ROY Unlocked SpecOpsBioMechanicalRepairDrone
[40:988] ROY Placed/Upgraded MiningDroid
[00:588] xxxpro Unlocked AssaultRifle
[00:674] xxxpro Placed/Upgraded MiningDroid
[00:862] xxxpro Unlocked FragGrenade
[00:869] xxxpro Unlocked SpecOpsFragGrenade
[03:638] xxxpro Unlocked EnergyPack
[03:651] xxxpro Unlocked AIAssistant
[05:603] xxxpro Unlocked CombatShield
[08:469] xxxpro Placed/Upgraded MiningDroid
[11:696] xxxpro Unlocked CloakingDevice
[13:402] xxxpro Unlocked SpecOpsAssaultRifle
[17:092] xxxpro Unlocked AutoTargetingSystem
[19:926] xxxpro Unlocked SpecOpsCloakingDevice
[22:724] xxxpro Unlocked AutoTurret
[22:809] xxxpro Placed/Upgraded AutoTurret
[23:192] xxxpro Placed/Upgraded AutoTurret
[24:219] xxxpro Placed/Upgraded AutoTurret
