Analyzed: Oh No It's Zombies Arctic Updated (314)

ID : 0 PlayerName: diego Race: Terran
ID : 1 PlayerName: Juggernaut Race: Terran
ID : 2 PlayerName: Might Race: Zerg
ID : 3 PlayerName: Kira Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: Juuggernaut Race: Terran
ID : 6 PlayerName: zhuthepig Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Might Zombie Loss
Public Lobby

Game Length:[36:218]
Players ammount: 8
Marine rank avg: 9,333333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:588] diego Unlocked AssaultRifle
[02:855] diego Placed/Upgraded MiningDroid
[24:020] diego Placed/Upgraded MiningDroid
[00:588] Juggernaut Unlocked AssaultRifle
[00:679] Juggernaut Placed MiningDroid
[00:866] Juggernaut Unlocked AdvancedDroidEngines
[02:654] Juggernaut Unlocked AutoTurret
[03:310] Juggernaut Placed AutoTurret
[03:571] Juggernaut Placed AutoTurret
[04:644] Juggernaut Placed AutoTurret
[04:900] Juggernaut Placed AutoTurret
[05:596] Juggernaut Placed AutoTurret
[05:796] Juggernaut Placed AutoTurret
[06:339] Juggernaut Placed AutoTurret
[06:509] Juggernaut Placed AutoTurret
[09:958] Juggernaut Placed MiningDroid
[12:002] Juggernaut Unlocked TurboDroidEngines
[13:156] Juggernaut Unlocked BeamRifle
[14:351] Juggernaut Unlocked CombatSuit
[15:137] Juggernaut Placed AutoTurret
[15:426] Juggernaut Placed AutoTurret
[15:878] Juggernaut Unlocked SpecOpsPlasmaRifle
[16:248] Juggernaut Placed AutoTurret
[17:035] Juggernaut Unlocked CorrosivePlasma
[20:421] Juggernaut Unlocked AdvancedCombatSuit
[20:669] Juggernaut Placed MiningDroid
[21:039] Juggernaut Unlocked ForceFieldGrenade
[21:125] Juggernaut Unlocked SpecOpsForcefieldGrenade
[23:107] Juggernaut Unlocked SuperStimpack
[23:694] Juggernaut Unlocked OverloadWeapon
[23:930] Juggernaut Unlocked EnergyPack
[27:833] Juggernaut Unlocked SpecOpsAssaultRifle
[27:916] Juggernaut Unlocked TitaniumBulletCasings
[28:065] Juggernaut Unlocked QuantumBackpack
[28:106] Juggernaut Unlocked CombatShield
[30:296] Juggernaut Placed AutoTurret
[30:640] Juggernaut Placed AutoTurret
[31:495] Juggernaut Unlocked MiningCharge
[32:359] Juggernaut Placed AutoTurret
[32:584] Juggernaut Placed AutoTurret
[32:874] Juggernaut Placed AutoTurret
[33:085] Juggernaut Placed AutoTurret
[00:552] Might Bought PlayerNumber
[00:697] Might Spawned MassiveCocoon
