Analyzed: Oh No It's Zombies Arctic Updated (316)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: KingOfWinter Race: Terran
ID : 2 PlayerName: PrimeSTEMI Race: Zerg
ID : 3 PlayerName: DJPARTYNINJA Race: Terran
ID : 4 PlayerName: CaptainAss Race: Terran
ID : 5 PlayerName: binghong Race: Terran
ID : 6 PlayerName: RunningRat Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
PrimeSTEMI Zombie Win
Public Lobby

Game Length:[36:446]
Players ammount: 8
Marine rank avg: 16
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[02:580] Frosky Unlocked AdvancedDroidEngines
[04:479] Frosky Unlocked TurboDroidEngines
[07:123] Frosky Unlocked SpecOpsAssaultRifle
[08:543] Frosky Unlocked TitaniumBulletCasings
[09:890] Frosky Unlocked Stimpack
[12:173] Frosky Unlocked CombatSuit
[12:189] Frosky Unlocked AdvancedCombatSuit
[13:135] Frosky Unlocked BioMechanicalRepairDrone
[13:149] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[13:216] Frosky Placed/Upgraded HealingDrone
[13:479] Frosky Placed/Upgraded HealingDrone
[13:838] Frosky Placed/Upgraded HealingDrone
[14:722] Frosky Unlocked MedicShield
[15:219] Frosky Placed/Upgraded HealingDrone
[15:774] Frosky Unlocked AIAssistant
[15:793] Frosky Unlocked QuantumBackpack
[17:702] Frosky Placed/Upgraded MiningDroid
[18:350] Frosky Placed/Upgraded HealingDrone
[19:313] Frosky Unlocked AutoTurret
[19:331] Frosky Unlocked HeavyTurret
[20:020] Frosky Placed/Upgraded HealingDrone
[21:408] Frosky Unlocked ExplorationDroid
[21:441] Frosky Placed/Upgraded ExplorationDroid
[21:508] Frosky Placed/Upgraded ExplorationDroid
[21:632] Frosky Placed/Upgraded ExplorationDroid
[21:943] Frosky Placed/Upgraded HealingDrone
[22:911] Frosky Placed/Upgraded HealingDrone
[27:103] Frosky Placed/Upgraded HealingDrone
[27:764] Frosky Placed/Upgraded HealingDrone
[31:064] Frosky Unlocked Teleporter
[00:588] KingOfWinter Unlocked AssaultRifle
[00:667] KingOfWinter Placed MiningDroid
[01:200] KingOfWinter Unlocked IncendiaryGrenade
[03:179] KingOfWinter Unlocked Stimpack
[04:783] KingOfWinter Unlocked AdvancedDroidEngines
[05:767] KingOfWinter Unlocked MotionSensor
[05:866] KingOfWinter Placed SensorTower
[06:341] KingOfWinter Placed SensorTower
[07:551] KingOfWinter Placed SensorTower
[08:126] KingOfWinter Placed SensorTower
[08:636] KingOfWinter Placed SensorTower
[10:699] KingOfWinter Unlocked HellfireRocketLauncher
[12:174] KingOfWinter Bought ShieldSuit
[12:174] KingOfWinter Bought CombatSuit
[12:174] KingOfWinter Bought HazmatSuit
[12:174] KingOfWinter Bought CombatSuit
[12:190] KingOfWinter Bought CombatSuit
[13:735] KingOfWinter Unlocked CombatSuit
[13:785] KingOfWinter Unlocked MedicShield
[16:137] KingOfWinter Unlocked SpecOpsHellfireRocketLauncher
[17:693] KingOfWinter Unlocked MiningCharge
[19:693] KingOfWinter Placed MiningDroid
[23:602] KingOfWinter Unlocked ShockwaveMissiles
[26:740] KingOfWinter Unlocked AdvancedCombatSuit
[27:742] KingOfWinter Unlocked FlashBang
[32:459] KingOfWinter Unlocked SuperStimpack
[33:964] KingOfWinter Placed NukePack
[00:552] PrimeSTEMI Bought PlayerNumber
[00:703] PrimeSTEMI Spawned MassiveCocoon
[01:396] PrimeSTEMI Placed/Upgraded PrimalSunkenColony
[01:397] PrimeSTEMI Bought SunkenColony
[02:143] PrimeSTEMI Spawned Hunter
[06:305] PrimeSTEMI Bought StrainVolatile
[09:048] PrimeSTEMI Placed/Upgraded NydusCanalCreeper
[09:810] PrimeSTEMI Bought SpawnNydusWorm
[09:942] PrimeSTEMI Placed/Upgraded GreaterNydusWorm
