Analyzed: Oh No It's Zombies Arctic Updated (317)

ID : 0 PlayerName: KingOfWinter Race: Zerg
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: CaptainAss Race: Terran
ID : 3 PlayerName: binghong Race: Terran
ID : 4 PlayerName: DJPARTYNINJA Race: Terran
ID : 5 PlayerName: nerdsrule Race: Terran
ID : 6 PlayerName: NFL Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
KingOfWinter Zombie Loss
Public Lobby

Game Length:[44:401]
Players ammount: 8
Marine rank avg: 11
GrandMaster ammount: 1
PURCHASES: 
[00:696] KingOfWinter Placed/Upgraded PrimalSunkenColony
[00:697] KingOfWinter Bought SunkenColony
[01:064] KingOfWinter Bought StrainSpeed
[01:534] KingOfWinter Bought SunkenColony
[02:462] KingOfWinter Bought PureStrainSpeed
[04:621] KingOfWinter Bought HunterlingStrain
[06:389] KingOfWinter Bought StrainSpeed
[09:399] KingOfWinter Bought SunkenColony
[09:399] KingOfWinter Placed/Upgraded PrimalSunkenColony
[09:543] KingOfWinter Bought PureStrainSpeed
[09:640] KingOfWinter Placed/Upgraded NydusCanalCreeper
[10:860] KingOfWinter Bought CreepSpeed
[11:639] KingOfWinter Placed/Upgraded PrimalSunkenColony
[11:640] KingOfWinter Bought SunkenColony
[12:795] KingOfWinter Bought SunkenColony
[14:005] KingOfWinter Bought SunkenColony
[14:483] KingOfWinter Bought HunterlingStrain
[16:000] KingOfWinter Bought AdvancedPowerInfestation
[16:573] KingOfWinter Placed/Upgraded PrimalSunkenColony
[16:574] KingOfWinter Bought SunkenColony
[17:650] KingOfWinter Bought StrainVolatile
[17:658] KingOfWinter Bought PureStrainVolatile
[17:694] KingOfWinter Bought KaboomerStrain
[18:230] KingOfWinter Placed/Upgraded NydusCanalCreeper
[18:965] KingOfWinter Bought SunkenColony
[19:171] KingOfWinter Bought SiphonFuel
[19:747] KingOfWinter Bought BuildExtractorExcavationZone
[19:747] KingOfWinter Placed/Upgraded AutomatedExtractor
[22:241] KingOfWinter Bought BuildExtractorProcessingFacilities
[22:241] KingOfWinter Placed/Upgraded AutomatedExtractor
[22:276] KingOfWinter Bought SiphonFuel
[23:820] KingOfWinter Placed/Upgraded PrimalSunkenColony
[23:821] KingOfWinter Bought SunkenColony
[24:867] KingOfWinter Bought UnlockDropPods
[24:873] KingOfWinter Bought EvolveDropPods
[24:975] KingOfWinter Bought EvolveDropPods
[24:978] KingOfWinter Bought EvolveDropPods
[25:362] KingOfWinter Bought SiphonFuel
[27:033] KingOfWinter Spawned MassiveCocoon
[27:986] KingOfWinter Bought EvolveDropPods
[27:989] KingOfWinter Bought EvolveDropPods
[28:425] KingOfWinter Bought SiphonFuel
[28:473] KingOfWinter Spawned Anubalisk
[28:506] KingOfWinter Bought EvolveDropPods
[29:010] KingOfWinter Placed/Upgraded NydusCanalCreeper
[30:439] KingOfWinter Placed/Upgraded Virophage
[30:560] KingOfWinter Bought BuildExtractorScienceLabs
[30:560] KingOfWinter Placed/Upgraded AutomatedExtractor
[31:206] KingOfWinter Spawned MassiveCocoon
[32:125] KingOfWinter Bought SiphonFuel
[32:646] KingOfWinter Spawned Anubalisk
[33:577] KingOfWinter Bought CreepSpeed
[33:795] KingOfWinter Bought AdvancedInfestationSecurity
[34:841] KingOfWinter Bought AdvancedInfestationContainment
[34:961] KingOfWinter Bought DropshipsFueled
[35:375] KingOfWinter Spawned RoyalCocoon
[35:375] KingOfWinter Bought SpawnHiveQueen
[35:375] KingOfWinter Bought UltimateInfestationResearched
[36:094] KingOfWinter Spawned QueenCoop
[39:087] KingOfWinter Bought TrackHumans
[39:123] KingOfWinter Bought StrainSpeed
[39:135] KingOfWinter Bought PureStrainSpeed
[39:142] KingOfWinter Bought HunterlingStrain
[39:155] KingOfWinter Bought StrainVolatile
[39:165] KingOfWinter Bought PureStrainVolatile
[39:177] KingOfWinter Bought KaboomerStrain
[39:519] KingOfWinter Spawned MassiveCocoon
[39:529] KingOfWinter Spawned MassiveCocoon
[39:539] KingOfWinter Spawned MassiveCocoon
[40:776] KingOfWinter Bought VirulentCreep
[40:959] KingOfWinter Spawned InfestedAbomination
[40:969] KingOfWinter Spawned InfestedAbomination
[40:979] KingOfWinter Spawned InfestedAbomination
[41:236] KingOfWinter Spawned MassiveCocoon
[42:676] KingOfWinter Spawned InfestedAbomination
[44:045] KingOfWinter Bought TrackHumans
[00:588] Frosky Unlocked AssaultRifle
[00:668] Frosky Placed/Upgraded MiningDroid
[00:801] Frosky Unlocked Shotgun
[04:030] Frosky Unlocked SpecOpsShotgun
[06:756] Frosky Unlocked AdvancedDroidEngines
[08:842] Frosky Unlocked BioMechanicalRepairDrone
[08:873] Frosky Placed/Upgraded HealingDrone
[10:902] Frosky Unlocked TurboDroidEngines
[11:548] Frosky Unlocked CombatSuit
[11:549] Frosky Unlocked ShieldSuit
[11:549] Frosky Unlocked AdvancedShieldSuit
[11:549] Frosky Unlocked CombatSuit
[11:549] Frosky Unlocked AdvancedCombatSuit
[11:549] Frosky Unlocked HazmatSuit
[11:549] Frosky Unlocked AdvancedHazmatSuit
[11:549] Frosky Unlocked CombatSuit
[12:304] Frosky Placed/Upgraded HealingDrone
[13:697] Frosky Unlocked Flamethrower
[14:223] Frosky Placed/Upgraded HealingDrone
[14:778] Frosky Unlocked SpecOpsFlamethrower
[15:618] Frosky Placed/Upgraded HealingDrone
[16:405] Frosky Unlocked AdvancedCombatSuit
[16:406] Frosky Unlocked CombatSuit
[16:406] Frosky Unlocked AdvancedCombatSuit
[18:177] Frosky Unlocked CombatShield
[18:206] Frosky Unlocked AIAssistant
[20:127] Frosky Unlocked ExplorationDroid
[20:145] Frosky Placed/Upgraded ExplorationDroid
[20:231] Frosky Placed/Upgraded ExplorationDroid
[20:376] Frosky Placed/Upgraded ExplorationDroid
[21:076] Frosky Placed/Upgraded HealingDrone
[21:434] Frosky Placed/Upgraded HealingDrone
[21:892] Frosky Unlocked CryoFreeze
[23:114] Frosky Unlocked Stimpack
[23:742] Frosky Placed/Upgraded HealingDrone
[24:431] Frosky Unlocked AutoTurret
[24:450] Frosky Unlocked FlameTurret
[24:480] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[25:147] Frosky Placed/Upgraded HealingDrone
[25:613] Frosky Placed/Upgraded HealingDrone
[26:103] Frosky Placed/Upgraded HealingDrone
[26:356] Frosky Placed/Upgraded HealingDrone
[28:722] Frosky Placed/Upgraded MiningDroid
[29:925] Frosky Placed/Upgraded HealingDrone
[30:157] Frosky Placed/Upgraded HealingDrone
[30:641] Frosky Placed/Upgraded HealingDrone
[34:274] Frosky Placed/Upgraded HealingDrone
[34:512] Frosky Placed/Upgraded HealingDrone
[35:173] Frosky Unlocked Teleporter
[35:689] Frosky Placed/Upgraded HealingDrone
[00:588] CaptainAss Unlocked AssaultRifle
[01:852] CaptainAss Unlocked SpecOpsAssaultRifle
[01:995] CaptainAss Placed/Upgraded MiningDroid
[05:573] CaptainAss Unlocked AdvancedDroidEngines
[07:457] CaptainAss Unlocked Shieldsiotunlocked
[07:458] CaptainAss Unlocked ShieldSuit
[07:458] CaptainAss Unlocked AdvancedShieldSuit
[07:458] CaptainAss Unlocked CombatSuit
[07:458] CaptainAss Unlocked AdvancedCombatSuit
[07:458] CaptainAss Unlocked HazmatSuit
[07:458] CaptainAss Unlocked AdvancedHazmatSuit
[07:458] CaptainAss Unlocked ShieldSuit
[08:142] CaptainAss Unlocked OverloadWeapon
[09:406] CaptainAss Unlocked AdvancedShieldSuit
[09:407] CaptainAss Unlocked ShieldSuit
[09:407] CaptainAss Unlocked AdvancedShieldSuit
[09:697] CaptainAss Unlocked CombatShield
[12:536] CaptainAss Unlocked TitaniumBulletCasings
[12:628] CaptainAss Unlocked EnergyPack
[12:680] CaptainAss Unlocked OpticalVisor
[14:833] CaptainAss Unlocked AutoTurret
[14:914] CaptainAss Unlocked SpecOpsTurret
[15:257] CaptainAss Placed/Upgraded AutoTurret
[16:641] CaptainAss Placed/Upgraded AutoTurret
[18:281] CaptainAss Unlocked TurboDroidEngines
[19:995] CaptainAss Placed/Upgraded AutoTurret
[20:211] CaptainAss Placed/Upgraded AutoTurret
[20:451] CaptainAss Placed/Upgraded AutoTurret
[20:944] CaptainAss Unlocked PsiDisrupter
[22:020] CaptainAss Placed/Upgraded AutoTurret
[22:258] CaptainAss Placed/Upgraded AutoTurret
[22:970] CaptainAss Unlocked BioMechanicalRepairDrone
[23:453] CaptainAss Unlocked SpecOpsBioMechanicalRepairDrone
[23:566] CaptainAss Placed/Upgraded HealingDrone
[23:987] CaptainAss Placed/Upgraded PsiIndoctrinator
[28:774] CaptainAss Placed/Upgraded HealingDrone
[29:539] CaptainAss Placed/Upgraded MiningDroid
[29:688] CaptainAss Unlocked SpecOpsPsiDisruptor
[29:854] CaptainAss Unlocked IncendiaryGrenade
[30:187] CaptainAss Placed/Upgraded PsiIndoctrinator
[31:545] CaptainAss Placed/Upgraded PsiIndoctrinator
[00:588] binghong Unlocked AssaultRifle
[00:960] binghong Placed/Upgraded MiningDroid
[01:533] binghong Unlocked ArcWelder
[03:279] binghong Unlocked AdvancedDroidEngines
[04:394] binghong Unlocked TurboDroidEngines
[06:471] binghong Unlocked SpecOpsArcWelder
[07:472] binghong Unlocked BioMechanicalRepairDrone
