Analyzed: Oh No It's Zombies Arctic Updated (318)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: SIODOS Race: Terran
ID : 2 PlayerName: mira Race: Terran
ID : 3 PlayerName: Astral Race: Terran
ID : 4 PlayerName: toothless Race: Terran
ID : 5 PlayerName: Frayace Race: Terran
ID : 6 PlayerName: SpicyWolf Race: Terran
ID : 7 PlayerName: Security Race: 
Frosky Zombie Win
Public Lobby

Game Length:[31:813]
Players ammount: 8
Marine rank avg: 5,333333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:869] Frosky Spawned MassiveCocoon
[02:309] Frosky Spawned Hunter
[02:448] Frosky Placed/Upgraded ToxicNest
[02:452] Frosky Placed/Upgraded ToxicNest
[02:624] Frosky Spawned MassiveCocoon
[04:033] Frosky Spawned MassiveCocoon
[04:064] Frosky Spawned Hunter
[04:208] Frosky Placed/Upgraded ToxicNest
[04:211] Frosky Placed/Upgraded ToxicNest
[04:225] Frosky Placed/Upgraded ToxicNest
[05:151] Frosky Placed/Upgraded ToxicNest
[05:161] Frosky Placed/Upgraded ToxicNest
[05:205] Frosky Placed/Upgraded ToxicNest
[05:227] Frosky Bought CreepSpeed
[05:473] Frosky Spawned Anubalisk
[07:262] Frosky Placed/Upgraded ToxicNest
[07:266] Frosky Placed/Upgraded ToxicNest
[07:274] Frosky Placed/Upgraded ToxicNest
[08:172] Frosky Spawned MassiveCocoon
[08:804] Frosky Placed/Upgraded ToxicNest
[08:815] Frosky Placed/Upgraded ToxicNest
[08:819] Frosky Placed/Upgraded ToxicNest
[09:102] Frosky Bought VirulentCreep
[09:514] Frosky Placed/Upgraded ToxicNest
[09:612] Frosky Spawned Lurker
[09:981] Frosky Placed/Upgraded ToxicNest
[11:356] Frosky Bought CreepSpeed
[12:910] Frosky Bought StrainSpeed
[15:489] Frosky Bought PureStrainSpeed
[15:993] Frosky Bought HunterlingStrain
[17:262] Frosky Bought StrainSpeed
[17:272] Frosky Bought PureStrainSpeed
[17:824] Frosky Placed/Upgraded NydusCanalCreeper
[19:560] Frosky Bought StrainSpeed
[19:571] Frosky Bought PureStrainSpeed
[20:150] Frosky Bought HunterlingStrain
[22:254] Frosky Bought HunterlingStrain
[23:147] Frosky Bought StrainSpeed
[24:735] Frosky Bought PureStrainSpeed
