Analyzed: Oh No It's Zombies Arctic Updated (319)

ID : 0 PlayerName: Salem Race: Terran
ID : 1 PlayerName: BuildAWall Race: Terran
ID : 2 PlayerName: Mikey Race: Terran
ID : 3 PlayerName: Lionbane Race: Zerg
ID : 4 PlayerName: Oglethorpe Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Harto Race: Terran
ID : 7 PlayerName: Security Race: 
Lionbane Zombie Loss
Public Lobby

Game Length:[36:635]
Players ammount: 8
Marine rank avg: 8,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] Salem Unlocked AssaultRifle
[00:667] Salem Placed/Upgraded MiningDroid
[02:008] Salem Unlocked AdvancedDroidEngines
[02:773] Salem Unlocked FragGrenade
[03:974] Salem Unlocked SpecOpsFragGrenade
[04:475] Salem Placed/Upgraded MiningDroid
[06:238] Salem Unlocked Stimpack
[07:859] Salem Unlocked HellfireRocketLauncher
[09:922] Salem Unlocked SpecOpsHellfireRocketLauncher
[09:945] Salem Unlocked ShockwaveMissiles
[11:479] Salem Unlocked CombatSuit
[11:486] Salem Unlocked AdvancedCombatSuit
[12:896] Salem Unlocked BioMechanicalRepairDrone
[12:947] Salem Unlocked MedicShield
[13:215] Salem Placed/Upgraded HealingDrone
[13:739] Salem Placed/Upgraded HealingDrone
[17:161] Salem Placed/Upgraded HealingDrone
[17:662] Salem Unlocked MiningCharge
[17:669] Salem Unlocked AdvancedMiningCharge
[17:711] Salem Placed/Upgraded NukePack
[18:737] Salem Placed/Upgraded NukePack
[19:015] Salem Placed/Upgraded NukePack
[20:738] Salem Unlocked AutoTurret
[20:784] Salem Unlocked HeavyTurret
[21:660] Salem Unlocked QuantumBackpack
[22:683] Salem Placed/Upgraded AutoTurret
[23:035] Salem Placed/Upgraded AutoTurret
[23:918] Salem Placed/Upgraded AutoTurret
[25:524] Salem Unlocked SpecOpsBioMechanicalRepairDrone
[25:589] Salem Unlocked RechargeDrone
[25:988] Salem Placed/Upgraded HealingDrone
[26:331] Salem Placed/Upgraded HealingDrone
[28:045] Salem Placed/Upgraded NukePack
[28:167] Salem Placed/Upgraded NukePack
[28:314] Salem Placed/Upgraded NukePack
[28:395] Salem Placed/Upgraded AutoTurret
[28:570] Salem Placed/Upgraded AutoTurret
[28:781] Salem Placed/Upgraded AutoTurret
[29:195] Salem Placed/Upgraded AutoTurret
[29:369] Salem Placed/Upgraded HealingDrone
