Analyzed: Oh No It's Zombies Arctic Updated (329)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Danny Race: Terran
ID : 2 PlayerName: ShortChair Race: Terran
ID : 3 PlayerName: Kyuzee Race: Terran
ID : 4 PlayerName: renard Race: Terran
ID : 5 PlayerName: Fourga Race: Terran
ID : 6 PlayerName: toothless Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Frosky Zombie Win
Public Lobby

Game Length:[21:980]
Players ammount: 8
Marine rank avg: 3,8333333333333335
GrandMaster ammount: 1
PURCHASES: 
[00:885] Frosky Spawned MassiveCocoon
[02:325] Frosky Spawned Hunter
[03:138] Frosky Spawned MassiveCocoon
[04:578] Frosky Spawned Hunter
[06:170] Frosky Bought VirulentCreep
[06:702] Frosky Placed/Upgraded ToxicNest
[08:245] Frosky Placed/Upgraded ToxicNest
[08:252] Frosky Placed/Upgraded ToxicNest
[08:331] Frosky Bought CreepSpeed
[08:810] Frosky Placed/Upgraded ToxicNest
[09:096] Frosky Spawned MassiveCocoon
[09:251] Frosky Placed/Upgraded ToxicNest
[09:258] Frosky Placed/Upgraded ToxicNest
[09:966] Frosky Placed/Upgraded ToxicNest
[10:536] Frosky Spawned Anubalisk
[11:067] Frosky Placed/Upgraded ToxicNest
[11:086] Frosky Placed/Upgraded ToxicNest
[11:784] Frosky Bought BuildExtractorScienceLabs
[11:784] Frosky Placed/Upgraded AutomatedExtractor
[12:894] Frosky Placed/Upgraded NydusCanalCreeper
[14:250] Frosky Bought StrainSpeed
[14:260] Frosky Bought PureStrainSpeed
[14:271] Frosky Bought HunterlingStrain
[14:512] Frosky Bought StrainSpeed
[16:133] Frosky Placed/Upgraded ToxicNest
[16:139] Frosky Placed/Upgraded ToxicNest
[16:149] Frosky Placed/Upgraded ToxicNest
[16:262] Frosky Bought PureStrainSpeed
[16:269] Frosky Bought StrainSpeed
[16:810] Frosky Placed/Upgraded ToxicNest
[16:998] Frosky Bought AdvancedInfestationContainment
[18:382] Frosky Bought StrainSpeed
[18:388] Frosky Bought PureStrainSpeed
[18:395] Frosky Bought HunterlingStrain
[19:498] Frosky Bought StrainHealth
[20:226] Frosky Placed/Upgraded Virophage
[00:588] Danny Unlocked AssaultRifle
[00:667] Danny Placed/Upgraded MiningDroid
[00:719] Danny Unlocked AdvancedDroidEngines
[03:742] Danny Unlocked TurboDroidEngines
[04:375] Danny Unlocked BioMechanicalRepairDrone
[04:467] Danny Placed/Upgraded HealingDrone
[05:429] Danny Placed/Upgraded HealingDrone
[06:365] Danny Unlocked HellfireRocketLauncher
[07:440] Danny Unlocked ExplorationDroid
[07:483] Danny Unlocked AdvancedExplorationDroid
[08:429] Danny Placed/Upgraded ExplorationDroid
[08:855] Danny Placed/Upgraded ExplorationDroid
[09:654] Danny Unlocked OpticalVisor
[09:678] Danny Placed/Upgraded ExplorationDroid
[09:788] Danny Placed/Upgraded ExplorationDroid
[09:926] Danny Placed/Upgraded ExplorationDroid
[11:694] Danny Unlocked SpecOpsHellfireRocketLauncher
