Analyzed: Oh No It's Zombies Arctic Updated (33)

ID : 0 PlayerName: Kaedin Race: Terran
ID : 1 PlayerName: FireFurry Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: RyK Race: Terran
ID : 4 PlayerName: Wxste Race: Terran
ID : 5 PlayerName: JuiceNugget Race: Terran
ID : 6 PlayerName: Jimbo Race: Zerg
ID : 7 PlayerName: Security Race: Infested Terran
Jimbo Zombie Loss
Public Lobby

Game Length:[34:045]
Players ammount: 8
Marine rank avg: 4,833333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:588] Kaedin Unlocked AssaultRifle
[00:925] Kaedin Unlocked ArcWelder
[01:239] Kaedin Placed/Upgraded MiningDroid
[02:674] Kaedin Unlocked AdvancedDroidEngines
[03:732] Kaedin Unlocked TurboDroidEngines
[04:814] Kaedin Unlocked BioMechanicalRepairDrone
[04:856] Kaedin Unlocked CombatAccelerationDrone
[04:929] Kaedin Placed/Upgraded HealingDrone
[05:652] Kaedin Placed/Upgraded HealingDrone
[06:103] Kaedin Placed/Upgraded HealingDrone
[06:772] Kaedin Placed/Upgraded HealingDrone
[07:208] Kaedin Unlocked Stimpack
[07:732] Kaedin Placed/Upgraded HealingDrone
[08:176] Kaedin Unlocked MedicShield
[09:071] Kaedin Unlocked QuantumBackpack
[09:114] Kaedin Unlocked AutoTurret
[09:337] Kaedin Placed/Upgraded AutoTurret
[09:569] Kaedin Placed/Upgraded HealingDrone
[09:705] Kaedin Placed/Upgraded HealingDrone
[10:122] Kaedin Unlocked FlameTurret
[10:899] Kaedin Placed/Upgraded HealingDrone
[11:031] Kaedin Placed/Upgraded AutoTurret
[11:228] Kaedin Placed/Upgraded AutoTurret
[11:822] Kaedin Placed/Upgraded AutoTurret
[12:225] Kaedin Placed/Upgraded AutoTurret
[12:406] Kaedin Placed/Upgraded AutoTurret
[12:897] Kaedin Unlocked PsiDisrupter
[13:015] Kaedin Placed/Upgraded PsiIndoctrinator
[13:278] Kaedin Unlocked SpecOpsPsiDisruptor
[13:506] Kaedin Placed/Upgraded AutoTurret
[15:240] Kaedin Placed/Upgraded PsiIndoctrinator
