Analyzed: Oh No It's Zombies Arctic Updated (330)

ID : 0 PlayerName: Danny Race: Terran
ID : 1 PlayerName: BattleTurtle Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: SuperMidget Race: Terran
ID : 4 PlayerName: CvO Race: Terran
ID : 5 PlayerName: Senpai Race: Terran
ID : 6 PlayerName: Barcode Race: Zerg
ID : 7 PlayerName: Security Race: Terran Mengsk
Barcode Zombie Win
Public Lobby

Game Length:[39:197]
Players ammount: 8
Marine rank avg: 4,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] Danny Unlocked AssaultRifle
[00:667] Danny Placed/Upgraded MiningDroid
[01:990] Danny Unlocked AdvancedDroidEngines
[04:430] Danny Unlocked TurboDroidEngines
[05:134] Danny Unlocked CombatSuit
[07:905] Danny Unlocked HellfireRocketLauncher
[08:009] Danny Unlocked BioMechanicalRepairDrone
[08:047] Danny Placed/Upgraded HealingDrone
[08:638] Danny Unlocked IncendiaryGrenade
[08:868] Danny Placed/Upgraded HealingDrone
[09:098] Danny Placed/Upgraded HealingDrone
[10:290] Danny Unlocked SpecOpsHellfireRocketLauncher
[11:992] Danny Unlocked AdvancedCombatSuit
[12:219] Danny Unlocked ExplorationDroid
[12:258] Danny Placed/Upgraded ExplorationDroid
[12:276] Danny Placed/Upgraded ExplorationDroid
[12:549] Danny Placed/Upgraded ExplorationDroid
[14:056] Danny Unlocked Teleporter
[15:983] Danny Unlocked AutoTurret
[16:055] Danny Placed/Upgraded AutoTurret
[16:266] Danny Placed/Upgraded AutoTurret
[16:360] Danny Placed/Upgraded ExplorationDroid
[16:461] Danny Placed/Upgraded AutoTurret
[17:965] Danny Placed/Upgraded AutoTurret
[18:283] Danny Placed/Upgraded AutoTurret
[22:523] Danny Unlocked AdvancedExplorationDroid
[22:599] Danny Placed/Upgraded MiningDroid
[22:910] Danny Placed/Upgraded ExplorationDroid
[24:189] Danny Placed/Upgraded AutoTurret
[24:414] Danny Unlocked Stimpack
