Analyzed: Oh No It's Zombies Arctic Updated (332)

ID : 0 PlayerName: PrimeSTEMI Race: Terran
ID : 1 PlayerName: Kira Race: Zerg
ID : 2 PlayerName: ShortChair Race: Terran
ID : 3 PlayerName: Apollo Race: Terran
ID : 4 PlayerName: Tassadar Race: Terran
ID : 5 PlayerName: Lioner Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Kira Zombie Loss
Public Lobby

Game Length:[38:014]
Players ammount: 8
Marine rank avg: 12
GrandMaster ammount: 3
PURCHASES: 
[00:588] PrimeSTEMI Unlocked AssaultRifle
[00:742] PrimeSTEMI Unlocked ArcWelder
[00:879] PrimeSTEMI Placed MiningDroid
[02:098] PrimeSTEMI Unlocked AdvancedDroidEngines
[03:185] PrimeSTEMI Unlocked BioMechanicalRepairDrone
[03:199] PrimeSTEMI Unlocked CombatAccelerationDrone
[03:235] PrimeSTEMI Placed HealingDrone
[03:859] PrimeSTEMI Placed HealingDrone
[04:164] PrimeSTEMI Unlocked MotionSensor
[04:619] PrimeSTEMI Placed SensorTower
[05:423] PrimeSTEMI Placed HealingDrone
[06:022] PrimeSTEMI Unlocked Stimpack
[06:349] PrimeSTEMI Placed SensorTower
[07:895] PrimeSTEMI Unlocked BeamRifle
[07:902] PrimeSTEMI Unlocked SpecOpsPlasmaRifle
[10:780] PrimeSTEMI Placed HealingDrone
[11:483] PrimeSTEMI Unlocked ExplorationDroid
[11:494] PrimeSTEMI Unlocked TurboDroidEngines
[11:514] PrimeSTEMI Unlocked AdvancedExplorationDroid
[11:554] PrimeSTEMI Placed ExplorationDroid
[11:568] PrimeSTEMI Placed ExplorationDroid
[11:636] PrimeSTEMI Placed ExplorationDroid
[11:927] PrimeSTEMI Unlocked SpecOpsBioMechanicalRepairDrone
[12:191] PrimeSTEMI Placed HealingDrone
[15:511] PrimeSTEMI Unlocked AutoTurret
[15:720] PrimeSTEMI Placed AutoTurret
[16:513] PrimeSTEMI Placed AutoTurret
[17:355] PrimeSTEMI Placed AutoTurret
[17:574] PrimeSTEMI Unlocked PsiDisrupter
[17:585] PrimeSTEMI Unlocked PsiDepressor
[17:786] PrimeSTEMI Placed PsiIndoctrinator
[18:193] PrimeSTEMI Placed PsiIndoctrinator
[18:266] PrimeSTEMI Unlocked MiningCharge
[18:270] PrimeSTEMI Unlocked AdvancedMiningCharge
[18:523] PrimeSTEMI Placed NukePack
[20:270] PrimeSTEMI Placed NukePack
[22:556] PrimeSTEMI Unlocked HeavyTurret
[24:499] PrimeSTEMI Unlocked HellfireRocketLauncher
[24:503] PrimeSTEMI Unlocked SpecOpsHellfireRocketLauncher
[24:529] PrimeSTEMI Unlocked ShockwaveMissiles
[24:930] PrimeSTEMI Placed PsiIndoctrinator
[26:647] PrimeSTEMI Unlocked ForceFieldGrenade
[31:136] PrimeSTEMI Placed PsiIndoctrinator
[31:597] PrimeSTEMI Unlocked CorrosivePlasma
[34:863] PrimeSTEMI Placed NukePack
[00:552] Kira Bought PlayerNumber
[00:868] Kira Spawned MassiveCocoon
[01:213] Kira Placed/Upgraded PrimalSunkenColony
[01:214] Kira Bought SunkenColony
[01:799] Kira Placed/Upgraded PrimalSunkenColony
[01:800] Kira Bought SunkenColony
[02:208] Kira Bought SunkenColony
[02:308] Kira Spawned Hunter
[03:219] Kira Bought StrainVolatile
[04:061] Kira Bought SunkenColony
[04:061] Kira Placed/Upgraded PrimalSunkenColony
[04:324] Kira Bought SunkenColony
[04:744] Kira Placed/Upgraded PrimalSunkenColony
[04:745] Kira Bought SunkenColony
[05:817] Kira Bought PureStrainVolatile
