Analyzed: Oh No It's Zombies Arctic Updated (335)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Spheres Race: Terran
ID : 2 PlayerName: Radovid Race: Terran
ID : 3 PlayerName: Wally Race: Terran
ID : 4 PlayerName: MacNCheese Race: Zerg
ID : 5 PlayerName: BothStatue Race: Terran
ID : 6 PlayerName: DesertEagle Race: Terran
ID : 7 PlayerName: Security Race: Protoss
MacNCheese Zombie Win
Private Lobby

Game Length:[34:185]
Players ammount: 8
Marine rank avg: 17
GrandMaster ammount: 4
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:757] Frosky Unlocked Shotgun
[02:651] Frosky Unlocked AdvancedDroidEngines
[04:842] Frosky Unlocked SpecOpsShotgun
[05:967] Frosky Unlocked TurboDroidEngines
[09:627] Frosky Unlocked SuperStimpack
[14:257] Frosky Unlocked CombatSuit
[15:085] Frosky Placed/Upgraded MiningDroid
[16:025] Frosky Unlocked BioMechanicalRepairDrone
[16:047] Frosky Placed/Upgraded HealingDrone
[16:349] Frosky Placed/Upgraded HealingDrone
[17:564] Frosky Unlocked AdvancedCombatSuit
[18:579] Frosky Unlocked CombatShield
[18:627] Frosky Unlocked QuantumBackpack
[19:488] Frosky Unlocked HighPrecisionBeams
[20:378] Frosky Unlocked AIAssistant
[20:430] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[25:566] Frosky Placed/Upgraded HealingDrone
[30:965] Frosky Unlocked PsiDisrupter
[30:979] Frosky Unlocked PsiDepressor
[31:113] Frosky Placed/Upgraded PsiIndoctrinator
[00:588] Spheres Unlocked AssaultRifle
[00:734] Spheres Placed/Upgraded MiningDroid
[00:758] Spheres Unlocked OverloadWeapon
[03:579] Spheres Unlocked SpecOpsAssaultRifle
[08:449] Spheres Unlocked TitaniumBulletCasings
[08:600] Spheres Unlocked CombatShield
[10:264] Spheres Unlocked CombatSuit
[11:347] Spheres Unlocked AdvancedCombatSuit
[11:781] Spheres Unlocked ExplorationDroid
[11:899] Spheres Placed/Upgraded ExplorationDroid
