Analyzed: Oh No It's Zombies Arctic Updated (337)

ID : 0 PlayerName: RedWalruz Race: Terran
ID : 1 PlayerName: IgorVolf Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: SmittyWerben Race: Terran
ID : 4 PlayerName: GreenArrow Race: Terran
ID : 5 PlayerName: andrewSGGG Race: Terran
ID : 6 PlayerName: notazergling Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Win
Public Lobby

Game Length:[11:581]
Players ammount: 8
Marine rank avg: 5,166666666666667
GrandMaster ammount: 1
PURCHASES: 
[00:588] RedWalruz Unlocked AssaultRifle
[01:022] RedWalruz Placed/Upgraded MiningDroid
[01:196] RedWalruz Unlocked Stimpack
[03:057] RedWalruz Unlocked CombatSuit
[05:328] RedWalruz Unlocked AdvancedCombatSuit
[00:588] IgorVolf Unlocked AssaultRifle
[00:667] IgorVolf Placed MiningDroid
[01:364] IgorVolf Unlocked ArcWelder
[02:639] IgorVolf Unlocked BioMechanicalRepairDrone
[02:661] IgorVolf Unlocked CombatAccelerationDrone
[02:713] IgorVolf Placed HealingDrone
[03:058] IgorVolf Bought ShieldSuit
[03:058] IgorVolf Bought CombatSuit
[03:058] IgorVolf Bought HazmatSuit
[03:058] IgorVolf Bought CombatSuit
[03:853] IgorVolf Unlocked AdvancedDroidEngines
[05:264] IgorVolf Placed HealingDrone
[05:329] IgorVolf Bought CombatSuit
[05:395] IgorVolf Placed HealingDrone
[06:052] IgorVolf Placed HealingDrone
[06:181] IgorVolf Placed HealingDrone
[07:011] IgorVolf Unlocked TurboDroidEngines
[09:398] IgorVolf Unlocked PsiDisrupter
[09:838] IgorVolf Placed PsiIndoctrinator
[00:552] Frosky Bought PlayerNumber
[00:869] Frosky Spawned MassiveCocoon
[02:309] Frosky Spawned Hunter
[02:702] Frosky Spawned MassiveCocoon
[03:427] Frosky Placed/Upgraded ToxicNest
[03:436] Frosky Placed/Upgraded ToxicNest
[04:142] Frosky Spawned Hunter
[06:895] Frosky Spawned MassiveCocoon
[07:949] Frosky Bought CreepSpeed
[08:153] Frosky Placed/Upgraded ToxicNest
[08:335] Frosky Spawned Anubalisk
[10:421] Frosky Bought CreepSpeed
[00:588] SmittyWerben Unlocked AssaultRifle
[00:845] SmittyWerben Placed/Upgraded MiningDroid
[00:942] SmittyWerben Unlocked AdvancedDroidEngines
[08:194] SmittyWerben Unlocked TurboDroidEngines
[09:447] SmittyWerben Unlocked BeamRifle
[00:588] GreenArrow Unlocked AssaultRifle
[00:675] GreenArrow Placed/Upgraded MiningDroid
[05:232] GreenArrow Unlocked SpecOpsAssaultRifle
[07:440] GreenArrow Unlocked TitaniumBulletCasings
[00:588] andrewSGGG Unlocked AssaultRifle
[00:774] andrewSGGG Placed/Upgraded MiningDroid
[01:351] andrewSGGG Unlocked BeamRifle
[01:946] andrewSGGG Unlocked AutoTurret
[03:925] andrewSGGG Placed/Upgraded AutoTurret
[04:321] andrewSGGG Placed/Upgraded AutoTurret
[05:875] andrewSGGG Placed/Upgraded AutoTurret
[06:627] andrewSGGG Unlocked Stimpack
[10:356] andrewSGGG Placed/Upgraded AutoTurret
[00:588] notazergling Unlocked AssaultRifle
[01:918] notazergling Unlocked HellfireRocketLauncher
[03:764] notazergling Unlocked SpecOpsAssaultRifle
Frosky First Alpha Hunter |  Win

Frosky Placed 0 Greaters.
--------------------------------
