Analyzed: Oh No It's Zombies Arctic Updated (338)

ID : 0 PlayerName: flowgeko Race: Terran
ID : 1 PlayerName: Drake Race: Terran
ID : 2 PlayerName: YaBoiDave Race: Terran
ID : 3 PlayerName: lman Race: Terran
ID : 4 PlayerName: lenux Race: Terran
ID : 5 PlayerName: andrewSGGG Race: Terran
ID : 6 PlayerName: Frosky Race: Zerg
ID : 7 PlayerName: Security Race: Zerg
Frosky Zombie Win
Public Lobby

Game Length:[13:565]
Players ammount: 8
Marine rank avg: 2
GrandMaster ammount: 1
PURCHASES: 
[00:588] flowgeko Unlocked AssaultRifle
[00:876] flowgeko Unlocked AutoTurret
[01:209] flowgeko Unlocked EnergySuit
[01:210] flowgeko Unlocked EnergySuit
[01:531] flowgeko Placed/Upgraded AutoTurret
[00:588] Drake Unlocked AssaultRifle
[00:924] Drake Unlocked Flamethrower
[01:181] Drake Placed/Upgraded MiningDroid
[01:210] Drake Bought ShieldSuit
[01:210] Drake Bought CombatSuit
[01:210] Drake Bought HazmatSuit
[02:795] Drake Unlocked SpecOpsFlamethrower
[04:472] Drake Unlocked BioMechanicalRepairDrone
[06:117] Drake Placed/Upgraded HealingDrone
[10:729] Drake Placed/Upgraded MiningDroid
[10:987] Drake Placed/Upgraded HealingDrone
[11:495] Drake Placed/Upgraded HealingDrone
[00:588] YaBoiDave Unlocked AssaultRifle
[00:675] YaBoiDave Placed/Upgraded MiningDroid
[00:942] YaBoiDave Unlocked SpecOpsAssaultRifle
[03:745] YaBoiDave Unlocked AutoTargetingSystem
[09:267] YaBoiDave Placed/Upgraded MiningDroid
[10:424] YaBoiDave Unlocked AdvancedDroidEngines
[11:839] YaBoiDave Placed/Upgraded MiningDroid
[00:588] lman Unlocked AssaultRifle
[01:353] lman Placed/Upgraded MiningDroid
[01:599] lman Unlocked AdvancedDroidEngines
[01:684] lman Unlocked CombatShield
[06:397] lman Placed/Upgraded MiningDroid
[06:592] lman Unlocked Shieldsiotunlocked
[07:662] lman Unlocked EnergyPack
[09:470] lman Unlocked BeamRifle
[10:758] lman Unlocked OpticalVisor
[11:606] lman Unlocked MedicShield
[00:588] lenux Unlocked AssaultRifle
[00:778] lenux Placed/Upgraded MiningDroid
[00:993] lenux Unlocked HellfireRocketLauncher
[06:443] lenux Placed/Upgraded MiningDroid
[06:543] lenux Unlocked SpecOpsHellfireRocketLauncher
[06:593] lenux Bought ShieldSuit
[06:593] lenux Bought CombatSuit
[06:593] lenux Bought HazmatSuit
[06:593] lenux Bought ShieldSuit
[08:435] lenux Unlocked Shieldsiotunlocked
[00:588] andrewSGGG Unlocked AssaultRifle
[00:907] andrewSGGG Placed/Upgraded MiningDroid
[01:027] andrewSGGG Unlocked SpecOpsAssaultRifle
[03:494] andrewSGGG Unlocked Stimpack
[06:473] andrewSGGG Unlocked AutoTurret
[07:526] andrewSGGG Placed/Upgraded AutoTurret
[08:436] andrewSGGG Bought ShieldSuit
[08:436] andrewSGGG Bought CombatSuit
[08:436] andrewSGGG Bought HazmatSuit
[08:436] andrewSGGG Bought ShieldSuit
[09:009] andrewSGGG Unlocked AdvancedDroidEngines
[10:872] andrewSGGG Unlocked CombatSuit
[11:151] andrewSGGG Placed/Upgraded AutoTurret
[00:552] Frosky Bought PlayerNumber
[01:451] Frosky Spawned MassiveCocoon
[02:891] Frosky Spawned Hunter
[04:157] Frosky Spawned MassiveCocoon
[05:597] Frosky Spawned Hunter
[07:537] Frosky Bought CreepSpeed
[09:468] Frosky Bought CreepSpeed
[10:873] Frosky Bought ShieldSuit
[10:873] Frosky Bought CombatSuit
[10:873] Frosky Bought HazmatSuit
[10:873] Frosky Bought CombatSuit
[11:943] Frosky Spawned MassiveCocoon
[13:383] Frosky Spawned Anubalisk
Frosky First Alpha Hunter |  Win

Frosky Placed 0 Greaters.
--------------------------------
