Analyzed: Oh No It's Zombies Arctic Updated (339)

ID : 0 PlayerName: stardawn Race: Terran
ID : 1 PlayerName: flowgeko Race: Terran
ID : 2 PlayerName: HulkSmash Race: Terran
ID : 3 PlayerName: lman Race: Terran
ID : 4 PlayerName: lenux Race: Zerg
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Mosckvin Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
lenux Zombie Win
Public Lobby

Game Length:[17:126]
Players ammount: 8
Marine rank avg: 3
GrandMaster ammount: 1
PURCHASES: 
[00:588] stardawn Unlocked AssaultRifle
[00:704] stardawn Placed/Upgraded MiningDroid
[00:948] stardawn Unlocked AdvancedDroidEngines
[03:030] stardawn Unlocked OverloadWeapon
[06:365] stardawn Unlocked TurboDroidEngines
[07:221] stardawn Unlocked MotionSensor
[08:332] stardawn Placed/Upgraded SensorTower
[09:308] stardawn Unlocked Shieldsiotunlocked
[10:231] stardawn Unlocked BioMechanicalRepairDrone
[10:253] stardawn Unlocked SpecOpsBioMechanicalRepairDrone
[10:377] stardawn Placed/Upgraded HealingDrone
[10:883] stardawn Placed/Upgraded HealingDrone
[11:838] stardawn Placed/Upgraded HealingDrone
[12:057] stardawn Placed/Upgraded SensorTower
[12:514] stardawn Placed/Upgraded HealingDrone
[14:548] stardawn Placed/Upgraded SensorTower
[14:981] stardawn Unlocked CombatAccelerationDrone
[15:116] stardawn Placed/Upgraded HealingDrone
[15:320] stardawn Placed/Upgraded HealingDrone
[15:520] stardawn Placed/Upgraded SensorTower
[15:729] stardawn Placed/Upgraded HealingDrone
[00:588] flowgeko Unlocked AssaultRifle
[00:762] flowgeko Placed/Upgraded MiningDroid
[02:573] flowgeko Unlocked SpecOpsAssaultRifle
[06:434] flowgeko Unlocked PsiDisrupter
[06:742] flowgeko Placed/Upgraded PsiIndoctrinator
[09:309] flowgeko Bought ShieldSuit
[09:309] flowgeko Bought CombatSuit
[09:309] flowgeko Bought HazmatSuit
[09:309] flowgeko Bought ShieldSuit
[12:110] flowgeko Unlocked Bayonette
