Analyzed: Oh No It's Zombies Arctic Updated (34)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: RyK Race: Terran
ID : 2 PlayerName: FireFurry Race: Terran
ID : 3 PlayerName: bonkybonky Race: Terran
ID : 4 PlayerName: Cruel Race: Terran
ID : 5 PlayerName: Decar Race: Zerg
ID : 6 PlayerName: Gemorah Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Decar Zombie Win
Public Lobby

Game Length:[37:283]
Players ammount: 8
Marine rank avg: 10
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:682] Frosky Placed/Upgraded MiningDroid
[00:909] Frosky Unlocked AdvancedDroidEngines
[06:287] Frosky Unlocked BeamRifle
[10:548] Frosky Unlocked Stimpack
[14:105] Frosky Unlocked CombatSuit
[21:373] Frosky Placed/Upgraded MiningDroid
[00:588] RyK Unlocked AssaultRifle
[00:685] RyK Placed/Upgraded MiningDroid
[00:738] RyK Unlocked AdvancedDroidEngines
[04:260] RyK Unlocked TurboDroidEngines
[06:260] RyK Unlocked SpecOpsAssaultRifle
[08:783] RyK Placed/Upgraded MiningDroid
[10:092] RyK Unlocked AutoTargetingSystem
[12:641] RyK Placed/Upgraded MiningDroid
[14:106] RyK Bought ShieldSuit
[14:106] RyK Bought CombatSuit
[14:106] RyK Bought HazmatSuit
[14:106] RyK Bought CombatSuit
[15:420] RyK Unlocked Stimpack
[20:322] RyK Unlocked HazmatSuit
[26:000] RyK Unlocked MedicShield
[00:588] FireFurry Unlocked AssaultRifle
[00:713] FireFurry Unlocked ArcWelder
[00:875] FireFurry Placed/Upgraded MiningDroid
[02:090] FireFurry Unlocked AdvancedDroidEngines
[02:320] FireFurry Unlocked MotionSensor
[03:032] FireFurry Placed/Upgraded SensorTower
[04:021] FireFurry Placed/Upgraded SensorTower
[04:859] FireFurry Unlocked TurboDroidEngines
[07:639] FireFurry Unlocked Stimpack
[07:708] FireFurry Unlocked MedicShield
[11:121] FireFurry Unlocked AutoTurret
[11:147] FireFurry Unlocked FlameTurret
[11:608] FireFurry Placed/Upgraded AutoTurret
[11:752] FireFurry Placed/Upgraded AutoTurret
[11:888] FireFurry Placed/Upgraded AutoTurret
[12:196] FireFurry Unlocked EnergySuit
[12:197] FireFurry Unlocked EnergySuit
[12:218] FireFurry Unlocked AdvancedEnergySuit
[12:219] FireFurry Unlocked EnergySuit
[12:219] FireFurry Unlocked AdvancedEnergySuit
[12:600] FireFurry Placed/Upgraded AutoTurret
[12:978] FireFurry Placed/Upgraded AutoTurret
[13:115] FireFurry Placed/Upgraded AutoTurret
[13:859] FireFurry Unlocked PsiDisrupter
[13:909] FireFurry Placed/Upgraded PsiIndoctrinator
[14:226] FireFurry Placed/Upgraded AutoTurret
[15:456] FireFurry Placed/Upgraded AutoTurret
[18:852] FireFurry Placed/Upgraded PsiIndoctrinator
[19:003] FireFurry Placed/Upgraded AutoTurret
[19:300] FireFurry Placed/Upgraded AutoTurret
[19:695] FireFurry Placed/Upgraded PsiIndoctrinator
[19:968] FireFurry Placed/Upgraded MiningDroid
[20:323] FireFurry Bought ShieldSuit
[20:323] FireFurry Bought CombatSuit
[20:323] FireFurry Bought HazmatSuit
[20:323] FireFurry Bought HazmatSuit
[21:499] FireFurry Unlocked HeavyTurret
[21:578] FireFurry Unlocked SpecOpsTurret
[22:237] FireFurry Placed/Upgraded AutoTurret
[22:379] FireFurry Placed/Upgraded AutoTurret
[22:858] FireFurry Placed/Upgraded PsiIndoctrinator
[23:436] FireFurry Placed/Upgraded AutoTurret
[23:935] FireFurry Placed/Upgraded PsiIndoctrinator
[29:117] FireFurry Placed/Upgraded AutoTurret
[29:264] FireFurry Placed/Upgraded AutoTurret
[29:462] FireFurry Placed/Upgraded AutoTurret
[29:601] FireFurry Placed/Upgraded AutoTurret
[29:748] FireFurry Placed/Upgraded AutoTurret
[30:736] FireFurry Placed/Upgraded AutoTurret
[30:882] FireFurry Placed/Upgraded AutoTurret
[00:588] bonkybonky Unlocked AssaultRifle
[00:675] bonkybonky Placed/Upgraded MiningDroid
[00:771] bonkybonky Unlocked AdvancedDroidEngines
[03:035] bonkybonky Unlocked BeamRifle
[06:471] bonkybonky Unlocked TurboDroidEngines
[07:929] bonkybonky Unlocked Stimpack
[09:170] bonkybonky Unlocked SpecOpsPlasmaRifle
[09:851] bonkybonky Unlocked OpticalVisor
[11:770] bonkybonky Unlocked FragGrenade
[11:780] bonkybonky Unlocked SpecOpsFragGrenade
[12:197] bonkybonky Bought ShieldSuit
[12:197] bonkybonky Bought CombatSuit
[12:197] bonkybonky Bought HazmatSuit
[13:260] bonkybonky Unlocked PlasmaRifleMod3
[13:381] bonkybonky Unlocked MedicShield
[15:036] bonkybonky Unlocked CombatSuit
[17:046] bonkybonky Placed/Upgraded MiningDroid
[20:078] bonkybonky Unlocked AdvancedCombatSuit
[20:218] bonkybonky Unlocked EnergyPack
[24:594] bonkybonky Unlocked Teleporter
[24:604] bonkybonky Unlocked SpecOpsTeleporter
[28:160] bonkybonky Unlocked MiningCharge
[35:549] bonkybonky Placed/Upgraded NukePack
[00:588] Cruel Unlocked AssaultRifle
[00:701] Cruel Placed MiningDroid
[00:892] Cruel Unlocked IncendiaryGrenade
[00:971] Cruel Unlocked SpecOpsIncendiaryGrenade
[03:921] Cruel Unlocked EnergySuit
[03:922] Cruel Unlocked EnergySuit
[06:261] Cruel Unlocked AdvancedEnergySuit
[06:262] Cruel Unlocked EnergySuit
[06:262] Cruel Unlocked AdvancedEnergySuit
[12:232] Cruel Placed MiningDroid
[15:003] Cruel Unlocked Teleporter
[15:037] Cruel Bought ShieldSuit
[15:037] Cruel Bought CombatSuit
[15:037] Cruel Bought HazmatSuit
[15:037] Cruel Bought CombatSuit
[20:079] Cruel Bought CombatSuit
[24:574] Cruel Placed MiningDroid
[26:294] Cruel Unlocked PsiDisrupter
[27:348] Cruel Placed PsiIndoctrinator
[36:022] Cruel Placed PsiIndoctrinator
[00:552] Decar Bought PlayerNumber
[01:061] Decar Spawned MassiveCocoon
[02:501] Decar Spawned Anubalisk
[03:795] Decar Bought CreepSpeed
[03:922] Decar Bought ShieldSuit
[03:922] Decar Bought CombatSuit
[03:922] Decar Bought HazmatSuit
[06:186] Decar Bought CreepSpeed
[07:739] Decar Bought UnlockDropPods
[07:977] Decar Bought EvolveDropPods
[08:289] Decar Bought EvolveDropPods
[08:958] Decar Bought EvolveDropPods
[09:661] Decar Bought EvolveDropPods
[10:782] Decar Bought EvolveDropPods
[10:791] Decar Bought EvolveDropPods
[13:703] Decar Bought BuildExtractorProcessingFacilities
[13:703] Decar Placed/Upgraded AutomatedExtractor
[13:756] Decar Bought BuildExtractorScienceLabs
[13:756] Decar Placed/Upgraded AutomatedExtractor
[14:653] Decar Placed/Upgraded NydusCanalCreeper
[14:657] Decar Bought ExtractorCostReductionProcessingFacilities
[14:657] Decar Bought BuildExtractorProcessingFacilities
[15:313] Decar Bought VirulentCreep
[15:313] Decar Bought VirulentCreep
[15:920] Decar Bought BuildExtractorScienceLabs
[17:016] Decar Spawned MassiveCocoon
[18:285] Decar Placed/Upgraded NydusCanalCreeper
[19:924] Decar Bought SpawnNydusWorm
[21:361] Decar Bought BuildExtractorManufacturingSector
[21:361] Decar Placed/Upgraded AutomatedExtractor
[22:019] Decar Placed/Upgraded GreaterNydusWorm
[22:447] Decar Bought ExtractorCostReductionManufacturingSector
[22:447] Decar Bought BuildExtractorManufacturingSector
[23:698] Decar Bought StrainSpeed
[23:721] Decar Bought PureStrainSpeed
[23:746] Decar Bought HunterlingStrain
[24:948] Decar Bought BuildExtractorExcavationZone
[24:948] Decar Placed/Upgraded AutomatedExtractor
[24:994] Decar Bought BuildExtractorScienceLabs
[24:994] Decar Placed/Upgraded AutomatedExtractor
[26:117] Decar Bought BuildExtractorScienceLabs
[26:376] Decar Bought BuildExtractorExcavationZone
