Analyzed: Oh No It's Zombies Arctic Updated (342)

ID : 0 PlayerName: llllllllllll Race: Zerg
ID : 1 PlayerName: GhostHound Race: Terran
ID : 2 PlayerName: GunsOfEskimo Race: Terran
ID : 3 PlayerName: PrimeSTEMI Race: Terran
ID : 4 PlayerName: CosmicDomino Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: rex Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
llllllllllll Zombie Loss
Public Lobby

Game Length:[44:081]
Players ammount: 8
Marine rank avg: 12
GrandMaster ammount: 3
PURCHASES: 
[00:677] llllllllllll Placed/Upgraded PrimalSunkenColony
[00:678] llllllllllll Bought SunkenColony
[00:918] llllllllllll Bought SunkenColony
[00:918] llllllllllll Placed/Upgraded PrimalSunkenColony
[02:608] llllllllllll Bought CreepSpeed
[03:763] llllllllllll Placed/Upgraded PrimalSunkenColony
[03:764] llllllllllll Bought SunkenColony
[04:004] llllllllllll Bought SunkenColony
[04:004] llllllllllll Placed/Upgraded PrimalSunkenColony
[04:776] llllllllllll Bought SunkenColony
[04:881] llllllllllll Bought BuildExtractorScienceLabs
[04:881] llllllllllll Placed/Upgraded AutomatedExtractor
[05:082] llllllllllll Placed/Upgraded NydusCanalCreeper
[05:152] llllllllllll Bought SunkenColony
[05:152] llllllllllll Bought SunkenColony
[05:323] llllllllllll Bought SunkenColony
[05:323] llllllllllll Placed/Upgraded PrimalSunkenColony
[05:611] llllllllllll Placed/Upgraded LesserNydusWorm
[05:612] llllllllllll Bought GreaterNydus
[06:580] llllllllllll Bought StrainHealth
[07:402] llllllllllll Placed/Upgraded PrimalSunkenColony
[07:403] llllllllllll Bought SunkenColony
[07:956] llllllllllll Bought SunkenColony
[07:956] llllllllllll Bought SunkenColony
[08:026] llllllllllll Bought GreaterNydus
[08:130] llllllllllll Placed/Upgraded PrimalSunkenColony
[08:131] llllllllllll Bought SunkenColony
[08:498] llllllllllll Bought AdvancedInfestationContainment
[09:045] llllllllllll Bought PureStrainHealth
[09:640] llllllllllll Bought TankStrain
[10:238] llllllllllll Placed/Upgraded PrimalSunkenColony
[10:239] llllllllllll Bought SunkenColony
[10:362] llllllllllll Bought BuildExtractorManufacturingSector
[10:362] llllllllllll Placed/Upgraded AutomatedExtractor
[10:580] llllllllllll Placed/Upgraded NydusCanalCreeper
[10:742] llllllllllll Placed/Upgraded Virophage
[11:129] llllllllllll Placed/Upgraded PrimalSunkenColony
[11:130] llllllllllll Bought SunkenColony
[12:212] llllllllllll Bought StrainVolatile
[12:949] llllllllllll Bought PureStrainVolatile
[13:194] llllllllllll Placed/Upgraded NydusCanalCreeper
[13:475] llllllllllll Placed/Upgraded NydusCanalCreeper
[14:200] llllllllllll Placed/Upgraded PrimalSunkenColony
[14:201] llllllllllll Bought SunkenColony
[14:510] llllllllllll Bought SunkenColony
[14:761] llllllllllll Bought KaboomerStrain
[15:133] llllllllllll Bought SunkenColony
[15:365] llllllllllll Placed/Upgraded NydusCanalCreeper
[15:619] llllllllllll Bought StrainDamage
[15:813] llllllllllll Bought ExtractorCostReductionManufacturingSector
[15:813] llllllllllll Bought BuildExtractorManufacturingSector
[16:459] llllllllllll Bought PureStrainDamage
[16:624] llllllllllll Spawned MassiveCocoon
[16:876] llllllllllll Bought DefilerStrain
[17:304] llllllllllll Placed/Upgraded NydusCanalCreeper
[17:704] llllllllllll Spawned Underseer
[18:470] llllllllllll Placed/Upgraded NydusCanalCreeper
[19:050] llllllllllll Placed/Upgraded Virophage
[19:739] llllllllllll Bought UnlockDropPods
[19:840] llllllllllll Bought EvolveDropPods
