Analyzed: Oh No It's Zombies Arctic Updated (344)

ID : 0 PlayerName: EnigmaTome Race: Terran
ID : 1 PlayerName: UneducatedT Race: Terran
ID : 2 PlayerName: dwarfplanet Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: llllllllllll Race: Terran
ID : 5 PlayerName: Ahanax Race: Terran
ID : 6 PlayerName: mira Race: Zerg
ID : 7 PlayerName: Security Race: Protoss
mira Zombie Loss
Private Lobby

Game Length:[34:238]
Players ammount: 8
Marine rank avg: 12,333333333333334
GrandMaster ammount: 4
PURCHASES: 
[00:588] EnigmaTome Unlocked AssaultRifle
[00:769] EnigmaTome Placed/Upgraded MiningDroid
[01:684] EnigmaTome Unlocked AdvancedDroidEngines
[03:664] EnigmaTome Unlocked TurboDroidEngines
[04:714] EnigmaTome Unlocked Shieldsiotunlocked
[06:088] EnigmaTome Unlocked Flamethrower
[10:649] EnigmaTome Unlocked HellfireRocketLauncher
[10:696] EnigmaTome Unlocked SpecOpsHellfireRocketLauncher
[10:931] EnigmaTome Unlocked RocketLauncherMod1
[11:049] EnigmaTome Unlocked AdvancedShieldSuit
[11:090] EnigmaTome Unlocked CombatSuit
[11:121] EnigmaTome Unlocked AdvancedCombatSuit
[00:588] UneducatedT Unlocked AssaultRifle
[01:363] UneducatedT Unlocked ArcWelder
[01:688] UneducatedT Placed/Upgraded MiningDroid
[02:940] UneducatedT Unlocked AutoTurret
[02:994] UneducatedT Placed/Upgraded AutoTurret
[03:110] UneducatedT Unlocked FragGrenade
[03:559] UneducatedT Placed/Upgraded AutoTurret
[04:303] UneducatedT Unlocked BioMechanicalRepairDrone
[04:332] UneducatedT Unlocked CombatAccelerationDrone
[04:715] UneducatedT Bought ShieldSuit
[04:715] UneducatedT Bought CombatSuit
[04:715] UneducatedT Bought HazmatSuit
[04:715] UneducatedT Bought ShieldSuit
[04:858] UneducatedT Placed/Upgraded HealingDrone
[05:131] UneducatedT Placed/Upgraded HealingDrone
[05:461] UneducatedT Unlocked MotionSensor
[06:073] UneducatedT Placed/Upgraded SensorTower
[06:223] UneducatedT Placed/Upgraded HealingDrone
[06:378] UneducatedT Placed/Upgraded HealingDrone
[06:533] UneducatedT Placed/Upgraded HealingDrone
[07:279] UneducatedT Unlocked HeavyTurret
[08:641] UneducatedT Unlocked AdvancedDroidEngines
[10:270] UneducatedT Placed/Upgraded SensorTower
[10:410] UneducatedT Unlocked TurboDroidEngines
[10:654] UneducatedT Placed/Upgraded SensorTower
[11:050] UneducatedT Bought ShieldSuit
[11:091] UneducatedT Bought ShieldSuit
[11:091] UneducatedT Bought CombatSuit
[11:091] UneducatedT Bought HazmatSuit
[11:091] UneducatedT Bought CombatSuit
[11:122] UneducatedT Bought CombatSuit
[11:289] UneducatedT Unlocked Stimpack
[12:158] UneducatedT Placed/Upgraded SensorTower
[12:469] UneducatedT Placed/Upgraded SensorTower
[12:644] UneducatedT Placed/Upgraded SensorTower
[12:972] UneducatedT Placed/Upgraded SensorTower
[13:489] UneducatedT Unlocked QuantumBackpack
[14:167] UneducatedT Placed/Upgraded AutoTurret
[14:746] UneducatedT Placed/Upgraded AutoTurret
[15:135] UneducatedT Placed/Upgraded AutoTurret
[15:679] UneducatedT Unlocked MedicShield
[15:979] UneducatedT Placed/Upgraded AutoTurret
[16:116] UneducatedT Placed/Upgraded AutoTurret
[16:265] UneducatedT Placed/Upgraded HealingDrone
[16:894] UneducatedT Unlocked SpecOpsArcWelder
[16:926] UneducatedT Unlocked ArcWelderMod1
[18:514] UneducatedT Placed/Upgraded AutoTurret
[18:660] UneducatedT Placed/Upgraded AutoTurret
[18:812] UneducatedT Placed/Upgraded AutoTurret
[18:944] UneducatedT Placed/Upgraded AutoTurret
[19:405] UneducatedT Unlocked EnergySuit
[19:406] UneducatedT Unlocked EnergySuit
[19:411] UneducatedT Unlocked AdvancedEnergySuit
[19:412] UneducatedT Unlocked EnergySuit
[19:412] UneducatedT Unlocked AdvancedEnergySuit
[19:484] UneducatedT Unlocked PsiDisrupter
[19:632] UneducatedT Placed/Upgraded AutoTurret
[19:764] UneducatedT Placed/Upgraded PsiIndoctrinator
[20:119] UneducatedT Placed/Upgraded AutoTurret
[20:221] UneducatedT Placed/Upgraded AutoTurret
