Analyzed: Oh No It's Zombies Arctic Updated (347)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: Ahanax Race: Terran
ID : 2 PlayerName: Ascherit Race: Terran
ID : 3 PlayerName: Cruel Race: Terran
ID : 4 PlayerName: MarFly Race: Terran
ID : 5 PlayerName: Frosky Race: Zerg
ID : 6 PlayerName: archdracon Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Frosky Zombie Loss
Private Lobby

Game Length:[37:815]
Players ammount: 8
Marine rank avg: 10,666666666666666
GrandMaster ammount: 7
PURCHASES: 
[00:588] Tin Unlocked AssaultRifle
[00:676] Tin Placed/Upgraded MiningDroid
[02:311] Tin Unlocked Shotgun
[03:742] Tin Unlocked SpecOpsShotgun
[05:788] Tin Unlocked Stimpack
[07:109] Tin Unlocked BioMechanicalRepairDrone
[07:971] Tin Placed/Upgraded HealingDrone
[09:874] Tin Unlocked SuperStimpack
[11:586] Tin Unlocked HazmatSuit
[12:645] Tin Placed/Upgraded HealingDrone
[14:121] Tin Placed/Upgraded HealingDrone
[15:835] Tin Placed/Upgraded HealingDrone
[16:014] Tin Placed/Upgraded HealingDrone
[16:624] Tin Unlocked HighPrecisionBeams
[17:718] Tin Unlocked AdvancedHazmatSuit
[17:761] Tin Unlocked OpticalVisor
[19:157] Tin Unlocked MedicShield
[21:144] Tin Unlocked EnergyPack
[23:660] Tin Unlocked PsiDisrupter
[23:863] Tin Placed/Upgraded PsiIndoctrinator
[24:060] Tin Placed/Upgraded PsiIndoctrinator
[25:413] Tin Placed/Upgraded HealingDrone
[26:532] Tin Placed/Upgraded PsiIndoctrinator
[26:850] Tin Placed/Upgraded PsiIndoctrinator
[28:076] Tin Unlocked PsiDepressor
[28:351] Tin Placed/Upgraded HealingDrone
[31:720] Tin Placed/Upgraded HealingDrone
[32:168] Tin Placed/Upgraded HealingDrone
[34:288] Tin Placed/Upgraded HealingDrone
[35:143] Tin Placed/Upgraded HealingDrone
[35:712] Tin Unlocked MiningCharge
[35:718] Tin Unlocked AdvancedMiningCharge
[35:912] Tin Placed/Upgraded NukePack
[35:961] Tin Placed/Upgraded HealingDrone
[36:230] Tin Placed/Upgraded HealingDrone
[00:588] Ahanax Unlocked AssaultRifle
[00:667] Ahanax Placed/Upgraded MiningDroid
[00:816] Ahanax Unlocked IncendiaryGrenade
[02:828] Ahanax Unlocked AdvancedDroidEngines
[04:316] Ahanax Unlocked Flamethrower
[08:966] Ahanax Unlocked SpecOpsFlamethrower
[09:625] Ahanax Unlocked BioMechanicalRepairDrone
[11:587] Ahanax Bought ShieldSuit
[11:587] Ahanax Bought CombatSuit
[11:587] Ahanax Bought HazmatSuit
[11:587] Ahanax Bought HazmatSuit
[11:930] Ahanax Unlocked Stimpack
[12:275] Ahanax Placed/Upgraded HealingDrone
[12:968] Ahanax Placed/Upgraded MiningDroid
[14:436] Ahanax Unlocked CryoFreeze
[16:475] Ahanax Unlocked Shieldsiotunlocked
[16:874] Ahanax Placed/Upgraded HealingDrone
[17:561] Ahanax Unlocked AdvancedShieldSuit
[17:719] Ahanax Bought HazmatSuit
