Analyzed: Oh No It's Zombies Arctic Updated (349)

ID : 0 PlayerName: MacNCheese Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: Rose Race: Terran
ID : 3 PlayerName: Wally Race: Terran
ID : 4 PlayerName: NBDY Race: Terran
ID : 5 PlayerName: Zrg Race: Terran
ID : 6 PlayerName: MasterOfWar Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Frosky Zombie Win
Public Lobby

Game Length:[21:499]
Players ammount: 8
Marine rank avg: 7,333333333333333
GrandMaster ammount: 2
PURCHASES: 
[00:588] MacNCheese Unlocked AssaultRifle
[00:667] MacNCheese Placed MiningDroid
[00:807] MacNCheese Unlocked AdvancedDroidEngines
[03:756] MacNCheese Unlocked SpecOpsAssaultRifle
[08:782] MacNCheese Unlocked AutoTargetingSystem
[08:825] MacNCheese Unlocked AIAssistant
[10:104] MacNCheese Unlocked CombatShield
[12:657] MacNCheese Unlocked OverloadWeapon
[14:018] MacNCheese Unlocked CloakingDevice
[17:033] MacNCheese Unlocked SpecOpsCloakingDevice
[17:826] MacNCheese Unlocked EnergyPack
[18:060] MacNCheese Unlocked CombatSuit
[00:552] Frosky Bought PlayerNumber
[01:401] Frosky Spawned MassiveCocoon
[02:841] Frosky Spawned Hunter
[02:941] Frosky Placed/Upgraded ToxicNest
[02:960] Frosky Placed/Upgraded ToxicNest
[03:406] Frosky Spawned MassiveCocoon
[04:846] Frosky Spawned Hunter
[05:601] Frosky Placed/Upgraded ToxicNest
[05:602] Frosky Placed/Upgraded ToxicNest
[07:907] Frosky Bought CreepSpeed
[09:181] Frosky Bought CreepSpeed
[10:789] Frosky Bought BuildExtractorScienceLabs
[10:789] Frosky Placed/Upgraded AutomatedExtractor
[11:555] Frosky Bought BuildExtractorManufacturingSector
[11:555] Frosky Placed/Upgraded AutomatedExtractor
[13:866] Frosky Spawned MassiveCocoon
[13:895] Frosky Spawned MassiveCocoon
[14:356] Frosky Bought UnlockDropPods
[15:306] Frosky Spawned Anubalisk
[15:335] Frosky Spawned Anubalisk
[17:251] Frosky Bought BuildExtractorProcessingFacilities
[17:251] Frosky Placed/Upgraded AutomatedExtractor
[17:397] Frosky Placed/Upgraded NydusCanalCreeper
[17:706] Frosky Bought StrainHealth
[17:714] Frosky Bought PureStrainHealth
[17:745] Frosky Bought StrainHealth
[18:061] Frosky Bought ShieldSuit
[18:061] Frosky Bought CombatSuit
[18:061] Frosky Bought HazmatSuit
[18:061] Frosky Bought CombatSuit
[18:682] Frosky Placed/Upgraded NydusCanalCreeper
[19:223] Frosky Bought StrainSpeed
[19:232] Frosky Bought PureStrainSpeed
[00:588] Rose Unlocked AssaultRifle
[00:749] Rose Placed/Upgraded MiningDroid
[00:954] Rose Unlocked AdvancedDroidEngines
[03:555] Rose Unlocked SpecOpsAssaultRifle
[00:588] Wally Unlocked AssaultRifle
[00:728] Wally Placed/Upgraded MiningDroid
[00:916] Wally Unlocked AdvancedDroidEngines
[05:988] Wally Unlocked ArcWelder
[06:172] Wally Unlocked BioMechanicalRepairDrone
[06:191] Wally Unlocked CombatAccelerationDrone
[06:477] Wally Placed/Upgraded HealingDrone
[06:823] Wally Placed/Upgraded HealingDrone
[07:008] Wally Placed/Upgraded HealingDrone
[07:493] Wally Placed/Upgraded HealingDrone
[07:724] Wally Unlocked MotionSensor
[08:230] Wally Placed/Upgraded SensorTower
[10:541] Wally Unlocked EnergyPack
[10:577] Wally Unlocked IncendiaryGrenade
[10:634] Wally Unlocked TurboDroidEngines
[10:726] Wally Unlocked CombatShield
[12:629] Wally Unlocked SpecOpsIncendiaryGrenade
[12:700] Wally Unlocked AutoTurret
[12:752] Wally Unlocked Shieldsiotunlocked
[17:230] Wally Placed/Upgraded HealingDrone
[00:588] NBDY Unlocked AssaultRifle
[01:747] NBDY Placed/Upgraded MiningDroid
[02:154] NBDY Unlocked ForceFieldGrenade
[02:720] NBDY Unlocked AdvancedDroidEngines
[06:096] NBDY Unlocked TurboDroidEngines
[07:912] NBDY Unlocked MiningCharge
[08:360] NBDY Placed/Upgraded NukePack
[10:117] NBDY Placed/Upgraded NukePack
[12:583] NBDY Unlocked BioMechanicalRepairDrone
[12:596] NBDY Unlocked SpecOpsBioMechanicalRepairDrone
[12:753] NBDY Bought ShieldSuit
[12:753] NBDY Bought CombatSuit
[12:753] NBDY Bought HazmatSuit
[12:753] NBDY Bought ShieldSuit
[12:763] NBDY Placed/Upgraded HealingDrone
[13:184] NBDY Placed/Upgraded HealingDrone
[13:767] NBDY Placed/Upgraded NukePack
[13:814] NBDY Placed/Upgraded HealingDrone
[14:493] NBDY Placed/Upgraded NukePack
[14:596] NBDY Placed/Upgraded HealingDrone
[16:706] NBDY Placed/Upgraded NukePack
[00:588] Zrg Unlocked AssaultRifle
[00:810] Zrg Placed/Upgraded MiningDroid
[04:436] Zrg Unlocked PsiDisrupter
[05:890] Zrg Placed/Upgraded MiningDroid
[14:197] Zrg Placed/Upgraded PsiIndoctrinator
[00:588] MasterOfWar Unlocked AssaultRifle
[00:893] MasterOfWar Unlocked SpecOpsAssaultRifle
Frosky First Alpha Hunter |  Win

Frosky Placed 0 Greaters.
--------------------------------
