Analyzed: Oh No It's Zombies Arctic Updated (353)

ID : 0 PlayerName: BuildAWall Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: RedWalruz Race: Terran
ID : 3 PlayerName: Apollo Race: Terran
ID : 4 PlayerName: fisjek Race: Terran
ID : 5 PlayerName: Nami Race: Zerg
ID : 6 PlayerName: battlerig Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Nami Zombie Loss
Public Lobby

Game Length:[41:813]
Players ammount: 8
Marine rank avg: 6
GrandMaster ammount: 1
PURCHASES: 
[00:588] BuildAWall Unlocked AssaultRifle
[00:667] BuildAWall Placed/Upgraded MiningDroid
[00:758] BuildAWall Unlocked OverloadWeapon
[04:129] BuildAWall Unlocked SpecOpsAssaultRifle
[07:529] BuildAWall Unlocked TitaniumBulletCasings
[08:412] BuildAWall Unlocked CombatSuit
[09:455] BuildAWall Unlocked AdvancedCombatSuit
[11:855] BuildAWall Unlocked BioMechanicalRepairDrone
[11:981] BuildAWall Placed/Upgraded HealingDrone
[13:113] BuildAWall Placed/Upgraded MiningDroid
[13:340] BuildAWall Placed/Upgraded HealingDrone
[13:516] BuildAWall Placed/Upgraded HealingDrone
[15:340] BuildAWall Placed/Upgraded MiningDroid
[15:392] BuildAWall Unlocked AdvancedDroidEngines
[16:342] BuildAWall Unlocked OpticalVisor
[18:997] BuildAWall Placed/Upgraded HealingDrone
[19:290] BuildAWall Placed/Upgraded HealingDrone
[19:477] BuildAWall Placed/Upgraded HealingDrone
[21:937] BuildAWall Unlocked PsiDisrupter
[22:000] BuildAWall Placed/Upgraded PsiIndoctrinator
[22:053] BuildAWall Unlocked SpecOpsBioMechanicalRepairDrone
[22:177] BuildAWall Placed/Upgraded HealingDrone
[22:619] BuildAWall Unlocked ForceFieldGrenade
[23:445] BuildAWall Placed/Upgraded HealingDrone
[24:761] BuildAWall Placed/Upgraded MiningDroid
[25:070] BuildAWall Placed/Upgraded HealingDrone
[25:374] BuildAWall Placed/Upgraded HealingDrone
[25:836] BuildAWall Placed/Upgraded PsiIndoctrinator
[27:597] BuildAWall Unlocked TurboDroidEngines
[27:984] BuildAWall Placed/Upgraded PsiIndoctrinator
[28:968] BuildAWall Unlocked CombatShield
[29:002] BuildAWall Unlocked EnergyPack
[29:051] BuildAWall Unlocked SpecOpsForcefieldGrenade
[29:101] BuildAWall Unlocked MiningCharge
[29:500] BuildAWall Unlocked SpecOpsPsiDisruptor
[30:892] BuildAWall Placed/Upgraded MiningDroid
[32:083] BuildAWall Placed/Upgraded HealingDrone
[32:530] BuildAWall Unlocked PowerConverter
[32:596] BuildAWall Unlocked AdvancedMiningCharge
[32:759] BuildAWall Placed/Upgraded HealingDrone
[34:326] BuildAWall Placed/Upgraded NukePack
[34:780] BuildAWall Placed/Upgraded HealingDrone
[36:609] BuildAWall Placed/Upgraded NukePack
[37:137] BuildAWall Unlocked SpecOpsPowerConverter
[37:585] BuildAWall Placed/Upgraded MiningDroid
[37:923] BuildAWall Placed/Upgraded HealingDrone
[38:234] BuildAWall Placed/Upgraded NukePack
[38:472] BuildAWall Placed/Upgraded HealingDrone
[39:312] BuildAWall Placed/Upgraded NukePack
[40:205] BuildAWall Placed/Upgraded NukePack
