Analyzed: Oh No It's Zombies Arctic Updated (354)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Apollo Race: Terran
ID : 2 PlayerName: ProDem Race: Zerg
ID : 3 PlayerName: Nami Race: Terran
ID : 4 PlayerName: RedWalruz Race: Terran
ID : 5 PlayerName: Juuggernaut Race: Terran
ID : 6 PlayerName: Wally Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
ProDem Zombie Win
Public Lobby

Game Length:[34:680]
Players ammount: 8
Marine rank avg: 8,833333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:796] Frosky Unlocked AdvancedDroidEngines
[02:963] Frosky Unlocked SpecOpsAssaultRifle
[04:849] Frosky Unlocked TitaniumBulletCasings
[06:775] Frosky Unlocked Stimpack
[07:954] Frosky Unlocked ExplorationDroid
[07:977] Frosky Placed/Upgraded ExplorationDroid
[08:016] Frosky Placed/Upgraded ExplorationDroid
[08:194] Frosky Placed/Upgraded ExplorationDroid
[09:059] Frosky Unlocked CombatSuit
[11:211] Frosky Unlocked AdvancedCombatSuit
[11:445] Frosky Placed/Upgraded MiningDroid
[12:595] Frosky Unlocked BioMechanicalRepairDrone
[12:608] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[13:082] Frosky Placed/Upgraded HealingDrone
[14:764] Frosky Placed/Upgraded HealingDrone
[15:079] Frosky Placed/Upgraded MiningDroid
[15:816] Frosky Placed/Upgraded MiningDroid
[16:828] Frosky Placed/Upgraded HealingDrone
[17:808] Frosky Placed/Upgraded MiningDroid
[19:315] Frosky Placed/Upgraded HealingDrone
[20:103] Frosky Unlocked PsiDisrupter
[20:117] Frosky Unlocked PsiDepressor
[20:204] Frosky Placed/Upgraded PsiIndoctrinator
[20:442] Frosky Placed/Upgraded PsiIndoctrinator
[21:212] Frosky Placed/Upgraded HealingDrone
[23:127] Frosky Placed/Upgraded HealingDrone
[23:536] Frosky Placed/Upgraded PsiIndoctrinator
[26:288] Frosky Unlocked Teleporter
[27:937] Frosky Placed/Upgraded PsiIndoctrinator
[29:011] Frosky Placed/Upgraded MiningDroid
[00:588] Apollo Unlocked AssaultRifle
[00:667] Apollo Placed MiningDroid
[00:737] Apollo Unlocked Shotgun
[04:630] Apollo Unlocked SpecOpsShotgun
[04:671] Apollo Unlocked HighPrecisionBeams
[07:919] Apollo Unlocked Stimpack
[09:060] Apollo Bought ShieldSuit
[09:060] Apollo Bought CombatSuit
[09:060] Apollo Bought HazmatSuit
[09:060] Apollo Bought CombatSuit
[09:916] Apollo Unlocked SuperStimpack
[11:212] Apollo Bought CombatSuit
[11:309] Apollo Unlocked CombatSuit
[11:381] Apollo Unlocked MedicShield
[16:087] Apollo Unlocked SpecOpsSuperStimpack
[18:750] Apollo Unlocked AdvancedCombatSuit
[29:200] Apollo Unlocked AutoTurret
[29:248] Apollo Placed AutoTurret
[29:448] Apollo Placed AutoTurret
[29:631] Apollo Placed AutoTurret
[31:693] Apollo Placed AutoTurret
[31:996] Apollo Placed AutoTurret
[32:207] Apollo Placed AutoTurret
[00:552] ProDem Bought PlayerNumber
[01:627] ProDem Spawned MassiveCocoon
[03:067] ProDem Spawned Hunter
[04:284] ProDem Spawned MassiveCocoon
[05:244] ProDem Bought UnlockDropPods
[05:510] ProDem Placed/Upgraded ToxicNest
[05:724] ProDem Spawned Hunter
[06:105] ProDem Bought EvolveDropPods
[06:110] ProDem Bought EvolveDropPods
[07:242] ProDem Bought EvolveDropPods
[07:999] ProDem Placed/Upgraded ToxicNest
[08:019] ProDem Placed/Upgraded ToxicNest
[08:030] ProDem Placed/Upgraded ToxicNest
[08:110] ProDem Bought EvolveDropPods
[08:411] ProDem Placed/Upgraded ToxicNest
[08:422] ProDem Placed/Upgraded ToxicNest
[08:467] ProDem Placed/Upgraded ToxicNest
