Analyzed: Oh No It's Zombies Arctic Updated (359)

ID : 0 PlayerName: rares Race: Terran
ID : 1 PlayerName: BrdyCD Race: Terran
ID : 2 PlayerName: xXNoOneXx Race: Terran
ID : 3 PlayerName: TheFear Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: Barcode Race: Terran
ID : 6 PlayerName: Nehemir Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Frosky Zombie Win
Public Lobby

Game Length:[38:252]
Players ammount: 8
Marine rank avg: 4,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] rares Unlocked AssaultRifle
[00:916] rares Placed/Upgraded MiningDroid
[01:420] rares Unlocked ArcWelder
[02:121] rares Unlocked AdvancedDroidEngines
[03:080] rares Unlocked TurboDroidEngines
[04:016] rares Unlocked BioMechanicalRepairDrone
[04:054] rares Unlocked CombatAccelerationDrone
[05:919] rares Placed/Upgraded HealingDrone
[06:071] rares Placed/Upgraded HealingDrone
[06:214] rares Placed/Upgraded HealingDrone
[06:627] rares Unlocked AutoTurret
[07:267] rares Placed/Upgraded AutoTurret
[08:124] rares Placed/Upgraded AutoTurret
[09:054] rares Placed/Upgraded AutoTurret
[09:196] rares Unlocked FlameTurret
[09:202] rares Unlocked HeavyTurret
[10:107] rares Placed/Upgraded AutoTurret
[10:413] rares Unlocked SpecOpsArcWelder
[11:960] rares Placed/Upgraded AutoTurret
[12:166] rares Placed/Upgraded AutoTurret
[12:370] rares Placed/Upgraded HealingDrone
[12:623] rares Placed/Upgraded HealingDrone
[12:956] rares Unlocked SpecOpsBioMechanicalRepairDrone
[14:145] rares Placed/Upgraded AutoTurret
[14:282] rares Placed/Upgraded AutoTurret
[14:383] rares Placed/Upgraded AutoTurret
[14:659] rares Unlocked Stimpack
[14:704] rares Unlocked MedicShield
[14:846] rares Placed/Upgraded AutoTurret
[15:556] rares Unlocked MotionSensor
[16:914] rares Placed/Upgraded SensorTower
[17:313] rares Placed/Upgraded SensorTower
