Analyzed: Oh No It's Zombies Arctic Updated (365)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Oglethorpe Race: Terran
ID : 2 PlayerName: VoidSlayer Race: Terran
ID : 3 PlayerName: Amon Race: Terran
ID : 4 PlayerName: Ascherit Race: Terran
ID : 5 PlayerName: King Race: Terran
ID : 6 PlayerName: PartimeHero Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Frosky Zombie Win
Public Lobby

Game Length:[31:892]
Players ammount: 8
Marine rank avg: 9,5
GrandMaster ammount: 3
PURCHASES: 
[01:360] Frosky Spawned MassiveCocoon
[02:800] Frosky Spawned Hunter
[03:581] Frosky Spawned MassiveCocoon
[03:675] Frosky Placed/Upgraded ToxicNest
[03:679] Frosky Placed/Upgraded ToxicNest
[03:688] Frosky Placed/Upgraded ToxicNest
[04:661] Frosky Spawned Underseer
[04:747] Frosky Placed/Upgraded ToxicNest
[04:747] Frosky Placed/Upgraded ToxicNest
[08:043] Frosky Bought CreepSpeed
[10:919] Frosky Bought CreepSpeed
[12:433] Frosky Placed/Upgraded ToxicNest
[12:443] Frosky Placed/Upgraded ToxicNest
[13:007] Frosky Spawned MassiveCocoon
[14:447] Frosky Spawned PrimalTownHallUprooted
[14:852] Frosky Placed/Upgraded ToxicNest
[14:865] Frosky Placed/Upgraded ToxicNest
[15:243] Frosky Bought VirulentCreep
[15:431] Frosky Placed/Upgraded ToxicNest
[15:443] Frosky Placed/Upgraded ToxicNest
[16:393] Frosky Spawned MassiveCocoon
[17:035] Frosky Spawned MassiveCocoon
[17:833] Frosky Spawned PrimalTownHallUprooted
[18:470] Frosky Spawned MassiveCocoon
[18:475] Frosky Spawned PrimalTownHallUprooted
[19:437] Frosky Spawned MassiveCocoon
[19:910] Frosky Spawned PrimalTownHallUprooted
[20:618] Frosky Placed/Upgraded Virophage
[20:877] Frosky Spawned Anubalisk
[21:880] Frosky Placed/Upgraded Virophage
[22:398] Frosky Spawned MassiveCocoon
[23:133] Frosky Placed/Upgraded NydusCanalCreeper
[23:838] Frosky Spawned Anubalisk
[24:031] Frosky Placed/Upgraded Virophage
[27:792] Frosky Spawned MassiveCocoon
[27:796] Frosky Spawned MassiveCocoon
[28:067] Frosky Placed/Upgraded NydusCanalCreeper
[29:228] Frosky Bought DropshipsFueled
[29:232] Frosky Spawned Anubalisk
[29:236] Frosky Spawned Anubalisk
[29:367] Frosky Bought SweepingInfestation
[29:367] Frosky Bought UltimateInfestationResearched
[30:292] Frosky Spawned MassiveCocoon
