Analyzed: Oh No It's Zombies Arctic Updated (367)

ID : 0 PlayerName: Salem Race: Terran
ID : 1 PlayerName: Ahanax Race: Terran
ID : 2 PlayerName: tim Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Toxicpanda Race: Zerg
ID : 5 PlayerName: RyK Race: Terran
ID : 6 PlayerName: Cruel Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Toxicpanda Zombie Win
Private Lobby

Game Length:[37:109]
Players ammount: 8
Marine rank avg: 13,666666666666666
GrandMaster ammount: 7
PURCHASES: 
[00:588] Salem Unlocked AssaultRifle
[00:667] Salem Placed/Upgraded MiningDroid
[00:762] Salem Unlocked AdvancedDroidEngines
[04:049] Salem Unlocked SpecOpsAssaultRifle
[05:800] Salem Unlocked AutoTargetingSystem
[08:007] Salem Unlocked OverloadWeapon
[10:182] Salem Unlocked TurboDroidEngines
[15:905] Salem Unlocked BioMechanicalRepairDrone
[18:707] Salem Placed/Upgraded HealingDrone
[20:276] Salem Placed/Upgraded HealingDrone
[20:738] Salem Placed/Upgraded HealingDrone
[35:315] Salem Placed/Upgraded HealingDrone
[35:957] Salem Placed/Upgraded HealingDrone
[36:320] Salem Placed/Upgraded HealingDrone
[00:588] Ahanax Unlocked AssaultRifle
[00:669] Ahanax Placed/Upgraded MiningDroid
[00:705] Ahanax Unlocked AdvancedDroidEngines
[03:297] Ahanax Unlocked BeamRifle
[05:694] Ahanax Unlocked SpecOpsPlasmaRifle
[07:302] Ahanax Unlocked SuperStimpack
[09:503] Ahanax Unlocked Stimpack
[10:807] Ahanax Unlocked BioMechanicalRepairDrone
[12:317] Ahanax Unlocked SpecOpsSuperStimpack
[17:807] Ahanax Unlocked LongRangeScope
[18:928] Ahanax Placed/Upgraded MiningDroid
[21:020] Ahanax Placed/Upgraded HealingDrone
[22:167] Ahanax Placed/Upgraded HealingDrone
[31:097] Ahanax Unlocked EnergySuit
[31:098] Ahanax Unlocked EnergySuit
[31:119] Ahanax Unlocked AdvancedEnergySuit
[31:120] Ahanax Unlocked EnergySuit
[31:120] Ahanax Unlocked AdvancedEnergySuit
[31:243] Ahanax Unlocked EnergyPack
[34:916] Ahanax Placed/Upgraded HealingDrone
[35:781] Ahanax Placed/Upgraded HealingDrone
[00:588] tim Unlocked AssaultRifle
[00:700] tim Placed/Upgraded MiningDroid
[00:752] tim Unlocked AdvancedDroidEngines
[01:784] tim Unlocked FragGrenade
[04:624] tim Unlocked Stimpack
[06:735] tim Unlocked Shotgun
[07:912] tim Unlocked SuperStimpack
[09:212] tim Unlocked SpecOpsShotgun
[10:133] tim Unlocked BioMechanicalRepairDrone
[11:251] tim Placed/Upgraded HealingDrone
[12:979] tim Unlocked TurboDroidEngines
[13:546] tim Placed/Upgraded HealingDrone
[14:228] tim Placed/Upgraded HealingDrone
[14:691] tim Placed/Upgraded HealingDrone
[15:318] tim Unlocked HighPrecisionBeams
[15:435] tim Placed/Upgraded HealingDrone
[17:027] tim Placed/Upgraded HealingDrone
[17:454] tim Unlocked HazmatSuit
[20:372] tim Placed/Upgraded HealingDrone
[22:073] tim Placed/Upgraded HealingDrone
[23:535] tim Placed/Upgraded HealingDrone
[25:394] tim Placed/Upgraded MiningDroid
[27:372] tim Unlocked SpecOpsSuperStimpack
[27:711] tim Placed/Upgraded HealingDrone
[28:516] tim Placed/Upgraded HealingDrone
[28:877] tim Placed/Upgraded HealingDrone
[31:098] tim Bought ShieldSuit
[31:098] tim Bought CombatSuit
[31:098] tim Bought HazmatSuit
[31:459] tim Placed/Upgraded HealingDrone
[32:085] tim Placed/Upgraded HealingDrone
[32:995] tim Unlocked DefensiveMatrix
[34:107] tim Placed/Upgraded HealingDrone
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed MiningDroid
[00:751] Frosky Unlocked Shotgun
[04:718] Frosky Unlocked Stimpack
[06:477] Frosky Unlocked AdvancedDroidEngines
[08:967] Frosky Unlocked SpecOpsShotgun
[09:845] Frosky Unlocked ConcussiveBeams
[11:191] Frosky Unlocked CombatSuit
[12:294] Frosky Unlocked TurboDroidEngines
[13:422] Frosky Unlocked AdvancedCombatSuit
[14:870] Frosky Placed MiningDroid
[17:161] Frosky Unlocked BioMechanicalRepairDrone
[17:203] Frosky Placed HealingDrone
[17:455] Frosky Bought ShieldSuit
[17:455] Frosky Bought CombatSuit
[17:455] Frosky Bought HazmatSuit
[17:455] Frosky Bought HazmatSuit
[17:580] Frosky Unlocked Teleporter
[18:262] Frosky Unlocked CombatShield
[19:861] Frosky Placed MiningDroid
[21:391] Frosky Unlocked AutoTurret
[21:473] Frosky Placed AutoTurret
[21:881] Frosky Placed AutoTurret
