Analyzed: Oh No It's Zombies Arctic Updated (369)

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 1 PlayerName: Salem Race: Zerg
ID : 2 PlayerName: tim Race: Terran
ID : 3 PlayerName: Ahanax Race: Terran
ID : 4 PlayerName: Cruel Race: Terran
ID : 5 PlayerName: RyK Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Salem Zombie Win
Private Lobby

Game Length:[24:850]
Players ammount: 8
Marine rank avg: 13,666666666666666
GrandMaster ammount: 7
PURCHASES: 
[00:588] Toxicpanda Unlocked AssaultRifle
[00:667] Toxicpanda Placed MiningDroid
[00:899] Toxicpanda Unlocked AdvancedDroidEngines
[04:155] Toxicpanda Unlocked TurboDroidEngines
[06:929] Toxicpanda Unlocked Stimpack
[07:023] Toxicpanda Unlocked IncendiaryGrenade
[09:618] Toxicpanda Unlocked Flamethrower
[09:621] Toxicpanda Unlocked SpecOpsFlamethrower
[10:650] Toxicpanda Unlocked BioMechanicalRepairDrone
[11:609] Toxicpanda Unlocked CombatShield
[11:684] Toxicpanda Unlocked AIAssistant
[12:102] Toxicpanda Placed HealingDrone
[12:742] Toxicpanda Unlocked LongRangeIncinerators
[13:859] Toxicpanda Unlocked HazmatSuit
[13:863] Toxicpanda Unlocked AdvancedHazmatSuit
[13:900] Toxicpanda Unlocked EnergyPack
[14:454] Toxicpanda Placed HealingDrone
[15:586] Toxicpanda Placed HealingDrone
[16:117] Toxicpanda Placed HealingDrone
[16:534] Toxicpanda Placed HealingDrone
[16:900] Toxicpanda Unlocked Teleporter
[16:913] Toxicpanda Unlocked SpecOpsTeleporter
[17:562] Toxicpanda Placed HealingDrone
[17:959] Toxicpanda Placed HealingDrone
[18:394] Toxicpanda Placed HealingDrone
[21:938] Toxicpanda Unlocked OverloadWeapon
[22:055] Toxicpanda Unlocked MiningCharge
[22:102] Toxicpanda Unlocked AdvancedMiningCharge
[22:330] Toxicpanda Placed NukePack
[22:364] Toxicpanda Placed HealingDrone
[23:591] Toxicpanda Unlocked EnergySuit
[23:592] Toxicpanda Unlocked EnergySuit
[23:595] Toxicpanda Unlocked AdvancedEnergySuit
[23:596] Toxicpanda Unlocked EnergySuit
[23:596] Toxicpanda Unlocked AdvancedEnergySuit
[23:989] Toxicpanda Placed NukePack
[00:552] Salem Bought PlayerNumber
[00:682] Salem Spawned MassiveCocoon
[00:965] Salem Placed/Upgraded PrimalSunkenColony
[00:966] Salem Bought SunkenColony
[01:612] Salem Bought SunkenColony
[01:728] Salem Placed/Upgraded PrimalSunkenColony
[01:729] Salem Bought SunkenColony
[02:122] Salem Spawned Hunter
[04:100] Salem Spawned MassiveCocoon
[04:179] Salem Bought SunkenColony
[05:378] Salem Bought UnlockDropPods
[05:383] Salem Bought EvolveDropPods
[05:540] Salem Spawned Anubalisk
[06:157] Salem Bought EvolveDropPods
[06:161] Salem Bought EvolveDropPods
[06:562] Salem Bought EvolveDropPods
[07:456] Salem Placed/Upgraded PrimalSunkenColony
[07:457] Salem Bought SunkenColony
[07:490] Salem Bought EvolveDropPods
[07:494] Salem Bought EvolveDropPods
[08:883] Salem Bought SunkenColony
[09:369] Salem Spawned MassiveCocoon
[10:809] Salem Spawned Hunter
[11:265] Salem Placed/Upgraded PrimalSunkenColony
[11:266] Salem Bought SunkenColony
[12:174] Salem Placed/Upgraded ToxicNest
[12:180] Salem Placed/Upgraded ToxicNest
[12:222] Salem Placed/Upgraded ToxicNest
[13:460] Salem Placed/Upgraded ToxicNest
[13:482] Salem Placed/Upgraded ToxicNest
[13:860] Salem Bought ShieldSuit
[13:860] Salem Bought CombatSuit
[13:860] Salem Bought HazmatSuit
[13:860] Salem Bought HazmatSuit
[13:864] Salem Bought HazmatSuit
[13:960] Salem Placed/Upgraded ToxicNest
[14:057] Salem Placed/Upgraded PrimalSunkenColony
[14:058] Salem Bought SunkenColony
[14:137] Salem Bought CreepSpeed
[15:030] Salem Bought VirulentCreep
[15:030] Salem Bought VirulentCreep
[15:336] Salem Bought SunkenColony
[18:416] Salem Spawned MassiveCocoon
[18:866] Salem Bought SpawnNydusWorm
[18:997] Salem Bought SunkenColony
[19:100] Salem Placed/Upgraded NydusCanalCreeper
[19:856] Salem Spawned Hunter
[20:071] Salem Placed/Upgraded GreaterNydusWorm
[20:548] Salem Bought DropshipsFueled
[22:993] Salem Bought UltimateInfestationResearched
[23:592] Salem Bought ShieldSuit
[23:592] Salem Bought CombatSuit
[23:592] Salem Bought HazmatSuit
[23:839] Salem Bought GreaterNydus
[00:588] tim Unlocked AssaultRifle
[00:669] tim Placed/Upgraded MiningDroid
[00:726] tim Unlocked SuperStimpack
