Analyzed: Oh No It's Zombies Arctic Updated (37)

ID : 0 PlayerName: KHAOTIC Race: Terran
ID : 1 PlayerName: RyK Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: eye Race: Terran
ID : 4 PlayerName: Ryan Race: Terran
ID : 5 PlayerName: BLACKBLACK Race: Terran
ID : 6 PlayerName: Marcelo Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Loss
Public Lobby

Game Length:[38:963]
Players ammount: 8
Marine rank avg: 0,8333333333333334
GrandMaster ammount: 1
PURCHASES: 
[00:588] KHAOTIC Unlocked AssaultRifle
[01:353] KHAOTIC Placed/Upgraded MiningDroid
[01:415] KHAOTIC Unlocked HellfireRocketLauncher
[01:443] KHAOTIC Unlocked ForceFieldGrenade
[04:356] KHAOTIC Unlocked Stimpack
[06:599] KHAOTIC Unlocked AdvancedDroidEngines
[16:080] KHAOTIC Unlocked SpecOpsHellfireRocketLauncher
[16:112] KHAOTIC Unlocked ShockwaveMissiles
[16:170] KHAOTIC Unlocked TurboDroidEngines
[18:513] KHAOTIC Unlocked SpecOpsForcefieldGrenade
[18:743] KHAOTIC Unlocked Shieldsiotunlocked
[18:748] KHAOTIC Unlocked AdvancedShieldSuit
[20:236] KHAOTIC Unlocked MiningCharge
[20:336] KHAOTIC Placed/Upgraded NukePack
[21:949] KHAOTIC Unlocked AdvancedMiningCharge
[23:194] KHAOTIC Placed/Upgraded MiningDroid
[23:324] KHAOTIC Unlocked MedicShield
[24:518] KHAOTIC Unlocked PsiDisrupter
[27:153] KHAOTIC Placed/Upgraded PsiIndoctrinator
[28:405] KHAOTIC Unlocked SpecOpsPsiDisruptor
[29:260] KHAOTIC Placed/Upgraded NukePack
[30:799] KHAOTIC Placed/Upgraded PsiIndoctrinator
[31:589] KHAOTIC Placed/Upgraded PsiIndoctrinator
[31:832] KHAOTIC Placed/Upgraded NukePack
[33:652] KHAOTIC Placed/Upgraded NukePack
[34:666] KHAOTIC Placed/Upgraded NukePack
[00:588] RyK Unlocked AssaultRifle
[00:667] RyK Placed MiningDroid
[00:787] RyK Unlocked AdvancedDroidEngines
[03:618] RyK Unlocked TurboDroidEngines
[04:571] RyK Unlocked MotionSensor
[06:188] RyK Placed SensorTower
[07:282] RyK Unlocked BioMechanicalRepairDrone
[07:318] RyK Unlocked CombatAccelerationDrone
[07:388] RyK Placed HealingDrone
[07:573] RyK Placed HealingDrone
[08:509] RyK Placed HealingDrone
[09:764] RyK Placed SensorTower
[12:161] RyK Unlocked SpecOpsAssaultRifle
[18:744] RyK Bought ShieldSuit
[18:744] RyK Bought CombatSuit
[18:744] RyK Bought HazmatSuit
[18:744] RyK Bought ShieldSuit
[18:749] RyK Bought ShieldSuit
[00:552] Frosky Bought PlayerNumber
[01:290] Frosky Bought CreepSpeed
[05:333] Frosky Bought CreepSpeed
[07:902] Frosky Bought VirulentCreep
[07:902] Frosky Bought VirulentCreep
[10:079] Frosky Bought StrainSpeed
[11:022] Frosky Bought BuildExtractorExcavationZone
[11:022] Frosky Placed/Upgraded AutomatedExtractor
[12:894] Frosky Bought PureStrainSpeed
[13:421] Frosky Bought StrainSpeed
[15:198] Frosky Bought PureStrainSpeed
[15:520] Frosky Bought StrainSpeed
[15:972] Frosky Bought BuildExtractorExcavationZone
