Analyzed: Oh No It's Zombies Arctic Updated (373)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: xXNoOneXx Race: Terran
ID : 2 PlayerName: Evan Race: Terran
ID : 3 PlayerName: King Race: Terran
ID : 4 PlayerName: alank Race: Terran
ID : 5 PlayerName: dwarfplanet Race: Terran
ID : 6 PlayerName: hdsf Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Win
Public Lobby

Game Length:[25:996]
Players ammount: 8
Marine rank avg: 6,5
GrandMaster ammount: 1
PURCHASES: 
[02:105] Frosky Spawned MassiveCocoon
[03:545] Frosky Spawned Hunter
[04:615] Frosky Spawned MassiveCocoon
[05:719] Frosky Spawned MassiveCocoon
[06:055] Frosky Spawned Hunter
[06:666] Frosky Placed/Upgraded ToxicNest
[06:666] Frosky Placed/Upgraded ToxicNest
[06:679] Frosky Placed/Upgraded ToxicNest
[07:159] Frosky Spawned Hunter
[09:714] Frosky Bought CreepSpeed
[11:330] Frosky Spawned MassiveCocoon
[12:683] Frosky Placed/Upgraded ToxicNest
[12:687] Frosky Placed/Upgraded ToxicNest
[12:756] Frosky Spawned MassiveCocoon
[12:770] Frosky Spawned Anubalisk
[14:196] Frosky Spawned Anubalisk
[14:480] Frosky Bought VirulentCreep
[15:225] Frosky Spawned MassiveCocoon
[16:174] Frosky Spawned MassiveCocoon
[16:665] Frosky Spawned PrimalTownHallUprooted
[17:614] Frosky Spawned PrimalTownHallUprooted
[18:305] Frosky Bought CreepSpeed
[19:467] Frosky Spawned MassiveCocoon
[19:920] Frosky Placed/Upgraded NydusCanalCreeper
[20:162] Frosky Spawned MassiveCocoon
[20:907] Frosky Spawned Anubalisk
[21:602] Frosky Spawned Anubalisk
[22:224] Frosky Placed/Upgraded ToxicNest
[22:230] Frosky Placed/Upgraded ToxicNest
[22:281] Frosky Placed/Upgraded ToxicNest
[22:348] Frosky Placed/Upgraded Virophage
[22:758] Frosky Placed/Upgraded Virophage
[23:899] Frosky Placed/Upgraded ToxicNest
[23:908] Frosky Placed/Upgraded ToxicNest
[00:588] xXNoOneXx Unlocked AssaultRifle
[00:749] xXNoOneXx Placed/Upgraded MiningDroid
[00:824] xXNoOneXx Unlocked Stimpack
[02:562] xXNoOneXx Unlocked HellfireRocketLauncher
[04:587] xXNoOneXx Unlocked AdvancedDroidEngines
[06:838] xXNoOneXx Unlocked SpecOpsHellfireRocketLauncher
[08:731] xXNoOneXx Unlocked TurboDroidEngines
[09:524] xXNoOneXx Unlocked MedicShield
[11:776] xXNoOneXx Placed/Upgraded MiningDroid
[17:319] xXNoOneXx Unlocked RocketLauncherMod1
[20:227] xXNoOneXx Placed/Upgraded MiningDroid
[00:588] Evan Unlocked AssaultRifle
[00:667] Evan Placed/Upgraded MiningDroid
[00:729] Evan Unlocked AdvancedDroidEngines
[03:184] Evan Unlocked TurboDroidEngines
