Analyzed: Oh No It's Zombies Arctic Updated (380)

ID : 0 PlayerName: Toxicpanda Race: Zerg
ID : 1 PlayerName: Tin Race: Terran
ID : 2 PlayerName: ProDem Race: Terran
ID : 3 PlayerName: Salem Race: Terran
ID : 4 PlayerName: MarFly Race: Terran
ID : 5 PlayerName: JMM Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Toxicpanda Zombie Loss
Private Lobby

Game Length:[40:650]
Players ammount: 8
Marine rank avg: 13,5
GrandMaster ammount: 5
PURCHASES: 
[00:633] Toxicpanda Spawned MassiveCocoon
[02:073] Toxicpanda Spawned Hunter
[02:644] Toxicpanda Spawned MassiveCocoon
[03:705] Toxicpanda Placed/Upgraded ToxicNest
[03:711] Toxicpanda Placed/Upgraded ToxicNest
[04:070] Toxicpanda Placed/Upgraded ToxicNest
[04:084] Toxicpanda Spawned Hunter
[07:579] Toxicpanda Spawned MassiveCocoon
[08:386] Toxicpanda Spawned MassiveCocoon
[09:019] Toxicpanda Spawned Anubalisk
[09:466] Toxicpanda Spawned Underseer
[10:590] Toxicpanda Placed/Upgraded PrimalSunkenColony
[10:591] Toxicpanda Bought SunkenColony
[11:453] Toxicpanda Bought SunkenColony
[11:865] Toxicpanda Placed/Upgraded PrimalSunkenColony
[11:866] Toxicpanda Bought SunkenColony
[12:390] Toxicpanda Bought UnlockDropPods
[13:469] Toxicpanda Spawned MassiveCocoon
[13:585] Toxicpanda Bought EvolveDropPods
[13:634] Toxicpanda Placed/Upgraded PrimalSunkenColony
[13:635] Toxicpanda Bought SunkenColony
[14:147] Toxicpanda Bought EvolveDropPods
[14:152] Toxicpanda Bought EvolveDropPods
[14:481] Toxicpanda Bought SunkenColony
[14:549] Toxicpanda Spawned Underseer
[15:290] Toxicpanda Bought EvolveDropPods
[15:292] Toxicpanda Bought EvolveDropPods
[15:627] Toxicpanda Bought BuildExtractorManufacturingSector
[15:627] Toxicpanda Placed/Upgraded AutomatedExtractor
[15:822] Toxicpanda Placed/Upgraded Virophage
[16:212] Toxicpanda Placed/Upgraded NydusCanalCreeper
[17:223] Toxicpanda Bought ExtractorCostReductionManufacturingSector
[17:223] Toxicpanda Bought BuildExtractorManufacturingSector
[17:533] Toxicpanda Bought SunkenColony
[17:578] Toxicpanda Bought CreepSpeed
[17:957] Toxicpanda Placed/Upgraded PrimalSunkenColony
[17:958] Toxicpanda Bought SunkenColony
[18:682] Toxicpanda Bought SunkenColony
[19:071] Toxicpanda Placed/Upgraded PrimalSunkenColony
[19:072] Toxicpanda Bought SunkenColony
[19:390] Toxicpanda Bought SiphonFuel
[19:491] Toxicpanda Bought BuildExtractorProcessingFacilities
[19:491] Toxicpanda Placed/Upgraded AutomatedExtractor
[19:656] Toxicpanda Bought SunkenColony
[21:429] Toxicpanda Spawned MassiveCocoon
[21:872] Toxicpanda Bought BuildExtractorExcavationZone
[21:872] Toxicpanda Placed/Upgraded AutomatedExtractor
[22:028] Toxicpanda Bought StrainSpeed
[22:158] Toxicpanda Bought EvolveDropPods
[22:354] Toxicpanda Placed/Upgraded PrimalSunkenColony
[22:355] Toxicpanda Bought SunkenColony
[22:660] Toxicpanda Bought SiphonFuel
[22:869] Toxicpanda Spawned Hunter
[23:032] Toxicpanda Placed/Upgraded NydusCanalCreeper
[23:521] Toxicpanda Placed/Upgraded ToxicNest
[23:540] Toxicpanda Placed/Upgraded ToxicNest
[24:047] Toxicpanda Placed/Upgraded ToxicNest
[24:053] Toxicpanda Placed/Upgraded ToxicNest
[24:059] Toxicpanda Placed/Upgraded ToxicNest
[24:596] Toxicpanda Bought ExtractorCostReductionProcessingFacilities
[24:596] Toxicpanda Bought BuildExtractorProcessingFacilities
[24:835] Toxicpanda Placed/Upgraded Virophage
[25:070] Toxicpanda Bought BuildExtractorScienceLabs
[25:070] Toxicpanda Placed/Upgraded AutomatedExtractor
[25:506] Toxicpanda Placed/Upgraded ToxicNest
[25:796] Toxicpanda Bought SiphonFuel
[25:889] Toxicpanda Placed/Upgraded ToxicNest
[26:542] Toxicpanda Placed/Upgraded NydusCanalCreeper
[27:193] Toxicpanda Spawned MassiveCocoon
[27:257] Toxicpanda Placed/Upgraded ToxicNest
[27:260] Toxicpanda Placed/Upgraded ToxicNest
[27:337] Toxicpanda Placed/Upgraded ToxicNest
[27:350] Toxicpanda Placed/Upgraded ToxicNest
[27:454] Toxicpanda Bought AdvancedInfestationContainment
[28:273] Toxicpanda Spawned Underseer
[29:079] Toxicpanda Bought SpawnNydusWorm
[29:645] Toxicpanda Placed/Upgraded NydusCanalCreeper
[29:755] Toxicpanda Bought SiphonFuel
[29:982] Toxicpanda Placed/Upgraded NydusCanalCreeper
[30:784] Toxicpanda Bought DropshipsFueled
[30:879] Toxicpanda Placed/Upgraded ToxicNest
[30:960] Toxicpanda Spawned RoyalCocoon
[30:960] Toxicpanda Bought SpawnHiveQueen
[30:960] Toxicpanda Bought UltimateInfestationResearched
[31:663] Toxicpanda Placed/Upgraded GreaterNydusWorm
[31:679] Toxicpanda Spawned QueenCoop
[31:729] Toxicpanda Bought PureStrainSpeed
[31:776] Toxicpanda Bought StrainVolatile
[32:758] Toxicpanda Bought PureStrainVolatile
[33:288] Toxicpanda Bought AdvancedPowerInfestation
[33:545] Toxicpanda Placed/Upgraded NydusCanalCreeper
[33:738] Toxicpanda Bought StrainHealth
[33:744] Toxicpanda Bought PureStrainHealth
[35:759] Toxicpanda Bought HunterlingStrain
[35:761] Toxicpanda Bought TankStrain
[35:762] Toxicpanda Bought KaboomerStrain
[35:817] Toxicpanda Spawned MassiveCocoon
[36:573] Toxicpanda Bought VirulentCreep
[37:257] Toxicpanda Spawned Anubalisk
[37:289] Toxicpanda Spawned MassiveCocoon
[38:369] Toxicpanda Spawned Underseer
[38:562] Toxicpanda Placed/Upgraded GreaterNydusWorm
[38:779] Toxicpanda Bought StrainHealth
[38:782] Toxicpanda Bought PureStrainHealth
[38:789] Toxicpanda Bought TankStrain
[39:305] Toxicpanda Placed/Upgraded NydusCanalCreeper
[00:588] Tin Unlocked AssaultRifle
[00:842] Tin Placed/Upgraded MiningDroid
[02:871] Tin Unlocked Shotgun
[02:909] Tin Unlocked SuperStimpack
[06:075] Tin Unlocked SpecOpsShotgun
[07:558] Tin Unlocked HighPrecisionBeams
[08:652] Tin Unlocked BioMechanicalRepairDrone
[10:720] Tin Placed/Upgraded HealingDrone
[11:011] Tin Unlocked Stimpack
[11:974] Tin Unlocked HazmatSuit
[11:975] Tin Unlocked ShieldSuit
[11:975] Tin Unlocked AdvancedShieldSuit
[11:975] Tin Unlocked CombatSuit
[11:975] Tin Unlocked AdvancedCombatSuit
[11:975] Tin Unlocked HazmatSuit
[11:975] Tin Unlocked AdvancedHazmatSuit
[11:975] Tin Unlocked HazmatSuit
[19:629] Tin Placed/Upgraded HealingDrone
[21:609] Tin Placed/Upgraded HealingDrone
[25:275] Tin Unlocked AdvancedHazmatSuit
[25:276] Tin Unlocked HazmatSuit
[25:276] Tin Unlocked AdvancedHazmatSuit
[26:702] Tin Placed/Upgraded HealingDrone
[27:846] Tin Unlocked MedicShield
[28:616] Tin Placed/Upgraded MiningDroid
[30:254] Tin Unlocked OpticalVisor
[30:573] Tin Placed/Upgraded HealingDrone
[30:902] Tin Placed/Upgraded HealingDrone
[31:616] Tin Placed/Upgraded HealingDrone
[31:938] Tin Unlocked EnergyPack
[32:537] Tin Placed/Upgraded HealingDrone
[33:357] Tin Unlocked SpecOpsSuperStimpack
[33:619] Tin Placed/Upgraded HealingDrone
[34:765] Tin Placed/Upgraded HealingDrone
[35:378] Tin Placed/Upgraded HealingDrone
[00:588] ProDem Unlocked AssaultRifle
[00:762] ProDem Placed/Upgraded MiningDroid
[03:083] ProDem Unlocked AdvancedDroidEngines
[03:127] ProDem Unlocked IncendiaryGrenade
[07:498] ProDem Unlocked TurboDroidEngines
[07:524] ProDem Unlocked BeamRifle
[08:724] ProDem Unlocked SpecOpsPlasmaRifle
[09:153] ProDem Unlocked OverloadWeapon
[09:986] ProDem Unlocked ExplorationDroid
[10:241] ProDem Placed/Upgraded ExplorationDroid
[10:248] ProDem Placed/Upgraded ExplorationDroid
[10:808] ProDem Placed/Upgraded ExplorationDroid
[11:684] ProDem Unlocked AdvancedExplorationDroid
[12:721] ProDem Placed/Upgraded ExplorationDroid
[12:828] ProDem Placed/Upgraded MiningDroid
[14:116] ProDem Unlocked LongRangeScope
[14:398] ProDem Placed/Upgraded ExplorationDroid
[14:472] ProDem Placed/Upgraded ExplorationDroid
[15:900] ProDem Unlocked CombatSuit
[15:901] ProDem Unlocked ShieldSuit
[15:901] ProDem Unlocked AdvancedShieldSuit
[15:901] ProDem Unlocked CombatSuit
[15:901] ProDem Unlocked AdvancedCombatSuit
[15:901] ProDem Unlocked HazmatSuit
[15:901] ProDem Unlocked AdvancedHazmatSuit
[15:901] ProDem Unlocked CombatSuit
[15:927] ProDem Unlocked AdvancedCombatSuit
[15:928] ProDem Unlocked CombatSuit
[15:928] ProDem Unlocked AdvancedCombatSuit
[17:120] ProDem Placed/Upgraded ExplorationDroid
[20:202] ProDem Placed/Upgraded ExplorationDroid
[21:263] ProDem Placed/Upgraded MiningDroid
[22:448] ProDem Placed/Upgraded ExplorationDroid
[24:545] ProDem Unlocked SuperStimpack
[28:489] ProDem Unlocked MiningCharge
[28:501] ProDem Unlocked AdvancedMiningCharge
[28:603] ProDem Placed/Upgraded NukePack
[28:923] ProDem Placed/Upgraded NukePack
[29:816] ProDem Placed/Upgraded NukePack
[31:374] ProDem Placed/Upgraded NukePack
[31:987] ProDem Placed/Upgraded NukePack
[32:271] ProDem Placed/Upgraded NukePack
[32:564] ProDem Placed/Upgraded NukePack
[32:841] ProDem Unlocked AutoTurret
[32:933] ProDem Unlocked SpecOpsTurret
[33:224] ProDem Placed/Upgraded NukePack
[33:622] ProDem Placed/Upgraded NukePack
[36:328] ProDem Placed/Upgraded AutoTurret
[36:572] ProDem Placed/Upgraded AutoTurret
[37:010] ProDem Placed/Upgraded AutoTurret
[37:099] ProDem Placed/Upgraded ExplorationDroid
[37:965] ProDem Placed/Upgraded ExplorationDroid
[39:633] ProDem Placed/Upgraded MiningDroid
[39:865] ProDem Placed/Upgraded AutoTurret
[40:041] ProDem Placed/Upgraded AutoTurret
[00:588] Salem Unlocked AssaultRifle
[01:347] Salem Unlocked HellfireRocketLauncher
[01:443] Salem Placed/Upgraded MiningDroid
[03:438] Salem Unlocked SpecOpsHellfireRocketLauncher
[05:225] Salem Unlocked Stimpack
[06:958] Salem Unlocked BioMechanicalRepairDrone
[07:085] Salem Placed/Upgraded HealingDrone
[07:816] Salem Placed/Upgraded HealingDrone
[09:098] Salem Unlocked ShockwaveMissiles
[09:176] Salem Unlocked AdvancedDroidEngines
[11:276] Salem Unlocked CombatSuit
[11:277] Salem Unlocked ShieldSuit
[11:277] Salem Unlocked AdvancedShieldSuit
[11:277] Salem Unlocked CombatSuit
[11:277] Salem Unlocked AdvancedCombatSuit
[11:277] Salem Unlocked HazmatSuit
[11:277] Salem Unlocked AdvancedHazmatSuit
[11:277] Salem Unlocked CombatSuit
[11:283] Salem Unlocked AdvancedCombatSuit
[11:284] Salem Unlocked CombatSuit
[11:284] Salem Unlocked AdvancedCombatSuit
[12:153] Salem Placed/Upgraded HealingDrone
[13:058] Salem Placed/Upgraded MiningDroid
[14:728] Salem Placed/Upgraded HealingDrone
[15:214] Salem Placed/Upgraded HealingDrone
[18:604] Salem Placed/Upgraded HealingDrone
[20:457] Salem Placed/Upgraded MiningDroid
[21:419] Salem Placed/Upgraded HealingDrone
[21:731] Salem Placed/Upgraded HealingDrone
[22:835] Salem Unlocked ForceFieldGrenade
[22:842] Salem Unlocked SpecOpsForcefieldGrenade
[22:888] Salem Placed/Upgraded HealingDrone
[23:214] Salem Placed/Upgraded HealingDrone
[24:256] Salem Unlocked MiningCharge
[24:261] Salem Unlocked AdvancedMiningCharge
[26:301] Salem Placed/Upgraded HealingDrone
[27:191] Salem Placed/Upgraded HealingDrone
[27:679] Salem Placed/Upgraded NukePack
[29:373] Salem Unlocked MedicShield
[32:026] Salem Placed/Upgraded NukePack
[32:145] Salem Unlocked PowerConverter
[32:210] Salem Placed/Upgraded NukePack
[32:415] Salem Placed/Upgraded NukePack
[33:216] Salem Unlocked AutoTurret
[33:234] Salem Unlocked HeavyTurret
[33:301] Salem Unlocked QuantumBackpack
[33:594] Salem Placed/Upgraded HealingDrone
[34:257] Salem Placed/Upgraded HealingDrone
[34:764] Salem Placed/Upgraded HealingDrone
[35:152] Salem Placed/Upgraded NukePack
[35:728] Salem Placed/Upgraded HealingDrone
[36:092] Salem Placed/Upgraded HealingDrone
[36:588] Salem Placed/Upgraded NukePack
[37:277] Salem Placed/Upgraded HealingDrone
[00:588] MarFly Unlocked AssaultRifle
[00:823] MarFly Placed/Upgraded MiningDroid
[03:207] MarFly Unlocked IncendiaryGrenade
[06:050] MarFly Unlocked HellfireRocketLauncher
[06:064] MarFly Unlocked SpecOpsHellfireRocketLauncher
[08:891] MarFly Placed/Upgraded MiningDroid
[09:765] MarFly Unlocked AdvancedDroidEngines
[10:902] MarFly Unlocked Stimpack
[12:242] MarFly Unlocked ShockwaveMissiles
[12:330] MarFly Unlocked MedicShield
[13:935] MarFly Placed/Upgraded MiningDroid
[16:840] MarFly Unlocked SuperStimpack
[17:948] MarFly Unlocked BioMechanicalRepairDrone
[21:445] MarFly Placed/Upgraded MiningDroid
[23:301] MarFly Placed/Upgraded HealingDrone
[24:037] MarFly Placed/Upgraded HealingDrone
[24:368] MarFly Placed/Upgraded HealingDrone
[26:324] MarFly Placed/Upgraded HealingDrone
[26:795] MarFly Placed/Upgraded HealingDrone
[27:070] MarFly Unlocked MiningCharge
[27:086] MarFly Unlocked TurboDroidEngines
[27:346] MarFly Placed/Upgraded NukePack
[28:567] MarFly Unlocked AutoTurret
[28:588] MarFly Unlocked HeavyTurret
[29:025] MarFly Placed/Upgraded AutoTurret
[31:477] MarFly Placed/Upgraded AutoTurret
[31:893] MarFly Placed/Upgraded AutoTurret
[32:422] MarFly Unlocked QuantumBackpack
[32:599] MarFly Unlocked EnergySuit
[32:600] MarFly Unlocked ShieldSuit
[32:600] MarFly Unlocked AdvancedShieldSuit
[32:600] MarFly Unlocked CombatSuit
[32:600] MarFly Unlocked AdvancedCombatSuit
[32:600] MarFly Unlocked HazmatSuit
[32:600] MarFly Unlocked AdvancedHazmatSuit
[32:600] MarFly Unlocked EnergySuit
[32:629] MarFly Unlocked AdvancedEnergySuit
[32:630] MarFly Unlocked EnergySuit
[32:630] MarFly Unlocked AdvancedEnergySuit
[33:137] MarFly Unlocked SpecOpsIncendiaryGrenade
[33:780] MarFly Placed/Upgraded AutoTurret
[34:778] MarFly Placed/Upgraded AutoTurret
[35:182] MarFly Placed/Upgraded AutoTurret
[35:512] MarFly Placed/Upgraded AutoTurret
[35:775] MarFly Placed/Upgraded AutoTurret
[36:397] MarFly Placed/Upgraded AutoTurret
[37:748] MarFly Placed/Upgraded NukePack
[37:978] MarFly Placed/Upgraded NukePack
[00:588] JMM Unlocked AssaultRifle
[00:772] JMM Placed/Upgraded MiningDroid
[02:644] JMM Unlocked ArcWelder
[03:430] JMM Unlocked BioMechanicalRepairDrone
[03:448] JMM Unlocked CombatAccelerationDrone
[03:885] JMM Placed/Upgraded HealingDrone
[04:580] JMM Placed/Upgraded HealingDrone
[04:855] JMM Placed/Upgraded HealingDrone
[05:337] JMM Placed/Upgraded HealingDrone
[06:788] JMM Unlocked AdvancedDroidEngines
[08:419] JMM Unlocked TurboDroidEngines
[09:654] JMM Placed/Upgraded HealingDrone
[09:923] JMM Unlocked AutoTurret
[10:051] JMM Placed/Upgraded AutoTurret
[11:206] JMM Placed/Upgraded AutoTurret
[11:341] JMM Placed/Upgraded AutoTurret
[12:780] JMM Unlocked Stimpack
