Analyzed: Oh No It's Zombies Arctic Updated (382)

ID : 0 PlayerName: dwarfplanet Race: Terran
ID : 1 PlayerName: FightorFleet Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: WillSCGamer Race: Terran
ID : 4 PlayerName: Toxicpanda Race: Zerg
ID : 5 PlayerName: masterchief Race: Terran
ID : 6 PlayerName: PartimeHero Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Toxicpanda Zombie Win
Public Lobby

Game Length:[27:631]
Players ammount: 8
Marine rank avg: 9
GrandMaster ammount: 2
PURCHASES: 
[00:588] dwarfplanet Unlocked AssaultRifle
[00:711] dwarfplanet Placed/Upgraded MiningDroid
[02:588] dwarfplanet Unlocked AdvancedDroidEngines
[05:366] dwarfplanet Unlocked TurboDroidEngines
[07:237] dwarfplanet Unlocked MedicShield
[07:372] dwarfplanet Unlocked SpecOpsAssaultRifle
[10:312] dwarfplanet Unlocked OverloadWeapon
[11:496] dwarfplanet Unlocked Stimpack
[12:439] dwarfplanet Unlocked PsiDisrupter
[12:572] dwarfplanet Placed/Upgraded PsiIndoctrinator
[14:368] dwarfplanet Unlocked Shotgun
[14:742] dwarfplanet Unlocked HazmatSuit
[15:674] dwarfplanet Unlocked TitaniumBulletCasings
[18:386] dwarfplanet Placed/Upgraded PsiIndoctrinator
[18:692] dwarfplanet Unlocked BioMechanicalRepairDrone
[18:724] dwarfplanet Unlocked CombatAccelerationDrone
[18:833] dwarfplanet Placed/Upgraded HealingDrone
[19:438] dwarfplanet Placed/Upgraded HealingDrone
[19:967] dwarfplanet Placed/Upgraded MiningDroid
[23:742] dwarfplanet Placed/Upgraded HealingDrone
[24:603] dwarfplanet Placed/Upgraded HealingDrone
[24:940] dwarfplanet Placed/Upgraded HealingDrone
[27:413] dwarfplanet Placed/Upgraded MiningDroid
[00:588] FightorFleet Unlocked AssaultRifle
[02:605] FightorFleet Placed/Upgraded MiningDroid
[03:643] FightorFleet Unlocked HellfireRocketLauncher
[05:206] FightorFleet Unlocked SpecOpsHellfireRocketLauncher
[07:334] FightorFleet Unlocked RocketLauncherMod1
[09:913] FightorFleet Unlocked PsiDisrupter
[11:519] FightorFleet Unlocked Stimpack
[14:743] FightorFleet Bought ShieldSuit
[14:743] FightorFleet Bought CombatSuit
[14:743] FightorFleet Bought HazmatSuit
[14:743] FightorFleet Bought HazmatSuit
[15:542] FightorFleet Placed/Upgraded PsiIndoctrinator
[15:940] FightorFleet Unlocked IncendiaryGrenade
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[02:211] Frosky Unlocked Flamethrower
[04:365] Frosky Unlocked AdvancedDroidEngines
[06:060] Frosky Unlocked SpecOpsFlamethrower
[06:585] Frosky Unlocked BioMechanicalRepairDrone
[06:768] Frosky Placed/Upgraded HealingDrone
[09:406] Frosky Unlocked TurboDroidEngines
[10:666] Frosky Unlocked CryoFreeze
