Analyzed: Oh No It's Zombies Arctic Updated (386)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Kreen Race: Terran
ID : 2 PlayerName: rares Race: Zerg
ID : 3 PlayerName: ironstone Race: Terran
ID : 4 PlayerName: tshiar Race: Terran
ID : 5 PlayerName: Nehemir Race: Terran
ID : 6 PlayerName: ZaqazDeath Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
rares Zombie Loss
Public Lobby

Game Length:[33:804]
Players ammount: 8
Marine rank avg: 8,166666666666666
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:791] Frosky Unlocked ArcWelder
[02:619] Frosky Unlocked BioMechanicalRepairDrone
[02:627] Frosky Unlocked CombatAccelerationDrone
[02:696] Frosky Placed/Upgraded HealingDrone
[03:677] Frosky Placed/Upgraded HealingDrone
[03:808] Frosky Placed/Upgraded HealingDrone
[04:263] Frosky Placed/Upgraded HealingDrone
[05:236] Frosky Placed/Upgraded HealingDrone
[05:752] Frosky Unlocked AdvancedDroidEngines
[06:705] Frosky Unlocked AutoTurret
[06:841] Frosky Placed/Upgraded AutoTurret
[07:956] Frosky Placed/Upgraded AutoTurret
[08:100] Frosky Placed/Upgraded AutoTurret
[08:944] Frosky Unlocked ExplorationDroid
[08:980] Frosky Placed/Upgraded ExplorationDroid
[09:032] Frosky Placed/Upgraded ExplorationDroid
[09:157] Frosky Placed/Upgraded ExplorationDroid
[10:321] Frosky Placed/Upgraded AutoTurret
[10:474] Frosky Placed/Upgraded AutoTurret
[10:643] Frosky Placed/Upgraded AutoTurret
[11:048] Frosky Unlocked HeavyTurret
[11:116] Frosky Placed/Upgraded AutoTurret
[11:830] Frosky Placed/Upgraded AutoTurret
[13:753] Frosky Placed/Upgraded AutoTurret
[13:956] Frosky Placed/Upgraded AutoTurret
[14:279] Frosky Placed/Upgraded AutoTurret
[15:411] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[15:742] Frosky Placed/Upgraded HealingDrone
[15:916] Frosky Unlocked MotionSensor
[16:299] Frosky Placed/Upgraded SensorTower
[21:330] Frosky Placed/Upgraded MiningDroid
[22:228] Frosky Placed/Upgraded HealingDrone
[22:372] Frosky Placed/Upgraded HealingDrone
[22:791] Frosky Unlocked RechargeDrone
[22:896] Frosky Placed/Upgraded HealingDrone
[23:060] Frosky Placed/Upgraded HealingDrone
[23:522] Frosky Placed/Upgraded AutoTurret
[23:656] Frosky Placed/Upgraded AutoTurret
[24:094] Frosky Placed/Upgraded AutoTurret
[24:798] Frosky Placed/Upgraded AutoTurret
[25:325] Frosky Placed/Upgraded AutoTurret
[29:266] Frosky Placed/Upgraded AutoTurret
[00:588] Kreen Unlocked AssaultRifle
[00:790] Kreen Placed MiningDroid
[00:870] Kreen Unlocked AdvancedDroidEngines
[04:053] Kreen Unlocked TurboDroidEngines
[06:794] Kreen Unlocked SpecOpsAssaultRifle
[08:222] Kreen Placed MiningDroid
[10:144] Kreen Unlocked AutoTargetingSystem
[12:640] Kreen Unlocked OverloadWeapon
[12:729] Kreen Unlocked AutoTurret
[13:150] Kreen Placed AutoTurret
[13:708] Kreen Placed AutoTurret
[14:425] Kreen Placed AutoTurret
[15:028] Kreen Unlocked SpecOpsTurret
[15:094] Kreen Unlocked CloakingDevice
[15:672] Kreen Placed AutoTurret
[16:354] Kreen Placed AutoTurret
[17:284] Kreen Unlocked SpecOpsCloakingDevice
[17:336] Kreen Unlocked MedicShield
[18:052] Kreen Placed AutoTurret
[18:258] Kreen Placed AutoTurret
[18:732] Kreen Placed AutoTurret
[20:089] Kreen Unlocked EnergySuit
[20:090] Kreen Unlocked EnergySuit
[25:178] Kreen Placed AutoTurret
[25:418] Kreen Placed AutoTurret
[25:857] Kreen Placed AutoTurret
[26:260] Kreen Placed AutoTurret
[27:990] Kreen Placed AutoTurret
[28:324] Kreen Placed AutoTurret
[28:640] Kreen Placed AutoTurret
[31:609] Kreen Placed AutoTurret
[00:552] rares Bought PlayerNumber
[00:751] rares Spawned MassiveCocoon
[02:191] rares Spawned PrimalTownHallUprooted
[02:756] rares Bought StrainHealth
[04:274] rares Spawned MassiveCocoon
[05:674] rares Spawned MassiveCocoon
[05:714] rares Spawned PrimalTownHallUprooted
[05:738] rares Spawned MassiveCocoon
[06:818] rares Spawned Underseer
[07:114] rares Spawned PrimalTownHallUprooted
[08:412] rares Bought PureStrainHealth
[10:481] rares Spawned MassiveCocoon
[11:921] rares Spawned PrimalTownHallUprooted
[14:510] rares Bought TankStrain
[14:587] rares Spawned MassiveCocoon
[15:327] rares Bought UnlockDropPods
[16:027] rares Spawned PrimalTownHallUprooted
[17:345] rares Bought AdvancedPowerInfestation
[17:606] rares Bought AdvancedInfestationContainment
[19:078] rares Spawned MassiveCocoon
[19:979] rares Bought EvolveDropPods
[20:018] rares Bought EvolveDropPods
[20:090] rares Bought ShieldSuit
[20:090] rares Bought CombatSuit
[20:090] rares Bought HazmatSuit
[20:518] rares Spawned PrimalTownHallUprooted
