Analyzed: Oh No It's Zombies Arctic Updated (388)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: ZaqazDeath Race: Terran
ID : 2 PlayerName: RyK Race: Terran
ID : 3 PlayerName: Ahanax Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: Salem Race: Terran
ID : 6 PlayerName: reefing Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Frosky Zombie Loss
Private Lobby

Game Length:[34:762]
Players ammount: 8
Marine rank avg: 15,333333333333334
GrandMaster ammount: 5
PURCHASES: 
[00:588] Tin Unlocked AssaultRifle
[00:682] Tin Placed/Upgraded MiningDroid
[00:760] Tin Unlocked AdvancedDroidEngines
[02:884] Tin Unlocked Shotgun
[05:569] Tin Unlocked SpecOpsShotgun
[06:716] Tin Unlocked SuperStimpack
[07:708] Tin Unlocked Stimpack
[09:297] Tin Unlocked BioMechanicalRepairDrone
[09:817] Tin Placed/Upgraded HealingDrone
[10:451] Tin Unlocked HazmatSuit
[11:839] Tin Placed/Upgraded HealingDrone
[12:159] Tin Placed/Upgraded HealingDrone
[12:772] Tin Unlocked Flamethrower
[13:751] Tin Placed/Upgraded HealingDrone
[13:954] Tin Placed/Upgraded HealingDrone
[17:977] Tin Placed/Upgraded HealingDrone
[19:090] Tin Unlocked SpecOpsSuperStimpack
[19:795] Tin Unlocked AdvancedHazmatSuit
[19:831] Tin Unlocked EnergyPack
[19:837] Tin Unlocked MedicShield
[22:037] Tin Placed/Upgraded MiningDroid
[22:900] Tin Placed/Upgraded HealingDrone
[23:396] Tin Unlocked SpecOpsFlamethrower
[24:211] Tin Unlocked ThermiteFilaments
[25:135] Tin Placed/Upgraded HealingDrone
[26:257] Tin Placed/Upgraded HealingDrone
[26:976] Tin Placed/Upgraded HealingDrone
[00:588] ZaqazDeath Unlocked AssaultRifle
[00:667] ZaqazDeath Placed/Upgraded MiningDroid
[02:395] ZaqazDeath Unlocked Stimpack
[05:210] ZaqazDeath Unlocked SpecOpsAssaultRifle
[07:604] ZaqazDeath Unlocked AutoTargetingSystem
[10:452] ZaqazDeath Bought ShieldSuit
[10:452] ZaqazDeath Bought CombatSuit
[10:452] ZaqazDeath Bought HazmatSuit
[10:452] ZaqazDeath Bought HazmatSuit
[11:207] ZaqazDeath Unlocked AdvancedDroidEngines
[11:211] ZaqazDeath Unlocked TurboDroidEngines
[13:217] ZaqazDeath Unlocked AutoTurret
[13:290] ZaqazDeath Unlocked HeavyTurret
[13:898] ZaqazDeath Placed/Upgraded AutoTurret
[14:442] ZaqazDeath Placed/Upgraded AutoTurret
[14:616] ZaqazDeath Placed/Upgraded AutoTurret
[19:421] ZaqazDeath Placed/Upgraded AutoTurret
[19:751] ZaqazDeath Placed/Upgraded AutoTurret
[19:796] ZaqazDeath Bought HazmatSuit
[19:982] ZaqazDeath Unlocked Teleporter
[20:014] ZaqazDeath Unlocked IncendiaryGrenade
[20:859] ZaqazDeath Unlocked SpecOpsIncendiaryGrenade
[21:516] ZaqazDeath Placed/Upgraded AutoTurret
[22:050] ZaqazDeath Placed/Upgraded AutoTurret
[23:592] ZaqazDeath Unlocked EnergySuit
[23:593] ZaqazDeath Unlocked EnergySuit
[23:598] ZaqazDeath Unlocked AdvancedEnergySuit
[23:599] ZaqazDeath Unlocked EnergySuit
[23:599] ZaqazDeath Unlocked AdvancedEnergySuit
[25:560] ZaqazDeath Placed/Upgraded AutoTurret
[25:869] ZaqazDeath Placed/Upgraded AutoTurret
[26:005] ZaqazDeath Unlocked EnergyPack
[26:233] ZaqazDeath Placed/Upgraded AutoTurret
[26:734] ZaqazDeath Placed/Upgraded AutoTurret
[27:217] ZaqazDeath Placed/Upgraded MiningDroid
[28:201] ZaqazDeath Unlocked PsiDisrupter
[29:401] ZaqazDeath Placed/Upgraded PsiIndoctrinator
[29:811] ZaqazDeath Placed/Upgraded PsiIndoctrinator
[30:415] ZaqazDeath Placed/Upgraded PsiIndoctrinator
[31:826] ZaqazDeath Placed/Upgraded PsiIndoctrinator
[00:588] RyK Unlocked AssaultRifle
[00:673] RyK Placed/Upgraded MiningDroid
[00:721] RyK Unlocked AdvancedDroidEngines
[02:372] RyK Unlocked ExplorationDroid
[02:419] RyK Placed/Upgraded ExplorationDroid
[02:425] RyK Placed/Upgraded ExplorationDroid
[02:523] RyK Placed/Upgraded ExplorationDroid
[04:517] RyK Unlocked Stimpack
[06:886] RyK Unlocked FragGrenade
[06:890] RyK Unlocked SpecOpsFragGrenade
[08:396] RyK Unlocked SpecOpsAssaultRifle
[09:665] RyK Unlocked PowerConverter
[10:280] RyK Placed/Upgraded ExplorationDroid
[11:632] RyK Placed/Upgraded ExplorationDroid
