Analyzed: Oh No It's Zombies Arctic Updated (39)

ID : 0 PlayerName: Leviathan Race: Terran
ID : 1 PlayerName: INDUSTRY Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: RyK Race: Terran
ID : 4 PlayerName: Kaedin Race: Zerg
ID : 5 PlayerName: ArcticBlade Race: Terran
ID : 6 PlayerName: Fattums Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Kaedin Zombie Win
Public Lobby

Game Length:[35:770]
Players ammount: 8
Marine rank avg: 3
GrandMaster ammount: 1
PURCHASES: 
[00:588] Leviathan Unlocked AssaultRifle
[00:729] Leviathan Placed/Upgraded MiningDroid
[00:800] Leviathan Unlocked AdvancedDroidEngines
[04:021] Leviathan Unlocked ArcWelder
[09:546] Leviathan Unlocked AutoTurret
[09:615] Leviathan Unlocked SpecOpsTurret
[09:785] Leviathan Placed/Upgraded AutoTurret
[09:930] Leviathan Placed/Upgraded AutoTurret
[10:120] Leviathan Placed/Upgraded AutoTurret
[10:571] Leviathan Unlocked SpecOpsArcWelder
[10:811] Leviathan Unlocked MiningCharge
[10:817] Leviathan Unlocked AdvancedMiningCharge
[10:974] Leviathan Unlocked CombatSuit
[12:231] Leviathan Placed/Upgraded NukePack
[12:246] Leviathan Placed/Upgraded AutoTurret
[12:694] Leviathan Placed/Upgraded AutoTurret
[12:874] Leviathan Unlocked CombatShield
[12:894] Leviathan Unlocked EnergyPack
[13:163] Leviathan Placed/Upgraded NukePack
[16:798] Leviathan Placed/Upgraded AutoTurret
[17:067] Leviathan Placed/Upgraded AutoTurret
[19:322] Leviathan Placed/Upgraded MiningDroid
[21:977] Leviathan Unlocked FlameTurret
[22:063] Leviathan Placed/Upgraded AutoTurret
[24:236] Leviathan Placed/Upgraded AutoTurret
[25:070] Leviathan Placed/Upgraded AutoTurret
[28:622] Leviathan Unlocked PsiDisrupter
[28:658] Leviathan Unlocked PsiDepressor
[28:934] Leviathan Placed/Upgraded PsiIndoctrinator
[31:453] Leviathan Placed/Upgraded PsiIndoctrinator
[32:786] Leviathan Placed/Upgraded NukePack
