Analyzed: Oh No It's Zombies Arctic Updated (393)

ID : 0 PlayerName: TopHatTom Race: Terran
ID : 1 PlayerName: Skippus Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: RedWalruz Race: Terran
ID : 4 PlayerName: RunningRat Race: Zerg
ID : 5 PlayerName: QAI Race: Terran
ID : 6 PlayerName: Zepherd Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
RunningRat Zombie Win
Public Lobby

Game Length:[26:510]
Players ammount: 8
Marine rank avg: 12,833333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] TopHatTom Unlocked AssaultRifle
[01:148] TopHatTom Placed/Upgraded MiningDroid
[03:369] TopHatTom Unlocked Shotgun
[04:751] TopHatTom Unlocked MedicShield
[06:676] TopHatTom Unlocked Shieldsiotunlocked
[07:463] TopHatTom Unlocked AdvancedShieldSuit
[09:783] TopHatTom Unlocked SpecOpsShotgun
[14:820] TopHatTom Unlocked IncendiaryBullets
[16:529] TopHatTom Unlocked BioMechanicalRepairDrone
[16:558] TopHatTom Unlocked SpecOpsBioMechanicalRepairDrone
[16:903] TopHatTom Placed/Upgraded HealingDrone
[18:150] TopHatTom Unlocked FragGrenade
[19:009] TopHatTom Placed/Upgraded HealingDrone
[19:241] TopHatTom Placed/Upgraded HealingDrone
[21:324] TopHatTom Unlocked SuperStimpack
[23:054] TopHatTom Placed/Upgraded HealingDrone
[24:125] TopHatTom Placed/Upgraded HealingDrone
[00:588] Skippus Unlocked AssaultRifle
[02:488] Skippus Unlocked BeamRifle
[06:677] Skippus Bought ShieldSuit
[06:677] Skippus Bought CombatSuit
[06:677] Skippus Bought HazmatSuit
[06:677] Skippus Bought ShieldSuit
[07:464] Skippus Bought ShieldSuit
[08:373] Skippus Unlocked CombatSuit
[15:593] Skippus Unlocked AdvancedCombatSuit
[24:089] Skippus Unlocked FragGrenade
[00:588] Frosky Unlocked AssaultRifle
[00:711] Frosky Unlocked ArcWelder
[01:491] Frosky Placed/Upgraded MiningDroid
[02:375] Frosky Unlocked BioMechanicalRepairDrone
[03:304] Frosky Unlocked AutoTurret
[03:499] Frosky Placed/Upgraded AutoTurret
[04:152] Frosky Unlocked CombatAccelerationDrone
[04:257] Frosky Placed/Upgraded HealingDrone
[05:481] Frosky Placed/Upgraded HealingDrone
[05:674] Frosky Placed/Upgraded HealingDrone
[05:996] Frosky Placed/Upgraded AutoTurret
[06:234] Frosky Placed/Upgraded AutoTurret
[06:430] Frosky Placed/Upgraded AutoTurret
[08:155] Frosky Unlocked AdvancedDroidEngines
[08:374] Frosky Bought ShieldSuit
[08:374] Frosky Bought CombatSuit
[08:374] Frosky Bought HazmatSuit
[08:374] Frosky Bought CombatSuit
[09:248] Frosky Unlocked ExplorationDroid
[09:275] Frosky Placed/Upgraded ExplorationDroid
[09:333] Frosky Placed/Upgraded ExplorationDroid
[09:461] Frosky Placed/Upgraded ExplorationDroid
[09:811] Frosky Placed/Upgraded AutoTurret
[10:037] Frosky Placed/Upgraded AutoTurret
[10:192] Frosky Placed/Upgraded AutoTurret
[10:446] Frosky Placed/Upgraded AutoTurret
[10:792] Frosky Placed/Upgraded AutoTurret
[11:607] Frosky Placed/Upgraded AutoTurret
[11:773] Frosky Placed/Upgraded AutoTurret
[12:115] Frosky Placed/Upgraded AutoTurret
[13:658] Frosky Unlocked HeavyTurret
[13:744] Frosky Placed/Upgraded AutoTurret
[15:594] Frosky Bought CombatSuit
[15:949] Frosky Unlocked TurboDroidEngines
[16:605] Frosky Unlocked PsiDisrupter
[16:646] Frosky Placed/Upgraded PsiIndoctrinator
[17:146] Frosky Placed/Upgraded PsiIndoctrinator
[19:163] Frosky Unlocked CombatSuit
[19:174] Frosky Unlocked AdvancedCombatSuit
[19:586] Frosky Unlocked MotionSensor
[19:708] Frosky Placed/Upgraded SensorTower
[19:889] Frosky Placed/Upgraded SensorTower
[20:638] Frosky Unlocked Stimpack
[21:553] Frosky Placed/Upgraded PsiIndoctrinator
[22:459] Frosky Unlocked CombatShield
[22:465] Frosky Unlocked QuantumBackpack
[22:471] Frosky Unlocked OpticalVisor
[22:644] Frosky Placed/Upgraded AutoTurret
[22:989] Frosky Placed/Upgraded AutoTurret
[23:189] Frosky Placed/Upgraded AutoTurret
[24:325] Frosky Placed/Upgraded AutoTurret
[24:673] Frosky Placed/Upgraded AutoTurret
[00:588] RedWalruz Unlocked AssaultRifle
[00:702] RedWalruz Placed MiningDroid
[03:104] RedWalruz Unlocked AdvancedDroidEngines
[05:089] RedWalruz Unlocked TurboDroidEngines
[06:499] RedWalruz Unlocked PsiDisrupter
[06:516] RedWalruz Unlocked PsiDepressor
[09:162] RedWalruz Unlocked SpecOpsAssaultRifle
[09:540] RedWalruz Unlocked MedicShield
[11:049] RedWalruz Placed PsiIndoctrinator
[11:446] RedWalruz Placed PsiIndoctrinator
[11:879] RedWalruz Unlocked ExplorationDroid
[11:970] RedWalruz Placed ExplorationDroid
[12:314] RedWalruz Placed PsiIndoctrinator
[14:506] RedWalruz Placed PsiIndoctrinator
[16:572] RedWalruz Unlocked AutoTargetingSystem
[16:841] RedWalruz Placed ExplorationDroid
[17:250] RedWalruz Placed ExplorationDroid
[17:903] RedWalruz Unlocked Stimpack
[19:164] RedWalruz Bought ShieldSuit
[19:164] RedWalruz Bought CombatSuit
[19:164] RedWalruz Bought HazmatSuit
[19:164] RedWalruz Bought CombatSuit
[19:175] RedWalruz Bought CombatSuit
[19:368] RedWalruz Placed PsiIndoctrinator
[19:834] RedWalruz Unlocked OpticalVisor
[20:617] RedWalruz Unlocked EnergyPack
[20:840] RedWalruz Unlocked CombatShield
