Analyzed: Oh No It's Zombies Arctic Updated (398)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: King Race: Terran
ID : 2 PlayerName: Gafe Race: Terran
ID : 3 PlayerName: JMM Race: Terran
ID : 4 PlayerName: zhuthepig Race: Terran
ID : 5 PlayerName: DTZeratul Race: Terran
ID : 6 PlayerName: timbit Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Frosky Zombie Loss
Public Lobby

Game Length:[34:541]
Players ammount: 8
Marine rank avg: 13
GrandMaster ammount: 3
PURCHASES: 
[00:884] Frosky Spawned MassiveCocoon
[02:324] Frosky Spawned Hunter
[05:087] Frosky Spawned MassiveCocoon
[06:752] Frosky Bought CreepSpeed
[07:625] Frosky Spawned MassiveCocoon
[08:453] Frosky Spawned MassiveCocoon
[09:065] Frosky Spawned Anubalisk
[09:584] Frosky Bought UnlockDropPods
[09:893] Frosky Spawned Anubalisk
[10:012] Frosky Bought EvolveDropPods
[10:504] Frosky Bought EvolveDropPods
[10:507] Frosky Bought EvolveDropPods
[11:554] Frosky Bought EvolveDropPods
[11:556] Frosky Bought EvolveDropPods
[14:447] Frosky Bought BuildExtractorScienceLabs
[14:447] Frosky Placed/Upgraded AutomatedExtractor
[14:621] Frosky Bought EvolveDropPods
[15:073] Frosky Spawned MassiveCocoon
[15:920] Frosky Placed/Upgraded NydusCanalCreeper
[16:953] Frosky Bought VirulentCreep
[17:396] Frosky Bought BuildExtractorManufacturingSector
[17:396] Frosky Placed/Upgraded AutomatedExtractor
[19:334] Frosky Bought StrainSpeed
[19:341] Frosky Bought PureStrainSpeed
[20:363] Frosky Bought AdvancedInfestationContainment
[21:088] Frosky Bought CreepSpeed
[21:375] Frosky Placed/Upgraded Virophage
[22:653] Frosky Bought HunterlingStrain
[22:666] Frosky Bought StrainSpeed
[23:438] Frosky Placed/Upgraded Virophage
[23:641] Frosky Bought PureStrainSpeed
[24:398] Frosky Placed/Upgraded LesserNydusWorm
[24:399] Frosky Bought GreaterNydus
[24:588] Frosky Bought DropshipsFueled
[25:035] Frosky Spawned RoyalCocoon
[25:035] Frosky Bought SpawnHiveQueen
[25:035] Frosky Bought UltimateInfestationResearched
[25:754] Frosky Spawned QueenCoop
[26:053] Frosky Bought BuildExtractorScienceLabs
[26:082] Frosky Bought HunterlingStrain
[27:354] Frosky Bought StrainSpeed
[27:366] Frosky Bought PureStrainSpeed
[28:384] Frosky Placed/Upgraded NydusCanalCreeper
[28:866] Frosky Bought StrainSpeed
[30:396] Frosky Bought PureStrainSpeed
[30:752] Frosky Placed/Upgraded NydusCanalCreeper
[31:996] Frosky Placed/Upgraded NydusCanalCreeper
[00:588] King Unlocked AssaultRifle
[00:788] King Placed/Upgraded MiningDroid
[00:876] King Unlocked Stimpack
[05:898] King Unlocked HellfireRocketLauncher
[05:914] King Unlocked SpecOpsHellfireRocketLauncher
[07:499] King Unlocked AdvancedDroidEngines
[10:074] King Unlocked RocketLauncherMod1
[11:963] King Unlocked CloakingDevice
[13:438] King Unlocked SpecOpsCloakingDevice
[14:393] King Unlocked Shieldsiotunlocked
[14:394] King Unlocked ShieldSuit
[14:394] King Unlocked AdvancedShieldSuit
[14:394] King Unlocked CombatSuit
[14:394] King Unlocked AdvancedCombatSuit
[14:394] King Unlocked HazmatSuit
[14:394] King Unlocked AdvancedHazmatSuit
[14:394] King Unlocked ShieldSuit
[16:781] King Unlocked EnergySuit
[16:782] King Unlocked ShieldSuit
[16:782] King Unlocked AdvancedShieldSuit
[16:782] King Unlocked CombatSuit
[16:782] King Unlocked AdvancedCombatSuit
[16:782] King Unlocked HazmatSuit
[16:782] King Unlocked AdvancedHazmatSuit
[16:782] King Unlocked EnergySuit
[17:860] King Unlocked AdvancedEnergySuit
[17:861] King Unlocked EnergySuit
[17:861] King Unlocked AdvancedEnergySuit
[18:760] King Unlocked AutoTurret
[19:429] King Placed/Upgraded AutoTurret
[19:644] King Placed/Upgraded AutoTurret
[19:825] King Placed/Upgraded AutoTurret
[24:457] King Placed/Upgraded AutoTurret
[26:437] King Placed/Upgraded MiningDroid
[27:621] King Placed/Upgraded AutoTurret
[27:907] King Placed/Upgraded AutoTurret
[28:099] King Placed/Upgraded AutoTurret
[28:319] King Placed/Upgraded AutoTurret
[33:143] King Placed/Upgraded AutoTurret
[00:588] Gafe Unlocked AssaultRifle
[00:725] Gafe Placed/Upgraded MiningDroid
[00:774] Gafe Unlocked Shotgun
[03:840] Gafe Unlocked SpecOpsShotgun
[05:383] Gafe Unlocked Stimpack
[07:932] Gafe Unlocked Shieldsiotunlocked
[07:933] Gafe Unlocked ShieldSuit
[07:933] Gafe Unlocked AdvancedShieldSuit
[07:933] Gafe Unlocked CombatSuit
[07:933] Gafe Unlocked AdvancedCombatSuit
[07:933] Gafe Unlocked HazmatSuit
[07:933] Gafe Unlocked AdvancedHazmatSuit
[07:933] Gafe Unlocked ShieldSuit
[07:973] Gafe Unlocked MedicShield
[10:224] Gafe Unlocked SuperStimpack
[10:951] Gafe Unlocked HighPrecisionBeams
[14:015] Gafe Placed/Upgraded MiningDroid
[18:325] Gafe Unlocked AdvancedShieldSuit
[18:326] Gafe Unlocked ShieldSuit
[18:326] Gafe Unlocked AdvancedShieldSuit
[18:364] Gafe Unlocked EnergyPack
[24:296] Gafe Unlocked PsiDisrupter
[25:435] Gafe Placed/Upgraded MiningDroid
[27:090] Gafe Placed/Upgraded PsiIndoctrinator
[29:068] Gafe Placed/Upgraded PsiIndoctrinator
[29:897] Gafe Unlocked PsiDepressor
[34:282] Gafe Placed/Upgraded MiningDroid
[00:588] JMM Unlocked AssaultRifle
[00:768] JMM Placed/Upgraded MiningDroid
[01:623] JMM Unlocked Stimpack
[04:568] JMM Unlocked BioMechanicalRepairDrone
[04:588] JMM Placed/Upgraded HealingDrone
