Analyzed: Oh No It's Zombies Arctic Updated (402)

ID : 0 PlayerName: Wooky Race: Terran
ID : 1 PlayerName: Ascherit Race: Terran
ID : 2 PlayerName: Tin Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: RyK Race: Zerg
ID : 5 PlayerName: csiz Race: Terran
ID : 6 PlayerName: PowerPiglet Race: Terran
ID : 7 PlayerName: Security Race: Protoss
RyK Zombie Win
Private Lobby

Game Length:[40:196]
Players ammount: 8
Marine rank avg: 16,5
GrandMaster ammount: 5
PURCHASES: 
[00:588] Wooky Unlocked AssaultRifle
[00:667] Wooky Placed/Upgraded MiningDroid
[00:732] Wooky Unlocked AdvancedDroidEngines
[03:952] Wooky Unlocked SpecOpsAssaultRifle
[05:855] Wooky Unlocked AutoTargetingSystem
[07:614] Wooky Unlocked Stimpack
[08:695] Wooky Unlocked Shieldsiotunlocked
[10:925] Wooky Unlocked FragGrenade
[10:928] Wooky Unlocked SpecOpsFragGrenade
[12:007] Wooky Unlocked CombatShield
[12:013] Wooky Unlocked EnergyPack
[13:168] Wooky Unlocked AutoTurret
[13:238] Wooky Placed/Upgraded AutoTurret
[13:605] Wooky Placed/Upgraded AutoTurret
[14:332] Wooky Placed/Upgraded AutoTurret
[14:424] Wooky Unlocked PsiDisrupter
[14:828] Wooky Placed/Upgraded PsiIndoctrinator
[15:517] Wooky Unlocked MiningCharge
[15:659] Wooky Placed/Upgraded NukePack
[16:552] Wooky Placed/Upgraded PsiIndoctrinator
[17:083] Wooky Placed/Upgraded AutoTurret
[17:269] Wooky Placed/Upgraded AutoTurret
[18:744] Wooky Placed/Upgraded PsiIndoctrinator
[18:940] Wooky Placed/Upgraded AutoTurret
[19:893] Wooky Placed/Upgraded AutoTurret
[21:856] Wooky Unlocked HazmatSuit
[21:862] Wooky Unlocked AdvancedHazmatSuit
[26:307] Wooky Placed/Upgraded AutoTurret
[26:772] Wooky Placed/Upgraded NukePack
[27:130] Wooky Placed/Upgraded AutoTurret
[27:323] Wooky Placed/Upgraded AutoTurret
[28:054] Wooky Placed/Upgraded NukePack
[28:974] Wooky Placed/Upgraded AutoTurret
[30:081] Wooky Placed/Upgraded AutoTurret
[30:552] Wooky Placed/Upgraded AutoTurret
[31:887] Wooky Placed/Upgraded NukePack
[32:197] Wooky Placed/Upgraded AutoTurret
[32:425] Wooky Placed/Upgraded AutoTurret
[33:067] Wooky Placed/Upgraded NukePack
[33:272] Wooky Placed/Upgraded AutoTurret
[33:866] Wooky Placed/Upgraded AutoTurret
[34:271] Wooky Placed/Upgraded AutoTurret
[36:048] Wooky Unlocked Teleporter
[38:031] Wooky Placed/Upgraded NukePack
[39:305] Wooky Placed/Upgraded AutoTurret
[39:789] Wooky Placed/Upgraded AutoTurret
[00:588] Ascherit Unlocked AssaultRifle
[00:716] Ascherit Unlocked AdvancedDroidEngines
[00:754] Ascherit Placed/Upgraded MiningDroid
[02:815] Ascherit Unlocked IncendiaryGrenade
[03:777] Ascherit Unlocked SpecOpsIncendiaryGrenade
[06:297] Ascherit Unlocked TurboDroidEngines
[08:157] Ascherit Unlocked HellfireRocketLauncher
[08:166] Ascherit Unlocked SpecOpsHellfireRocketLauncher
[08:696] Ascherit Bought ShieldSuit
[08:696] Ascherit Bought CombatSuit
[08:696] Ascherit Bought HazmatSuit
[08:696] Ascherit Bought ShieldSuit
[10:240] Ascherit Unlocked Stimpack
[12:267] Ascherit Unlocked ShockwaveMissiles
[12:482] Ascherit Unlocked CloakingDevice
[13:021] Ascherit Unlocked SpecOpsCloakingDevice
[14:473] Ascherit Unlocked BioMechanicalRepairDrone
[15:033] Ascherit Unlocked MedicShield
[15:108] Ascherit Unlocked AIAssistant
[16:158] Ascherit Placed/Upgraded HealingDrone
[16:372] Ascherit Placed/Upgraded HealingDrone
[17:064] Ascherit Placed/Upgraded HealingDrone
[17:962] Ascherit Placed/Upgraded HealingDrone
[19:034] Ascherit Placed/Upgraded HealingDrone
[21:857] Ascherit Bought ShieldSuit
[21:857] Ascherit Bought CombatSuit
[21:857] Ascherit Bought HazmatSuit
[21:857] Ascherit Bought HazmatSuit
[21:863] Ascherit Bought HazmatSuit
[23:454] Ascherit Unlocked PsiDisrupter
[23:496] Ascherit Placed/Upgraded PsiIndoctrinator
[23:714] Ascherit Placed/Upgraded PsiIndoctrinator
[24:260] Ascherit Placed/Upgraded HealingDrone
[24:654] Ascherit Placed/Upgraded HealingDrone
[24:880] Ascherit Placed/Upgraded HealingDrone
[25:966] Ascherit Placed/Upgraded HealingDrone
[26:832] Ascherit Unlocked PsiDepressor
[28:557] Ascherit Placed/Upgraded HealingDrone
