Analyzed: Oh No It's Zombies Arctic Updated (408)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: TheFear Race: Terran
ID : 2 PlayerName: Dhmon Race: Terran
ID : 3 PlayerName: King Race: Zerg
ID : 4 PlayerName: ProfPillz Race: Terran
ID : 5 PlayerName: Fearlesss Race: Terran
ID : 6 PlayerName: Sojourne Race: Terran
ID : 7 PlayerName: Security Race: Zerg
King Zombie Win
Public Lobby

Game Length:[39:648]
Players ammount: 8
Marine rank avg: 11,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:669] Frosky Placed/Upgraded MiningDroid
[00:886] Frosky Unlocked Shotgun
[03:613] Frosky Unlocked AdvancedDroidEngines
[05:220] Frosky Unlocked SpecOpsShotgun
[08:216] Frosky Unlocked BioMechanicalRepairDrone
[08:271] Frosky Placed/Upgraded HealingDrone
[09:054] Frosky Unlocked HighPrecisionBeams
[09:530] Frosky Unlocked ExplorationDroid
[09:583] Frosky Placed/Upgraded ExplorationDroid
[09:632] Frosky Placed/Upgraded ExplorationDroid
[11:571] Frosky Placed/Upgraded HealingDrone
[12:245] Frosky Unlocked MedicShield
[13:680] Frosky Placed/Upgraded ExplorationDroid
[20:435] Frosky Placed/Upgraded HealingDrone
[21:214] Frosky Placed/Upgraded HealingDrone
[22:150] Frosky Placed/Upgraded HealingDrone
[32:135] Frosky Placed/Upgraded MiningDroid
[00:588] TheFear Unlocked AssaultRifle
[00:670] TheFear Placed/Upgraded MiningDroid
[04:599] TheFear Unlocked BeamRifle
[04:619] TheFear Unlocked SpecOpsPlasmaRifle
[04:830] TheFear Unlocked CorrosivePlasma
[08:237] TheFear Unlocked CombatSuit
[08:315] TheFear Unlocked BioMechanicalRepairDrone
[12:148] TheFear Unlocked QuantumBackpack
[12:635] TheFear Unlocked AutoTurret
[12:664] TheFear Unlocked FlameTurret
[18:060] TheFear Unlocked MotionSensor
[21:606] TheFear Placed/Upgraded SensorTower
[22:635] TheFear Unlocked AdvancedMotionSensor
[24:859] TheFear Placed/Upgraded HealingDrone
[25:537] TheFear Placed/Upgraded HealingDrone
[26:249] TheFear Placed/Upgraded SensorTower
[26:618] TheFear Placed/Upgraded HealingDrone
[34:158] TheFear Unlocked Stimpack
[36:060] TheFear Placed/Upgraded HealingDrone
[36:549] TheFear Placed/Upgraded HealingDrone
[36:869] TheFear Placed/Upgraded HealingDrone
[37:316] TheFear Placed/Upgraded HealingDrone
[00:588] Dhmon Unlocked AssaultRifle
[00:667] Dhmon Placed MiningDroid
[00:908] Dhmon Unlocked Shotgun
[03:649] Dhmon Unlocked Stimpack
[04:578] Dhmon Unlocked MedicShield
[07:349] Dhmon Unlocked SuperStimpack
[08:238] Dhmon Bought ShieldSuit
[08:238] Dhmon Bought CombatSuit
[08:238] Dhmon Bought HazmatSuit
[08:238] Dhmon Bought CombatSuit
[10:352] Dhmon Unlocked FlashBang
[10:649] Dhmon Unlocked Shieldsiotunlocked
[10:746] Dhmon Unlocked EnergySuit
[10:747] Dhmon Unlocked EnergySuit
[11:178] Dhmon Unlocked IncendiaryGrenade
[17:224] Dhmon Placed MiningDroid
[17:417] Dhmon Unlocked HazmatSuit
[17:418] Dhmon Unlocked EnergySuit
[17:436] Dhmon Unlocked AdvancedHazmatSuit
[20:173] Dhmon Unlocked SpecOpsShotgun
[22:179] Dhmon Unlocked OpticalVisor
[24:908] Dhmon Unlocked Flamethrower
[32:475] Dhmon Unlocked ForceFieldGrenade
[32:659] Dhmon Unlocked EnergySuit
[00:552] King Bought PlayerNumber
[00:731] King Spawned MassiveCocoon
[02:159] King Spawned MassiveCocoon
[02:171] King Spawned InfestedAbomination
[03:239] King Spawned Underseer
[06:813] King Bought UnlockDropPods
[09:593] King Bought EvolveDropPods
[09:596] King Bought EvolveDropPods
[09:599] King Bought EvolveDropPods
[10:326] King Bought EvolveDropPods
[10:334] King Bought EvolveDropPods
[10:650] King Bought ShieldSuit
[10:650] King Bought CombatSuit
[10:650] King Bought HazmatSuit
[10:650] King Bought ShieldSuit
[10:747] King Bought ShieldSuit
[10:747] King Bought CombatSuit
[10:747] King Bought HazmatSuit
[11:256] King Bought EvolveDropPods
[12:509] King Bought StrainVolatile
[13:851] King Bought AdvancedPowerInfestation
[15:318] King Bought BuildExtractorExcavationZone
[15:318] King Placed/Upgraded AutomatedExtractor
[16:227] King Bought VirulentCreep
[16:227] King Bought VirulentCreep
[17:418] King Bought ShieldSuit
