Analyzed: Oh No It's Zombies Arctic Updated (415)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: MacNCheese Race: Terran
ID : 3 PlayerName: Ahanax Race: Terran
ID : 4 PlayerName: MarFly Race: Terran
ID : 5 PlayerName: Sojourne Race: Zerg
ID : 6 PlayerName: Apollo Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Sojourne Zombie Win
Private Lobby

Game Length:[36:616]
Players ammount: 8
Marine rank avg: 16
GrandMaster ammount: 5
PURCHASES: 
[00:588] Tin Unlocked AssaultRifle
[01:087] Tin Placed/Upgraded MiningDroid
[03:194] Tin Unlocked AdvancedDroidEngines
[05:007] Tin Unlocked HellfireRocketLauncher
[06:077] Tin Unlocked SpecOpsHellfireRocketLauncher
[07:849] Tin Unlocked ShockwaveMissiles
[10:595] Tin Unlocked Stimpack
[10:628] Tin Unlocked OpticalVisor
[11:922] Tin Unlocked MedicShield
[13:657] Tin Unlocked SuperStimpack
[15:679] Tin Unlocked BioMechanicalRepairDrone
[20:178] Tin Unlocked EnergyPack
[20:310] Tin Unlocked HazmatSuit
[20:895] Tin Placed/Upgraded HealingDrone
[22:297] Tin Placed/Upgraded HealingDrone
[24:020] Tin Placed/Upgraded HealingDrone
[24:535] Tin Placed/Upgraded HealingDrone
[24:868] Tin Placed/Upgraded HealingDrone
[26:406] Tin Placed/Upgraded HealingDrone
[26:897] Tin Placed/Upgraded HealingDrone
[30:487] Tin Unlocked RocketLauncherMod1
[30:601] Tin Placed/Upgraded HealingDrone
[35:262] Tin Placed/Upgraded HealingDrone
[35:539] Tin Placed/Upgraded HealingDrone
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[02:324] Frosky Unlocked AdvancedDroidEngines
[03:525] Frosky Unlocked Shotgun
[05:537] Frosky Unlocked SpecOpsShotgun
[07:765] Frosky Unlocked Stimpack
[08:841] Frosky Unlocked ExplorationDroid
[08:868] Frosky Placed/Upgraded ExplorationDroid
[09:231] Frosky Placed/Upgraded ExplorationDroid
[09:579] Frosky Placed/Upgraded ExplorationDroid
[09:694] Frosky Placed/Upgraded ExplorationDroid
[10:338] Frosky Placed/Upgraded ExplorationDroid
[11:103] Frosky Unlocked CombatSuit
[11:950] Frosky Unlocked MedicShield
[13:782] Frosky Unlocked AdvancedCombatSuit
[14:263] Frosky Unlocked BioMechanicalRepairDrone
[15:594] Frosky Placed/Upgraded MiningDroid
[16:819] Frosky Placed/Upgraded HealingDrone
[17:354] Frosky Placed/Upgraded MiningDroid
[18:213] Frosky Placed/Upgraded HealingDrone
[20:311] Frosky Bought ShieldSuit
[20:311] Frosky Bought CombatSuit
[20:311] Frosky Bought HazmatSuit
[20:311] Frosky Bought HazmatSuit
[21:014] Frosky Unlocked HazmatSuit
[21:024] Frosky Unlocked AdvancedHazmatSuit
[22:631] Frosky Unlocked AutoTurret
[23:434] Frosky Placed/Upgraded HealingDrone
[28:767] Frosky Unlocked HighPrecisionBeams
[28:801] Frosky Placed/Upgraded HealingDrone
[31:021] Frosky Placed/Upgraded HealingDrone
[31:385] Frosky Placed/Upgraded HealingDrone
[32:068] Frosky Placed/Upgraded HealingDrone
[00:588] MacNCheese Unlocked AssaultRifle
[00:669] MacNCheese Placed/Upgraded MiningDroid
[00:833] MacNCheese Unlocked OverloadWeapon
[03:896] MacNCheese Unlocked Flamethrower
[06:084] MacNCheese Unlocked SpecOpsFlamethrower
[09:343] MacNCheese Unlocked AdvancedDroidEngines
[10:719] MacNCheese Unlocked MotionSensor
[10:947] MacNCheese Placed/Upgraded SensorTower
[11:104] MacNCheese Bought ShieldSuit
[11:104] MacNCheese Bought CombatSuit
[11:104] MacNCheese Bought HazmatSuit
[11:104] MacNCheese Bought CombatSuit
[12:242] MacNCheese Unlocked HazmatSuit
[12:431] MacNCheese Unlocked BioMechanicalRepairDrone
[13:454] MacNCheese Placed/Upgraded SensorTower
[13:783] MacNCheese Bought CombatSuit
[13:973] MacNCheese Placed/Upgraded SensorTower
[16:094] MacNCheese Placed/Upgraded SensorTower
[21:015] MacNCheese Bought ShieldSuit
[21:015] MacNCheese Bought CombatSuit
[21:015] MacNCheese Bought HazmatSuit
[21:015] MacNCheese Bought HazmatSuit
[21:025] MacNCheese Bought HazmatSuit
[21:184] MacNCheese Placed/Upgraded HealingDrone
[22:199] MacNCheese Unlocked AdvancedHazmatSuit
[22:242] MacNCheese Unlocked CombatShield
[22:602] MacNCheese Placed/Upgraded HealingDrone
[23:655] MacNCheese Unlocked Teleporter
[28:099] MacNCheese Placed/Upgraded MiningDroid
[31:054] MacNCheese Unlocked MiningCharge
[31:247] MacNCheese Placed/Upgraded NukePack
[32:187] MacNCheese Placed/Upgraded NukePack
[32:630] MacNCheese Placed/Upgraded SensorTower
[33:514] MacNCheese Placed/Upgraded NukePack
[34:494] MacNCheese Placed/Upgraded HealingDrone
[34:833] MacNCheese Placed/Upgraded HealingDrone
[35:306] MacNCheese Placed/Upgraded HealingDrone
[00:588] Ahanax Unlocked AssaultRifle
[00:858] Ahanax Placed/Upgraded MiningDroid
[02:719] Ahanax Unlocked HellfireRocketLauncher
[03:169] Ahanax Unlocked AdvancedDroidEngines
[05:161] Ahanax Unlocked SpecOpsHellfireRocketLauncher
[07:773] Ahanax Unlocked Stimpack
[08:543] Ahanax Unlocked BioMechanicalRepairDrone
[08:891] Ahanax Placed/Upgraded HealingDrone
[11:065] Ahanax Placed/Upgraded HealingDrone
[11:587] Ahanax Unlocked ShockwaveMissiles
[12:243] Ahanax Bought ShieldSuit
[12:243] Ahanax Bought CombatSuit
[12:243] Ahanax Bought HazmatSuit
[12:243] Ahanax Bought HazmatSuit
[12:710] Ahanax Placed/Upgraded HealingDrone
[14:691] Ahanax Unlocked SuperStimpack
[14:865] Ahanax Unlocked MiningCharge
[15:016] Ahanax Placed/Upgraded NukePack
[17:939] Ahanax Placed/Upgraded NukePack
[18:154] Ahanax Placed/Upgraded HealingDrone
[20:097] Ahanax Placed/Upgraded HealingDrone
[20:394] Ahanax Placed/Upgraded NukePack
[22:200] Ahanax Bought HazmatSuit
[26:016] Ahanax Unlocked SpecOpsSuperStimpack
[28:629] Ahanax Placed/Upgraded MiningDroid
[31:274] Ahanax Placed/Upgraded NukePack
[31:540] Ahanax Placed/Upgraded NukePack
[32:317] Ahanax Placed/Upgraded NukePack
[33:307] Ahanax Placed/Upgraded NukePack
[33:342] Ahanax Placed/Upgraded HealingDrone
[34:092] Ahanax Placed/Upgraded HealingDrone
[34:614] Ahanax Placed/Upgraded HealingDrone
[34:853] Ahanax Placed/Upgraded NukePack
[34:864] Ahanax Placed/Upgraded HealingDrone
[00:588] MarFly Unlocked AssaultRifle
[00:667] MarFly Placed MiningDroid
[01:188] MarFly Unlocked IncendiaryGrenade
[04:983] MarFly Unlocked AdvancedDroidEngines
[07:018] MarFly Unlocked BioMechanicalRepairDrone
[07:096] MarFly Placed HealingDrone
[09:249] MarFly Unlocked Flamethrower
[09:260] MarFly Unlocked SpecOpsFlamethrower
[09:410] MarFly Placed HealingDrone
[09:817] MarFly Placed HealingDrone
[14:259] MarFly Placed HealingDrone
[14:780] MarFly Unlocked PsiDisrupter
[15:036] MarFly Unlocked ForceFieldGrenade
[15:125] MarFly Unlocked SpecOpsForcefieldGrenade
[15:353] MarFly Placed HealingDrone
[15:705] MarFly Placed PsiIndoctrinator
[17:756] MarFly Placed MiningDroid
[19:628] MarFly Placed HealingDrone
[20:903] MarFly Placed HealingDrone
[21:475] MarFly Placed PsiIndoctrinator
[27:231] MarFly Unlocked ThermiteFilaments
[27:980] MarFly Placed HealingDrone
[28:624] MarFly Unlocked HazmatSuit
[30:392] MarFly Unlocked Teleporter
[31:488] MarFly Placed HealingDrone
[32:370] MarFly Unlocked AdvancedHazmatSuit
[33:374] MarFly Placed HealingDrone
[33:660] MarFly Placed HealingDrone
[34:359] MarFly Placed HealingDrone
[34:983] MarFly Placed HealingDrone
[35:553] MarFly Placed HealingDrone
[35:771] MarFly Placed HealingDrone
[00:552] Sojourne Bought PlayerNumber
[01:492] Sojourne Placed/Upgraded PrimalSunkenColony
[01:493] Sojourne Bought SunkenColony
[02:465] Sojourne Bought UnlockDropPods
[02:498] Sojourne Bought EvolveDropPods
[02:502] Sojourne Bought EvolveDropPods
[02:896] Sojourne Placed/Upgraded PrimalSunkenColony
[02:897] Sojourne Bought SunkenColony
[04:375] Sojourne Spawned MassiveCocoon
[04:659] Sojourne Bought EvolveDropPods
[05:220] Sojourne Placed/Upgraded PrimalSunkenColony
[05:221] Sojourne Bought SunkenColony
[05:455] Sojourne Spawned Underseer
[07:516] Sojourne Bought EvolveDropPods
[07:519] Sojourne Bought EvolveDropPods
[07:522] Sojourne Bought EvolveDropPods
[07:738] Sojourne Bought SunkenColony
[07:738] Sojourne Bought SunkenColony
[08:303] Sojourne Bought CreepSpeed
[08:631] Sojourne Bought SunkenColony
[08:631] Sojourne Placed/Upgraded PrimalSunkenColony
[10:437] Sojourne Bought StrainDamage
[12:101] Sojourne Bought PureStrainDamage
[13:829] Sojourne Bought BuildExtractorManufacturingSector
[13:829] Sojourne Placed/Upgraded AutomatedExtractor
[13:937] Sojourne Bought SunkenColony
[13:937] Sojourne Placed/Upgraded PrimalSunkenColony
[14:156] Sojourne Bought SunkenColony
[14:546] Sojourne Bought ExtractorCostReductionManufacturingSector
[14:546] Sojourne Bought BuildExtractorManufacturingSector
[16:037] Sojourne Bought BuildExtractorScienceLabs
[16:037] Sojourne Placed/Upgraded AutomatedExtractor
[16:093] Sojourne Placed/Upgraded NydusCanalCreeper
[16:379] Sojourne Bought SunkenColony
[17:142] Sojourne Bought StrainVolatile
[17:163] Sojourne Bought PureStrainVolatile
[17:294] Sojourne Bought BuildExtractorScienceLabs
[17:952] Sojourne Placed/Upgraded Virophage
[18:099] Sojourne Placed/Upgraded PrimalSunkenColony
[18:100] Sojourne Bought SunkenColony
[18:676] Sojourne Bought StrainHealth
[20:198] Sojourne Placed/Upgraded NydusCanalCreeper
[20:682] Sojourne Placed/Upgraded NydusCanalCreeper
[21:355] Sojourne Bought SunkenColony
[21:355] Sojourne Placed/Upgraded PrimalSunkenColony
[21:773] Sojourne Bought SunkenColony
[22:184] Sojourne Bought SpawnNydusWorm
[22:744] Sojourne Bought SunkenColony
[23:085] Sojourne Placed/Upgraded NydusCanalCreeper
[24:012] Sojourne Placed/Upgraded NydusCanalCreeper
[24:057] Sojourne Bought BuildExtractorManufacturingSector
[24:057] Sojourne Placed/Upgraded AutomatedExtractor
[25:479] Sojourne Bought PureStrainHealth
[25:726] Sojourne Bought BuildExtractorScienceLabs
[25:726] Sojourne Placed/Upgraded AutomatedExtractor
[25:762] Sojourne Placed/Upgraded Virophage
[25:865] Sojourne Placed/Upgraded NydusCanalCreeper
[26:105] Sojourne Placed/Upgraded GreaterNydusWorm
[26:651] Sojourne Bought BuildExtractorScienceLabs
[26:682] Sojourne Spawned MassiveCocoon
[27:435] Sojourne Placed/Upgraded LesserNydusWorm
[27:436] Sojourne Bought GreaterNydus
[28:122] Sojourne Spawned Anubalisk
[28:625] Sojourne Bought ShieldSuit
[28:625] Sojourne Bought CombatSuit
[28:625] Sojourne Bought HazmatSuit
[28:625] Sojourne Bought HazmatSuit
[28:767] Sojourne Placed/Upgraded NydusCanalCreeper
[29:259] Sojourne Bought AdvancedInfestationSecurity
[29:730] Sojourne Bought TrackHumans
[29:868] Sojourne Bought DropshipsFueled
[30:015] Sojourne Bought UltimateInfestationResearched
[30:143] Sojourne Bought GreaterNydus
[30:370] Sojourne Spawned MassiveCocoon
[30:726] Sojourne Bought GreaterNydus
[31:115] Sojourne Placed/Upgraded NydusCanalCreeper
