Analyzed: Oh No It's Zombies Arctic Updated (417)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: ForFun Race: Terran
ID : 2 PlayerName: SpicyWolf Race: Terran
ID : 3 PlayerName: archdracon Race: Terran
ID : 4 PlayerName: Wolfy Race: Terran
ID : 5 PlayerName: Barcode Race: Zerg
ID : 6 PlayerName: cobra Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Barcode Zombie Loss
Private Lobby

Game Length:[40:091]
Players ammount: 8
Marine rank avg: 13,833333333333334
GrandMaster ammount: 4
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:670] Frosky Placed/Upgraded MiningDroid
[01:914] Frosky Unlocked ArcWelder
[02:851] Frosky Unlocked BioMechanicalRepairDrone
[03:801] Frosky Unlocked CombatAccelerationDrone
[03:913] Frosky Placed/Upgraded HealingDrone
[04:044] Frosky Placed/Upgraded HealingDrone
[04:673] Frosky Placed/Upgraded HealingDrone
[05:006] Frosky Placed/Upgraded HealingDrone
[06:199] Frosky Unlocked AdvancedDroidEngines
[06:977] Frosky Unlocked TurboDroidEngines
[07:845] Frosky Unlocked ExplorationDroid
[07:862] Frosky Unlocked MiningCharge
[07:951] Frosky Placed/Upgraded ExplorationDroid
[08:823] Frosky Placed/Upgraded ExplorationDroid
[08:891] Frosky Placed/Upgraded ExplorationDroid
[10:598] Frosky Unlocked PsiDisrupter
[10:778] Frosky Placed/Upgraded PsiIndoctrinator
[12:972] Frosky Unlocked PsiDepressor
[13:272] Frosky Placed/Upgraded PsiIndoctrinator
[13:335] Frosky Unlocked AutoTurret
[13:352] Frosky Unlocked HeavyTurret
[13:623] Frosky Placed/Upgraded AutoTurret
[17:025] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[17:096] Frosky Unlocked QuantumBackpack
[17:284] Frosky Placed/Upgraded AutoTurret
[20:941] Frosky Unlocked SpecOpsArcWelder
[22:484] Frosky Placed/Upgraded PsiIndoctrinator
[23:532] Frosky Placed/Upgraded AutoTurret
[23:651] Frosky Placed/Upgraded AutoTurret
[23:930] Frosky Placed/Upgraded PsiIndoctrinator
[24:413] Frosky Unlocked CombatSuit
[25:732] Frosky Placed/Upgraded AutoTurret
[26:497] Frosky Placed/Upgraded AutoTurret
[27:281] Frosky Placed/Upgraded MiningDroid
[28:077] Frosky Placed/Upgraded MiningDroid
[28:495] Frosky Placed/Upgraded AutoTurret
[28:791] Frosky Placed/Upgraded AutoTurret
[29:665] Frosky Placed/Upgraded PsiIndoctrinator
[30:065] Frosky Placed/Upgraded AutoTurret
[30:204] Frosky Placed/Upgraded AutoTurret
[30:965] Frosky Placed/Upgraded AutoTurret
[31:650] Frosky Placed/Upgraded AutoTurret
[36:521] Frosky Placed/Upgraded AutoTurret
[36:616] Frosky Placed/Upgraded AutoTurret
[36:725] Frosky Placed/Upgraded AutoTurret
[36:835] Frosky Placed/Upgraded AutoTurret
[37:225] Frosky Placed/Upgraded HealingDrone
[00:588] ForFun Unlocked AssaultRifle
[00:755] ForFun Unlocked Stimpack
[01:499] ForFun Placed/Upgraded MiningDroid
[03:710] ForFun Unlocked AdvancedDroidEngines
[05:605] ForFun Unlocked TurboDroidEngines
[06:880] ForFun Unlocked SpecOpsAssaultRifle
[07:811] ForFun Unlocked ExplorationDroid
[07:948] ForFun Placed/Upgraded ExplorationDroid
[07:984] ForFun Placed/Upgraded ExplorationDroid
[08:389] ForFun Placed/Upgraded ExplorationDroid
[09:334] ForFun Unlocked TitaniumBulletCasings
[10:320] ForFun Unlocked CombatSuit
[10:410] ForFun Unlocked MedicShield
[11:530] ForFun Unlocked BioMechanicalRepairDrone
[11:542] ForFun Unlocked SpecOpsBioMechanicalRepairDrone
[11:678] ForFun Placed/Upgraded HealingDrone
[12:321] ForFun Unlocked AdvancedCombatSuit
[12:930] ForFun Placed/Upgraded HealingDrone
[14:295] ForFun Unlocked AutoTurret
[14:308] ForFun Unlocked SpecOpsTurret
[17:722] ForFun Unlocked EnergyPack
[17:738] ForFun Unlocked AIAssistant
[19:465] ForFun Placed/Upgraded HealingDrone
[20:350] ForFun Placed/Upgraded AutoTurret
[20:545] ForFun Placed/Upgraded AutoTurret
[20:777] ForFun Placed/Upgraded AutoTurret
[20:982] ForFun Placed/Upgraded AutoTurret
[21:170] ForFun Placed/Upgraded AutoTurret
[21:456] ForFun Placed/Upgraded AutoTurret
[21:633] ForFun Placed/Upgraded HealingDrone
[21:875] ForFun Placed/Upgraded HealingDrone
[22:162] ForFun Placed/Upgraded ExplorationDroid
[24:277] ForFun Unlocked Teleporter
[24:289] ForFun Unlocked SpecOpsTeleporter
[24:414] ForFun Bought ShieldSuit
[24:414] ForFun Bought CombatSuit
[24:414] ForFun Bought HazmatSuit
[24:414] ForFun Bought CombatSuit
[26:199] ForFun Placed/Upgraded HealingDrone
[27:519] ForFun Placed/Upgraded MiningDroid
[28:184] ForFun Placed/Upgraded HealingDrone
[28:369] ForFun Placed/Upgraded MiningDroid
[28:938] ForFun Placed/Upgraded AutoTurret
[29:251] ForFun Placed/Upgraded AutoTurret
[29:934] ForFun Placed/Upgraded AutoTurret
[30:277] ForFun Placed/Upgraded AutoTurret
[30:587] ForFun Placed/Upgraded AutoTurret
[30:953] ForFun Placed/Upgraded AutoTurret
[31:171] ForFun Placed/Upgraded HealingDrone
[32:314] ForFun Placed/Upgraded HealingDrone
[33:779] ForFun Placed/Upgraded HealingDrone
[36:023] ForFun Unlocked OverloadWeapon
[36:278] ForFun Placed/Upgraded HealingDrone
[00:588] SpicyWolf Unlocked AssaultRifle
[00:674] SpicyWolf Placed/Upgraded MiningDroid
[02:235] SpicyWolf Unlocked AdvancedDroidEngines
[05:028] SpicyWolf Placed/Upgraded MiningDroid
[10:321] SpicyWolf Bought ShieldSuit
[10:321] SpicyWolf Bought CombatSuit
[10:321] SpicyWolf Bought HazmatSuit
[10:321] SpicyWolf Bought CombatSuit
[10:601] SpicyWolf Unlocked TurboDroidEngines
[12:322] SpicyWolf Bought CombatSuit
[12:875] SpicyWolf Unlocked SpecOpsAssaultRifle
[18:186] SpicyWolf Unlocked HazmatSuit
[18:200] SpicyWolf Unlocked AdvancedHazmatSuit
[18:327] SpicyWolf Unlocked TitaniumBulletCasings
[19:818] SpicyWolf Unlocked OverloadWeapon
[20:346] SpicyWolf Unlocked BioMechanicalRepairDrone
[24:168] SpicyWolf Unlocked CloakingDevice
[24:190] SpicyWolf Unlocked SpecOpsCloakingDevice
[27:328] SpicyWolf Placed/Upgraded MiningDroid
[28:362] SpicyWolf Placed/Upgraded HealingDrone
[33:599] SpicyWolf Unlocked CombatShield
[33:657] SpicyWolf Unlocked EnergyPack
[33:703] SpicyWolf Unlocked OpticalVisor
[33:799] SpicyWolf Unlocked MiningCharge
[33:808] SpicyWolf Unlocked AdvancedMiningCharge
[34:430] SpicyWolf Placed/Upgraded NukePack
[34:905] SpicyWolf Placed/Upgraded HealingDrone
[35:580] SpicyWolf Unlocked ExplorationDroid
[35:589] SpicyWolf Unlocked AdvancedExplorationDroid
[35:742] SpicyWolf Placed/Upgraded ExplorationDroid
[35:815] SpicyWolf Placed/Upgraded ExplorationDroid
[36:621] SpicyWolf Placed/Upgraded NukePack
[00:588] archdracon Unlocked AssaultRifle
[00:667] archdracon Placed/Upgraded MiningDroid
[01:783] archdracon Unlocked AdvancedDroidEngines
[04:400] archdracon Unlocked TurboDroidEngines
[05:718] archdracon Unlocked Stimpack
[06:563] archdracon Unlocked BioMechanicalRepairDrone
[07:918] archdracon Unlocked MotionSensor
[08:042] archdracon Placed/Upgraded SensorTower
[08:273] archdracon Placed/Upgraded SensorTower
[08:801] archdracon Placed/Upgraded SensorTower
[09:131] archdracon Placed/Upgraded SensorTower
[09:624] archdracon Placed/Upgraded HealingDrone
[10:448] archdracon Placed/Upgraded SensorTower
[11:154] archdracon Unlocked SpecOpsAssaultRifle
[12:153] archdracon Unlocked TitaniumBulletCasings
[12:585] archdracon Unlocked CombatSuit
[13:270] archdracon Unlocked AIAssistant
[14:383] archdracon Placed/Upgraded HealingDrone
[15:265] archdracon Unlocked AdvancedCombatSuit
[15:933] archdracon Unlocked IncendiaryGrenade
[15:937] archdracon Unlocked SpecOpsIncendiaryGrenade
[17:451] archdracon Placed/Upgraded HealingDrone
[18:042] archdracon Placed/Upgraded HealingDrone
[18:187] archdracon Bought ShieldSuit
[18:187] archdracon Bought CombatSuit
[18:187] archdracon Bought HazmatSuit
[18:187] archdracon Bought HazmatSuit
[18:203] archdracon Bought HazmatSuit
[18:509] archdracon Unlocked SpecOpsBioMechanicalRepairDrone
[18:531] archdracon Unlocked PowerConverter
[18:537] archdracon Unlocked SpecOpsPowerConverter
[19:958] archdracon Placed/Upgraded HealingDrone
[20:133] archdracon Placed/Upgraded HealingDrone
[21:560] archdracon Unlocked FlashBang
[21:565] archdracon Unlocked SpecOpsFlashbang
[21:895] archdracon Unlocked PsiDisrupter
[22:076] archdracon Placed/Upgraded PsiIndoctrinator
[23:179] archdracon Unlocked BeamRifle
[23:591] archdracon Placed/Upgraded HealingDrone
[24:230] archdracon Unlocked SpecOpsPlasmaRifle
[24:715] archdracon Placed/Upgraded HealingDrone
[25:292] archdracon Placed/Upgraded PsiIndoctrinator
[25:593] archdracon Placed/Upgraded HealingDrone
[26:061] archdracon Unlocked PsiDepressor
[31:179] archdracon Placed/Upgraded MiningDroid
[33:652] archdracon Placed/Upgraded HealingDrone
[33:760] archdracon Unlocked MiningCharge
[33:763] archdracon Unlocked AdvancedMiningCharge
[34:384] archdracon Placed/Upgraded NukePack
[35:423] archdracon Placed/Upgraded NukePack
[35:550] archdracon Placed/Upgraded NukePack
[35:883] archdracon Placed/Upgraded HealingDrone
[36:750] archdracon Placed/Upgraded NukePack
[37:205] archdracon Placed/Upgraded HealingDrone
[37:647] archdracon Placed/Upgraded HealingDrone
[00:588] Wolfy Unlocked AssaultRifle
[07:525] Wolfy Placed MiningDroid
[12:586] Wolfy Bought ShieldSuit
[12:586] Wolfy Bought CombatSuit
[12:586] Wolfy Bought HazmatSuit
[12:586] Wolfy Bought CombatSuit
[15:266] Wolfy Bought CombatSuit
[00:552] Barcode Bought PlayerNumber
[01:315] Barcode Bought StrainSpeed
[01:986] Barcode Bought UnlockDropPods
[03:783] Barcode Bought EvolveDropPods
[03:788] Barcode Bought EvolveDropPods
[03:792] Barcode Bought EvolveDropPods
[03:795] Barcode Bought EvolveDropPods
[05:681] Barcode Bought EvolveDropPods
[05:797] Barcode Bought StrainSpeed
[06:004] Barcode Bought EvolveDropPods
[06:952] Barcode Bought PureStrainSpeed
[08:424] Barcode Bought StrainDamage
[11:351] Barcode Bought StrainVolatile
[13:261] Barcode Bought StrainHealth
[14:977] Barcode Bought PureStrainHealth
[15:185] Barcode Spawned MassiveCocoon
[16:145] Barcode Bought AdvancedPowerInfestation
[16:625] Barcode Spawned Hunter
[18:047] Barcode Bought PureStrainVolatile
[19:843] Barcode Bought KaboomerStrain
[20:832] Barcode Placed/Upgraded Virophage
[20:891] Barcode Spawned MassiveCocoon
[21:686] Barcode Bought SiphonFuel
[21:893] Barcode Bought TankStrain
[21:971] Barcode Spawned Underseer
[22:633] Barcode Placed/Upgraded LesserNydusWorm
[22:634] Barcode Bought GreaterNydus
