Analyzed: Oh No It's Zombies Arctic Updated (424)

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: PowerPiglet Race: Terran
ID : 3 PlayerName: csiz Race: Terran
ID : 4 PlayerName: ForFun Race: Terran
ID : 5 PlayerName: Vip Race: Zerg
ID : 6 PlayerName: YoYoYo Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Vip Zombie Win
Private Lobby

Game Length:[22:687]
Players ammount: 8
Marine rank avg: 10,666666666666666
GrandMaster ammount: 4
PURCHASES: 
[00:588] Toxicpanda Unlocked AssaultRifle
[00:711] Toxicpanda Placed/Upgraded MiningDroid
[00:846] Toxicpanda Unlocked AdvancedDroidEngines
[03:674] Toxicpanda Unlocked TurboDroidEngines
[06:039] Toxicpanda Unlocked Stimpack
[07:529] Toxicpanda Unlocked IncendiaryGrenade
[08:085] Toxicpanda Unlocked BeamRifle
[09:045] Toxicpanda Unlocked SpecOpsPlasmaRifle
[10:649] Toxicpanda Placed/Upgraded MiningDroid
[12:946] Toxicpanda Unlocked SuperStimpack
[13:376] Toxicpanda Unlocked AIAssistant
[14:480] Toxicpanda Unlocked HazmatSuit
[16:463] Toxicpanda Unlocked CorrosivePlasma
[16:974] Toxicpanda Unlocked BioMechanicalRepairDrone
[17:146] Toxicpanda Placed/Upgraded HealingDrone
[17:607] Toxicpanda Placed/Upgraded HealingDrone
[18:105] Toxicpanda Unlocked MedicShield
[20:312] Toxicpanda Unlocked OpticalVisor
[00:588] Frosky Unlocked AssaultRifle
[00:698] Frosky Placed/Upgraded MiningDroid
[00:761] Frosky Unlocked Shotgun
[03:529] Frosky Unlocked AdvancedDroidEngines
[05:747] Frosky Unlocked SpecOpsShotgun
[12:914] Frosky Unlocked HighPrecisionBeams
[14:385] Frosky Placed/Upgraded MiningDroid
[14:481] Frosky Bought ShieldSuit
[14:481] Frosky Bought CombatSuit
[14:481] Frosky Bought HazmatSuit
[14:481] Frosky Bought HazmatSuit
[17:436] Frosky Unlocked SuperStimpack
[20:160] Frosky Unlocked BioMechanicalRepairDrone
[20:211] Frosky Placed/Upgraded HealingDrone
[21:650] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[00:588] PowerPiglet Unlocked AssaultRifle
[02:352] PowerPiglet Unlocked AdvancedDroidEngines
[02:360] PowerPiglet Unlocked TurboDroidEngines
[03:313] PowerPiglet Placed/Upgraded MiningDroid
[04:974] PowerPiglet Unlocked HellfireRocketLauncher
[06:512] PowerPiglet Unlocked SpecOpsHellfireRocketLauncher
[08:616] PowerPiglet Unlocked BeamRifle
[09:513] PowerPiglet Unlocked RocketLauncherMod1
[10:244] PowerPiglet Unlocked RocketLauncherMod3
[11:889] PowerPiglet Unlocked HazmatSuit
[13:576] PowerPiglet Unlocked AdvancedHazmatSuit
[15:071] PowerPiglet Unlocked Stimpack
[15:966] PowerPiglet Unlocked AutoTurret
[00:588] csiz Unlocked AssaultRifle
[00:711] csiz Placed/Upgraded MiningDroid
[00:780] csiz Unlocked AdvancedDroidEngines
[02:553] csiz Unlocked FragGrenade
[09:016] csiz Placed/Upgraded MiningDroid
[10:420] csiz Unlocked SpecOpsFragGrenade
[11:890] csiz Bought ShieldSuit
[11:890] csiz Bought CombatSuit
[11:890] csiz Bought HazmatSuit
[11:890] csiz Bought HazmatSuit
[13:183] csiz Unlocked SpecOpsAssaultRifle
[13:577] csiz Bought HazmatSuit
[14:145] csiz Unlocked HazmatSuit
[15:125] csiz Unlocked AdvancedHazmatSuit
[17:634] csiz Unlocked AutoTargetingSystem
[00:588] ForFun Unlocked AssaultRifle
[00:741] ForFun Unlocked Stimpack
[02:009] ForFun Unlocked AdvancedDroidEngines
[02:293] ForFun Placed MiningDroid
[05:088] ForFun Unlocked TurboDroidEngines
[11:609] ForFun Unlocked SpecOpsAssaultRifle
[11:927] ForFun Unlocked TitaniumBulletCasings
[12:822] ForFun Unlocked CombatSuit
[14:105] ForFun Unlocked AdvancedCombatSuit
[14:146] ForFun Bought ShieldSuit
[14:146] ForFun Bought CombatSuit
[14:146] ForFun Bought HazmatSuit
