Analyzed: Oh No It's Zombies Arctic Updated (429)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: GreyWanderer Race: Zerg
ID : 2 PlayerName: YAAAAY Race: Terran
ID : 3 PlayerName: Ascherit Race: Terran
ID : 4 PlayerName: Anonymous Race: Terran
ID : 5 PlayerName: csiz Race: Terran
ID : 6 PlayerName: Tejan Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
GreyWanderer Zombie Loss
Public Lobby

Game Length:[34:680]
Players ammount: 8
Marine rank avg: 8,333333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed MiningDroid
[02:068] Frosky Unlocked ArcWelder
[03:732] Frosky Unlocked BioMechanicalRepairDrone
[03:746] Frosky Unlocked CombatAccelerationDrone
[03:824] Frosky Placed HealingDrone
[03:978] Frosky Placed HealingDrone
[04:118] Frosky Placed HealingDrone
[04:462] Frosky Placed HealingDrone
[05:816] Frosky Unlocked AutoTurret
[05:880] Frosky Placed AutoTurret
[06:011] Frosky Placed AutoTurret
[06:614] Frosky Placed AutoTurret
[06:776] Frosky Placed AutoTurret
[06:965] Frosky Placed AutoTurret
[07:320] Frosky Placed AutoTurret
[08:183] Frosky Placed MiningDroid
[09:039] Frosky Unlocked AdvancedDroidEngines
[10:614] Frosky Unlocked ExplorationDroid
[10:643] Frosky Placed ExplorationDroid
[10:703] Frosky Placed ExplorationDroid
[10:816] Frosky Placed ExplorationDroid
[11:177] Frosky Unlocked Stimpack
[11:996] Frosky Unlocked CombatSuit
[12:707] Frosky Unlocked AdvancedCombatSuit
[13:234] Frosky Placed AutoTurret
[13:381] Frosky Placed AutoTurret
[15:298] Frosky Unlocked PsiDisrupter
[15:399] Frosky Unlocked PsiDepressor
[16:460] Frosky Placed PsiIndoctrinator
[16:589] Frosky Unlocked HeavyTurret
[17:117] Frosky Placed AutoTurret
[19:097] Frosky Placed AutoTurret
[20:918] Frosky Placed MiningDroid
[21:505] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[21:640] Frosky Placed HealingDrone
[23:637] Frosky Placed PsiIndoctrinator
[25:563] Frosky Placed PsiIndoctrinator
[27:525] Frosky Placed AutoTurret
[29:192] Frosky Placed AutoTurret
[29:416] Frosky Placed AutoTurret
[31:380] Frosky Placed AutoTurret
[32:291] Frosky Placed AutoTurret
[00:552] GreyWanderer Bought PlayerNumber
[00:747] GreyWanderer Spawned MassiveCocoon
[02:187] GreyWanderer Spawned Hunter
[04:864] GreyWanderer Bought StrainVolatile
[04:885] GreyWanderer Bought PureStrainVolatile
[05:686] GreyWanderer Bought CreepSpeed
[07:639] GreyWanderer Placed/Upgraded ToxicNest
[07:649] GreyWanderer Placed/Upgraded ToxicNest
[07:685] GreyWanderer Placed/Upgraded ToxicNest
[08:911] GreyWanderer Bought BuildExtractorScienceLabs
[08:911] GreyWanderer Placed/Upgraded AutomatedExtractor
[09:285] GreyWanderer Bought UnlockDropPods
[09:531] GreyWanderer Bought EvolveDropPods
[10:238] GreyWanderer Bought EvolveDropPods
[10:244] GreyWanderer Bought EvolveDropPods
[10:248] GreyWanderer Bought EvolveDropPods
[11:544] GreyWanderer Spawned MassiveCocoon
[11:997] GreyWanderer Bought ShieldSuit
[11:997] GreyWanderer Bought CombatSuit
[11:997] GreyWanderer Bought HazmatSuit
[11:997] GreyWanderer Bought CombatSuit
[12:708] GreyWanderer Bought CombatSuit
[12:885] GreyWanderer Bought EvolveDropPods
[12:888] GreyWanderer Bought EvolveDropPods
[12:984] GreyWanderer Spawned Hunter
[16:301] GreyWanderer Bought CreepSpeed
[16:361] GreyWanderer Bought AdvancedInfestationContainment
[16:393] GreyWanderer Bought AdvancedInfestationSecurity
[18:211] GreyWanderer Spawned MassiveCocoon
[18:379] GreyWanderer Bought BuildExtractorManufacturingSector
[18:379] GreyWanderer Placed/Upgraded AutomatedExtractor
[19:291] GreyWanderer Spawned Underseer
[20:850] GreyWanderer Placed/Upgraded Virophage
[21:581] GreyWanderer Bought SpawnNydusWorm
[21:629] GreyWanderer Placed/Upgraded GreaterNydusWorm
[23:525] GreyWanderer Bought AdvancedPowerInfestation
[23:842] GreyWanderer Bought KaboomerStrain
[23:858] GreyWanderer Bought StrainHealth
[24:748] GreyWanderer Bought DropshipsFueled
[24:899] GreyWanderer Spawned RoyalCocoon
[24:899] GreyWanderer Bought SpawnHiveQueen
[24:899] GreyWanderer Bought UltimateInfestationResearched
[25:618] GreyWanderer Spawned QueenCoop
[27:026] GreyWanderer Bought ExtractorCostReductionManufacturingSector
[27:026] GreyWanderer Bought BuildExtractorManufacturingSector
[29:479] GreyWanderer Spawned MassiveCocoon
[30:559] GreyWanderer Spawned Underseer
[30:994] GreyWanderer Placed/Upgraded GreaterNydusWorm
[31:044] GreyWanderer Bought PureStrainHealth
[31:052] GreyWanderer Bought TankStrain
[31:070] GreyWanderer Bought StrainHealth
[31:080] GreyWanderer Bought PureStrainHealth
[31:193] GreyWanderer Bought TankStrain
[31:205] GreyWanderer Bought StrainSpeed
[31:215] GreyWanderer Bought PureStrainSpeed
[31:224] GreyWanderer Bought HunterlingStrain
[31:238] GreyWanderer Bought StrainSpeed
[31:250] GreyWanderer Bought PureStrainSpeed
[00:588] YAAAAY Unlocked AssaultRifle
[00:738] YAAAAY Unlocked PsiDisrupter
[00:588] Ascherit Unlocked AssaultRifle
[00:853] Ascherit Placed/Upgraded MiningDroid
[02:359] Ascherit Unlocked HellfireRocketLauncher
[02:487] Ascherit Unlocked FragGrenade
[03:916] Ascherit Unlocked AdvancedDroidEngines
[05:239] Ascherit Unlocked TurboDroidEngines
[07:103] Ascherit Unlocked ExplorationDroid
[07:126] Ascherit Placed/Upgraded ExplorationDroid
[07:133] Ascherit Placed/Upgraded ExplorationDroid
[07:209] Ascherit Placed/Upgraded ExplorationDroid
[08:579] Ascherit Unlocked SpecOpsHellfireRocketLauncher
[08:731] Ascherit Unlocked SuperStimpack
[09:632] Ascherit Unlocked Stimpack
[10:224] Ascherit Unlocked ShockwaveMissiles
[10:852] Ascherit Unlocked BioMechanicalRepairDrone
[11:000] Ascherit Placed/Upgraded HealingDrone
[11:835] Ascherit Unlocked EnergyPack
[11:858] Ascherit Unlocked AIAssistant
[12:831] Ascherit Placed/Upgraded HealingDrone
[14:599] Ascherit Placed/Upgraded HealingDrone
[15:227] Ascherit Unlocked MiningCharge
[15:245] Ascherit Unlocked AdvancedMiningCharge
[15:371] Ascherit Placed/Upgraded NukePack
[15:692] Ascherit Placed/Upgraded NukePack
[15:911] Ascherit Unlocked AdvancedExplorationDroid
[16:385] Ascherit Placed/Upgraded NukePack
[17:723] Ascherit Placed/Upgraded HealingDrone
[17:961] Ascherit Unlocked HazmatSuit
[17:971] Ascherit Unlocked AdvancedHazmatSuit
[20:159] Ascherit Placed/Upgraded HealingDrone
[20:503] Ascherit Unlocked MedicShield
[23:372] Ascherit Unlocked SpecOpsSuperStimpack
[24:244] Ascherit Placed/Upgraded HealingDrone
[25:509] Ascherit Placed/Upgraded NukePack
[25:639] Ascherit Placed/Upgraded NukePack
[26:333] Ascherit Placed/Upgraded NukePack
[26:966] Ascherit Placed/Upgraded HealingDrone
[27:420] Ascherit Placed/Upgraded HealingDrone
[32:463] Ascherit Placed/Upgraded HealingDrone
[00:588] Anonymous Unlocked AssaultRifle
[00:688] Anonymous Placed/Upgraded MiningDroid
[02:087] Anonymous Unlocked AdvancedDroidEngines
[03:145] Anonymous Unlocked TurboDroidEngines
[04:704] Anonymous Unlocked BeamRifle
