Analyzed: Oh No It's Zombies Arctic Updated (432)

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 1 PlayerName: csiz Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: Ascherit Race: Terran
ID : 4 PlayerName: dwarfplanet Race: Terran
ID : 5 PlayerName: Tin Race: Terran
ID : 6 PlayerName: Sojourne Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Frosky Zombie Loss
Private Lobby

Game Length:[33:303]
Players ammount: 8
Marine rank avg: 10,5
GrandMaster ammount: 5
PURCHASES: 
[00:588] Toxicpanda Unlocked AssaultRifle
[00:667] Toxicpanda Placed/Upgraded MiningDroid
[01:026] Toxicpanda Unlocked AdvancedDroidEngines
[02:707] Toxicpanda Unlocked Stimpack
[06:715] Toxicpanda Unlocked Flamethrower
[06:719] Toxicpanda Unlocked SpecOpsFlamethrower
[07:377] Toxicpanda Unlocked IncendiaryGrenade
[08:465] Toxicpanda Unlocked CombatShield
[08:491] Toxicpanda Unlocked AIAssistant
[10:290] Toxicpanda Unlocked HazmatSuit
[10:885] Toxicpanda Unlocked BioMechanicalRepairDrone
[10:909] Toxicpanda Placed/Upgraded HealingDrone
[11:318] Toxicpanda Placed/Upgraded HealingDrone
[12:947] Toxicpanda Unlocked LongRangeIncinerators
[12:978] Toxicpanda Unlocked AdvancedHazmatSuit
[14:621] Toxicpanda Unlocked EnergyPack
[14:850] Toxicpanda Placed/Upgraded HealingDrone
[15:586] Toxicpanda Placed/Upgraded HealingDrone
[17:346] Toxicpanda Unlocked Teleporter
[17:688] Toxicpanda Unlocked SpecOpsTeleporter
[18:598] Toxicpanda Placed/Upgraded HealingDrone
[18:912] Toxicpanda Unlocked MiningCharge
[19:477] Toxicpanda Placed/Upgraded HealingDrone
[20:405] Toxicpanda Placed/Upgraded NukePack
[20:670] Toxicpanda Placed/Upgraded HealingDrone
[21:119] Toxicpanda Placed/Upgraded HealingDrone
[21:497] Toxicpanda Placed/Upgraded NukePack
[21:806] Toxicpanda Placed/Upgraded HealingDrone
[22:459] Toxicpanda Placed/Upgraded HealingDrone
[24:449] Toxicpanda Placed/Upgraded NukePack
[24:631] Toxicpanda Unlocked AdvancedMiningCharge
[24:703] Toxicpanda Placed/Upgraded HealingDrone
[25:436] Toxicpanda Unlocked ThermiteFilaments
[25:742] Toxicpanda Placed/Upgraded NukePack
[26:657] Toxicpanda Placed/Upgraded NukePack
[26:801] Toxicpanda Placed/Upgraded NukePack
[27:006] Toxicpanda Placed/Upgraded NukePack
[27:119] Toxicpanda Unlocked SpecOpsBioMechanicalRepairDrone
[27:651] Toxicpanda Placed/Upgraded HealingDrone
[27:826] Toxicpanda Placed/Upgraded HealingDrone
[28:436] Toxicpanda Placed/Upgraded NukePack
[28:751] Toxicpanda Placed/Upgraded HealingDrone
[29:606] Toxicpanda Placed/Upgraded NukePack
[30:362] Toxicpanda Placed/Upgraded HealingDrone
[00:588] csiz Unlocked AssaultRifle
[00:864] csiz Placed MiningDroid
[01:023] csiz Unlocked OverloadWeapon
[01:070] csiz Unlocked CombatShield
[04:288] csiz Unlocked AdvancedDroidEngines
[04:466] csiz Unlocked EnergySuit
[04:467] csiz Unlocked EnergySuit
[07:438] csiz Placed MiningDroid
[07:578] csiz Unlocked TurboDroidEngines
[09:511] csiz Unlocked FragGrenade
[09:516] csiz Unlocked SpecOpsFragGrenade
[10:291] csiz Bought ShieldSuit
[10:291] csiz Bought CombatSuit
[10:291] csiz Bought HazmatSuit
[10:291] csiz Bought HazmatSuit
[10:936] csiz Unlocked SpecOpsAssaultRifle
[11:784] csiz Unlocked AutoTargetingSystem
[12:493] csiz Unlocked BioMechanicalRepairDrone
[12:877] csiz Placed HealingDrone
[12:979] csiz Bought HazmatSuit
[13:257] csiz Placed HealingDrone
[13:887] csiz Placed HealingDrone
[14:051] csiz Placed HealingDrone
[14:724] csiz Unlocked PowerConverter
[14:754] csiz Unlocked SpecOpsPowerConverter
