Analyzed: Oh No It's Zombies Arctic Updated (439)

ID : 0 PlayerName: valkarian Race: Terran
ID : 1 PlayerName: BuildAWall Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: ZaqazDeath Race: Terran
ID : 4 PlayerName: iGDeAtHmAtE Race: Terran
ID : 5 PlayerName: JMM Race: Terran
ID : 6 PlayerName: cheese Race: Terran
ID : 7 PlayerName: Security Race: Terran
Frosky Zombie Loss
Public Lobby

Game Length:[37:274]
Players ammount: 8
Marine rank avg: 10
GrandMaster ammount: 1
PURCHASES: 
[00:588] valkarian Unlocked AssaultRifle
[00:718] valkarian Placed/Upgraded MiningDroid
[00:807] valkarian Unlocked AdvancedDroidEngines
[03:587] valkarian Unlocked BeamRifle
[07:175] valkarian Unlocked SpecOpsPlasmaRifle
[07:274] valkarian Unlocked Stimpack
[08:284] valkarian Unlocked ExplorationDroid
[09:163] valkarian Placed/Upgraded ExplorationDroid
[09:891] valkarian Unlocked BioMechanicalRepairDrone
[10:147] valkarian Placed/Upgraded ExplorationDroid
[10:926] valkarian Placed/Upgraded ExplorationDroid
[12:061] valkarian Placed/Upgraded HealingDrone
[13:140] valkarian Unlocked LongRangeScope
[13:198] valkarian Unlocked CombatSuit
[13:293] valkarian Unlocked AdvancedCombatSuit
[14:193] valkarian Placed/Upgraded HealingDrone
[17:893] valkarian Unlocked SuperStimpack
[17:977] valkarian Unlocked MedicShield
[18:030] valkarian Unlocked EnergyPack
[20:949] valkarian Unlocked ForceFieldGrenade
[20:965] valkarian Unlocked SpecOpsForcefieldGrenade
[21:873] valkarian Unlocked AdvancedExplorationDroid
[22:150] valkarian Unlocked MiningCharge
[23:561] valkarian Placed/Upgraded HealingDrone
[25:350] valkarian Unlocked AdvancedMiningCharge
[25:787] valkarian Unlocked PsiDisrupter
[25:875] valkarian Placed/Upgraded PsiIndoctrinator
[27:100] valkarian Placed/Upgraded PsiIndoctrinator
[29:289] valkarian Placed/Upgraded PsiIndoctrinator
[29:788] valkarian Placed/Upgraded NukePack
[30:506] valkarian Placed/Upgraded NukePack
[31:446] valkarian Placed/Upgraded NukePack
[31:775] valkarian Unlocked SpecOpsBioMechanicalRepairDrone
[31:793] valkarian Unlocked AutoTurret
[32:728] valkarian Placed/Upgraded HealingDrone
[33:408] valkarian Placed/Upgraded HealingDrone
[33:886] valkarian Placed/Upgraded HealingDrone
[34:748] valkarian Placed/Upgraded HealingDrone
[36:210] valkarian Placed/Upgraded NukePack
[36:635] valkarian Placed/Upgraded NukePack
[00:588] BuildAWall Unlocked AssaultRifle
[00:796] BuildAWall Placed MiningDroid
[00:951] BuildAWall Unlocked Stimpack
[03:420] BuildAWall Unlocked Shotgun
[04:568] BuildAWall Unlocked AutoTurret
