Analyzed: Oh No It's Zombies Arctic Updated (45)

ID : 0 PlayerName: MangledMind Race: Zerg
ID : 1 PlayerName: Obliteration Race: Terran
ID : 2 PlayerName: Kaedin Race: Terran
ID : 3 PlayerName: RyK Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: FireFurry Race: Terran
ID : 6 PlayerName: ForPutin Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
MangledMind Zombie Loss
Public Lobby

Game Length:[31:072]
Players ammount: 8
Marine rank avg: 4,833333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:704] MangledMind Bought StrainSpeed
[02:199] MangledMind Bought PureStrainSpeed
[03:004] MangledMind Placed/Upgraded PrimalSunkenColony
[03:005] MangledMind Bought SunkenColony
[03:943] MangledMind Bought SunkenColony
[04:535] MangledMind Bought StrainHealth
[05:855] MangledMind Bought CreepSpeed
[07:775] MangledMind Bought PureStrainHealth
[09:163] MangledMind Bought HunterlingStrain
[11:382] MangledMind Bought BuildExtractorScienceLabs
[11:382] MangledMind Placed/Upgraded AutomatedExtractor
[11:591] MangledMind Spawned MassiveCocoon
[12:470] MangledMind Bought BuildExtractorScienceLabs
[13:031] MangledMind Spawned Anubalisk
[15:309] MangledMind Spawned MassiveCocoon
[17:113] MangledMind Placed/Upgraded PrimalSunkenColony
[17:114] MangledMind Bought SunkenColony
[17:281] MangledMind Bought StrainDamage
[18:216] MangledMind Placed/Upgraded PrimalSunkenColony
[18:217] MangledMind Bought SunkenColony
[18:479] MangledMind Bought PureStrainDamage
[18:518] MangledMind Bought SunkenColony
[18:996] MangledMind Bought VirulentCreep
[20:025] MangledMind Bought SunkenColony
[20:662] MangledMind Bought VirulentCreep
[21:228] MangledMind Bought DropshipsFueled
[21:470] MangledMind Bought UltimateInfestationResearched
[21:514] MangledMind Bought GreaterNydus
[21:573] MangledMind Bought GreaterNydus
[21:969] MangledMind Bought DefilerStrain
[22:297] MangledMind Bought GreaterNydus
[22:685] MangledMind Bought StrainVolatile
[23:456] MangledMind Bought PureStrainVolatile
[24:272] MangledMind Bought GreaterNydus
[24:795] MangledMind Bought KaboomerStrain
