Analyzed: Oh No It's Zombies Arctic Updated (450)

ID : 0 PlayerName: Toxicpanda Race: Terran
ID : 1 PlayerName: MacNCheese Race: Zerg
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: csiz Race: Terran
ID : 4 PlayerName: Ascherit Race: Terran
ID : 5 PlayerName: MarFly Race: Terran
ID : 6 PlayerName: RyK Race: Terran
ID : 7 PlayerName: Security Race: Terran
MacNCheese Zombie Loss
Private Lobby

Game Length:[41:813]
Players ammount: 8
Marine rank avg: 21,666666666666668
GrandMaster ammount: 7
PURCHASES: 
[00:588] Toxicpanda Unlocked AssaultRifle
[00:667] Toxicpanda Placed MiningDroid
[00:735] Toxicpanda Unlocked AdvancedDroidEngines
[03:631] Toxicpanda Unlocked TurboDroidEngines
[05:114] Toxicpanda Unlocked IncendiaryGrenade
[06:212] Toxicpanda Unlocked Stimpack
[08:271] Toxicpanda Unlocked Flamethrower
[08:278] Toxicpanda Unlocked SpecOpsFlamethrower
[09:445] Toxicpanda Unlocked CombatShield
[09:451] Toxicpanda Unlocked AIAssistant
[11:065] Toxicpanda Unlocked BioMechanicalRepairDrone
[11:175] Toxicpanda Unlocked Teleporter
[12:464] Toxicpanda Placed HealingDrone
[13:396] Toxicpanda Unlocked SpecOpsTeleporter
[13:440] Toxicpanda Unlocked ThermiteFilaments
[13:669] Toxicpanda Placed HealingDrone
[14:221] Toxicpanda Unlocked LongRangeIncinerators
[15:050] Toxicpanda Placed HealingDrone
[15:939] Toxicpanda Placed HealingDrone
[16:170] Toxicpanda Placed HealingDrone
[16:717] Toxicpanda Placed HealingDrone
[21:128] Toxicpanda Unlocked HazmatSuit
[21:132] Toxicpanda Unlocked AdvancedHazmatSuit
[21:208] Toxicpanda Unlocked SpecOpsIncendiaryGrenade
[21:256] Toxicpanda Placed HealingDrone
[22:651] Toxicpanda Unlocked SpecOpsBioMechanicalRepairDrone
[23:337] Toxicpanda Placed HealingDrone
[23:566] Toxicpanda Unlocked MiningCharge
[24:029] Toxicpanda Placed HealingDrone
[24:251] Toxicpanda Placed NukePack
[24:770] Toxicpanda Placed NukePack
[25:689] Toxicpanda Placed HealingDrone
[25:896] Toxicpanda Placed NukePack
[26:674] Toxicpanda Placed HealingDrone
[27:650] Toxicpanda Placed NukePack
[27:650] Toxicpanda Placed HealingDrone
[27:980] Toxicpanda Placed HealingDrone
[31:337] Toxicpanda Placed HealingDrone
[32:820] Toxicpanda Placed NukePack
[32:908] Toxicpanda Placed HealingDrone
[33:111] Toxicpanda Placed HealingDrone
[36:381] Toxicpanda Placed NukePack
[36:394] Toxicpanda Placed HealingDrone
[36:658] Toxicpanda Placed HealingDrone
[36:998] Toxicpanda Unlocked PsiDisrupter
[37:044] Toxicpanda Unlocked PsiDepressor
[37:242] Toxicpanda Placed PsiIndoctrinator
[37:334] Toxicpanda Placed NukePack
[37:735] Toxicpanda Placed HealingDrone
[38:121] Toxicpanda Placed HealingDrone
[38:773] Toxicpanda Placed HealingDrone
[00:552] MacNCheese Bought PlayerNumber
[00:641] MacNCheese Spawned MassiveCocoon
[01:340] MacNCheese Placed/Upgraded PrimalSunkenColony
[01:341] MacNCheese Bought SunkenColony
[02:081] MacNCheese Spawned Hunter
[02:192] MacNCheese Placed/Upgraded ToxicNest
[02:203] MacNCheese Placed/Upgraded ToxicNest
[02:216] MacNCheese Placed/Upgraded ToxicNest
[03:576] MacNCheese Spawned MassiveCocoon
[05:016] MacNCheese Spawned PrimalTownHallUprooted
[05:337] MacNCheese Bought CreepSpeed
[06:052] MacNCheese Placed/Upgraded PrimalSunkenColony
[06:053] MacNCheese Bought SunkenColony
[07:554] MacNCheese Placed/Upgraded PrimalSunkenColony
[07:555] MacNCheese Bought SunkenColony
[08:331] MacNCheese Placed/Upgraded PrimalSunkenColony
[08:332] MacNCheese Bought SunkenColony
[08:497] MacNCheese Placed/Upgraded ToxicNest
[08:516] MacNCheese Placed/Upgraded ToxicNest
[08:534] MacNCheese Placed/Upgraded ToxicNest
[08:920] MacNCheese Spawned MassiveCocoon
[09:875] MacNCheese Placed/Upgraded ToxicNest
[09:896] MacNCheese Placed/Upgraded ToxicNest
[10:000] MacNCheese Spawned Underseer
[10:536] MacNCheese Bought SunkenColony
[10:536] MacNCheese Placed/Upgraded PrimalSunkenColony
[10:888] MacNCheese Bought SunkenColony
[11:247] MacNCheese Spawned MassiveCocoon
[11:495] MacNCheese Placed/Upgraded PrimalSunkenColony
[11:496] MacNCheese Bought SunkenColony
[12:687] MacNCheese Spawned PrimalTownHallUprooted
[12:762] MacNCheese Bought SunkenColony
[12:963] MacNCheese Bought VirulentCreep
[12:963] MacNCheese Bought VirulentCreep
[13:887] MacNCheese Placed/Upgraded PrimalSunkenColony
[13:888] MacNCheese Bought SunkenColony
[14:377] MacNCheese Bought SunkenColony
[15:048] MacNCheese Spawned MassiveCocoon
[15:883] MacNCheese Bought AdvancedPowerInfestation
[16:223] MacNCheese Bought BuildExtractorProcessingFacilities
[16:223] MacNCheese Placed/Upgraded AutomatedExtractor
[16:488] MacNCheese Spawned PrimalTownHallUprooted
[16:665] MacNCheese Placed/Upgraded ToxicNest
[16:818] MacNCheese Placed/Upgraded ToxicNest
[16:818] MacNCheese Placed/Upgraded ToxicNest
[17:585] MacNCheese Placed/Upgraded Virophage
[17:782] MacNCheese Bought SunkenColony
[17:929] MacNCheese Placed/Upgraded PrimalSunkenColony
[17:930] MacNCheese Bought SunkenColony
[19:797] MacNCheese Bought SiphonFuel
[20:186] MacNCheese Placed/Upgraded PrimalSunkenColony
[20:187] MacNCheese Bought SunkenColony
[20:648] MacNCheese Bought VirulentCreep
[20:648] MacNCheese Bought VirulentCreep
[20:758] MacNCheese Bought SunkenColony
[21:129] MacNCheese Bought ShieldSuit
[21:129] MacNCheese Bought CombatSuit
[21:129] MacNCheese Bought HazmatSuit
[21:129] MacNCheese Bought HazmatSuit
[21:133] MacNCheese Bought HazmatSuit
[21:190] MacNCheese Placed/Upgraded PrimalSunkenColony
[21:191] MacNCheese Bought SunkenColony
[22:662] MacNCheese Bought BuildExtractorExcavationZone
[22:662] MacNCheese Placed/Upgraded AutomatedExtractor
[23:304] MacNCheese Bought UnlockDropPods
[23:308] MacNCheese Bought EvolveDropPods
[24:988] MacNCheese Bought SiphonFuel
[25:435] MacNCheese Placed/Upgraded PrimalSunkenColony
[25:436] MacNCheese Bought SunkenColony
[25:784] MacNCheese Bought SunkenColony
[25:836] MacNCheese Placed/Upgraded PrimalSunkenColony
[25:837] MacNCheese Bought SunkenColony
[25:994] MacNCheese Bought EvolveDropPods
[25:997] MacNCheese Bought EvolveDropPods
[26:000] MacNCheese Bought EvolveDropPods
[26:003] MacNCheese Bought EvolveDropPods
[26:007] MacNCheese Bought EvolveDropPods
[26:268] MacNCheese Placed/Upgraded ToxicNest
[26:293] MacNCheese Placed/Upgraded ToxicNest
[26:306] MacNCheese Placed/Upgraded ToxicNest
[26:885] MacNCheese Bought SunkenColony
[26:924] MacNCheese Placed/Upgraded PrimalSunkenColony
[26:925] MacNCheese Bought SunkenColony
[27:202] MacNCheese Placed/Upgraded NydusCanalCreeper
[27:249] MacNCheese Placed/Upgraded ToxicNest
[27:300] MacNCheese Placed/Upgraded ToxicNest
[28:479] MacNCheese Bought SiphonFuel
[28:625] MacNCheese Spawned MassiveCocoon
[29:072] MacNCheese Bought SunkenColony
[29:705] MacNCheese Spawned Underseer
[30:338] MacNCheese Spawned MassiveCocoon
[30:383] MacNCheese Spawned MassiveCocoon
[31:097] MacNCheese Spawned MassiveCocoon
[31:110] MacNCheese Spawned MassiveCocoon
[31:396] MacNCheese Bought SiphonFuel
[31:418] MacNCheese Spawned Underseer
[31:823] MacNCheese Spawned InfestedAbomination
[32:135] MacNCheese Placed/Upgraded PrimalSunkenColony
[32:136] MacNCheese Bought SunkenColony
[32:261] MacNCheese Bought DropshipsFueled
[32:537] MacNCheese Spawned Anubalisk
[32:550] MacNCheese Spawned Anubalisk
[33:035] MacNCheese Bought SunkenColony
[34:615] MacNCheese Spawned MassiveCocoon
[35:218] MacNCheese Bought SpawnNydusWorm
[35:695] MacNCheese Spawned Underseer
[36:059] MacNCheese Placed/Upgraded NydusCanalCreeper
[36:221] MacNCheese Spawned RoyalCocoon
[36:221] MacNCheese Bought SpawnHiveQueen
[36:221] MacNCheese Bought UltimateInfestationResearched
[36:291] MacNCheese Bought AdvancedInfestationContainment
[36:940] MacNCheese Spawned QueenCoop
[37:587] MacNCheese Placed/Upgraded GreaterNydusWorm
[38:715] MacNCheese Placed/Upgraded NydusCanalCreeper
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:770] Frosky Unlocked AdvancedDroidEngines
[02:716] Frosky Unlocked Shotgun
[04:338] Frosky Unlocked ExplorationDroid
[04:645] Frosky Placed/Upgraded ExplorationDroid
[04:711] Frosky Placed/Upgraded ExplorationDroid
[04:891] Frosky Placed/Upgraded ExplorationDroid
[06:907] Frosky Unlocked Stimpack
[07:952] Frosky Placed/Upgraded ExplorationDroid
[08:803] Frosky Unlocked SpecOpsShotgun
[10:909] Frosky Unlocked TurboDroidEngines
[16:729] Frosky Placed/Upgraded MiningDroid
[18:888] Frosky Unlocked BioMechanicalRepairDrone
[19:182] Frosky Placed/Upgraded HealingDrone
[20:359] Frosky Unlocked SuperStimpack
[20:648] Frosky Bought HazmatSuit
[20:822] Frosky Placed/Upgraded HealingDrone
[21:866] Frosky Unlocked AutoTurret
[22:963] Frosky Unlocked HighPrecisionBeams
[24:070] Frosky Placed/Upgraded AutoTurret
[25:474] Frosky Placed/Upgraded AutoTurret
[26:806] Frosky Unlocked HeavyTurret
[27:454] Frosky Unlocked HazmatSuit
