Analyzed: Oh No It's Zombies Arctic Updated (451)

ID : 0 PlayerName: Casual Race: Zerg
ID : 1 PlayerName: GunsOfEskimo Race: Terran
ID : 2 PlayerName: timbit Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: xxxpro Race: Terran
ID : 5 PlayerName: NipsPerKing Race: Terran
ID : 6 PlayerName: ContraBaby Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Casual Zombie Win
Public Lobby

Game Length:[19:190]
Players ammount: 8
Marine rank avg: 5,333333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:656] Casual Spawned MassiveCocoon
[01:286] Casual Placed/Upgraded PrimalSunkenColony
[01:287] Casual Bought SunkenColony
[02:096] Casual Spawned PrimalTownHallUprooted
[03:232] Casual Bought SunkenColony
[03:495] Casual Bought SunkenColony
[03:495] Casual Placed/Upgraded PrimalSunkenColony
[03:778] Casual Placed/Upgraded PrimalSunkenColony
[03:779] Casual Bought SunkenColony
[04:164] Casual Spawned MassiveCocoon
[05:261] Casual Placed/Upgraded PrimalSunkenColony
[05:262] Casual Bought SunkenColony
[05:604] Casual Spawned PrimalTownHallUprooted
[05:789] Casual Bought SunkenColony
[06:043] Casual Bought SunkenColony
[06:518] Casual Bought CreepSpeed
[06:985] Casual Placed/Upgraded LesserNydusWorm
[06:986] Casual Bought GreaterNydus
[07:351] Casual Placed/Upgraded PrimalSunkenColony
[07:352] Casual Bought SunkenColony
[08:010] Casual Placed/Upgraded PrimalSunkenColony
[08:011] Casual Bought SunkenColony
[08:264] Casual Spawned MassiveCocoon
[08:618] Casual Bought SunkenColony
[08:638] Casual Placed/Upgraded NydusCanalCreeper
[09:142] Casual Bought AdvancedInfestationContainment
[09:704] Casual Spawned PrimalTownHallUprooted
[09:979] Casual Placed/Upgraded PrimalSunkenColony
[09:980] Casual Bought SunkenColony
[10:081] Casual Bought SunkenColony
[10:665] Casual Bought VirulentCreep
[10:754] Casual Spawned MassiveCocoon
[11:123] Casual Bought RegenerativeCreep
[11:695] Casual Bought SunkenColony
[11:695] Casual Placed/Upgraded PrimalSunkenColony
[11:834] Casual Spawned Underseer
[12:318] Casual Bought ConstructiveCreep
[13:120] Casual Bought UnlockDropPods
[13:776] Casual Bought AdvancedInfestationSecurity
