Analyzed: Oh No It's Zombies Arctic Updated (453)

ID : 0 PlayerName: aaa Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: Basik Race: Terran
ID : 3 PlayerName: Tin Race: Terran
ID : 4 PlayerName: Juuggernaut Race: Terran
ID : 5 PlayerName: MacNCheese Race: Terran
ID : 6 PlayerName: Manteeman Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Loss
Public Lobby

Game Length:[35:280]
Players ammount: 8
Marine rank avg: 8,666666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:588] aaa Unlocked AssaultRifle
[00:667] aaa Placed MiningDroid
[00:688] aaa Unlocked AdvancedDroidEngines
[03:470] aaa Unlocked BeamRifle
[05:053] aaa Unlocked Stimpack
[05:074] aaa Unlocked MedicShield
[07:092] aaa Unlocked MiningCharge
[07:304] aaa Placed NukePack
[09:285] aaa Unlocked SpecOpsPlasmaRifle
[11:730] aaa Placed NukePack
[11:803] aaa Unlocked BioMechanicalRepairDrone
[11:930] aaa Placed HealingDrone
[12:406] aaa Placed NukePack
[12:463] aaa Placed HealingDrone
[12:592] aaa Unlocked PlasmaRifleMod3
[12:747] aaa Placed HealingDrone
[13:893] aaa Placed NukePack
[15:441] aaa Placed NukePack
[15:819] aaa Placed HealingDrone
[16:077] aaa Placed HealingDrone
[17:035] aaa Placed HealingDrone
[20:050] aaa Unlocked Teleporter
[20:746] aaa Placed HealingDrone
[21:545] aaa Unlocked CombatSuit
[23:791] aaa Unlocked SpecOpsTeleporter
[24:439] aaa Unlocked AdvancedCombatSuit
[24:932] aaa Placed HealingDrone
[26:134] aaa Placed HealingDrone
[26:422] aaa Placed HealingDrone
[27:149] aaa Placed NukePack
[27:342] aaa Placed NukePack
[27:493] aaa Placed NukePack
[28:442] aaa Unlocked FlashBang
[28:886] aaa Unlocked SpecOpsFlashbang
[29:563] aaa Placed HealingDrone
[29:745] aaa Placed HealingDrone
[30:635] aaa Placed HealingDrone
[31:267] aaa Unlocked SpecOpsBioMechanicalRepairDrone
[32:229] aaa Placed HealingDrone
[32:492] aaa Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[01:419] Frosky Spawned MassiveCocoon
[02:859] Frosky Spawned Hunter
[03:040] Frosky Placed/Upgraded ToxicNest
[03:048] Frosky Placed/Upgraded ToxicNest
[03:073] Frosky Placed/Upgraded ToxicNest
[05:228] Frosky Spawned MassiveCocoon
[06:182] Frosky Placed/Upgraded ToxicNest
[06:202] Frosky Placed/Upgraded ToxicNest
[06:224] Frosky Placed/Upgraded ToxicNest
