Analyzed: Oh No It's Zombies Arctic Updated (461)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Seraph Race: Terran
ID : 2 PlayerName: dwarfplanet Race: Terran
ID : 3 PlayerName: FanaticFoe Race: Zerg
ID : 4 PlayerName: Snap Race: Terran
ID : 5 PlayerName: Hopebringer Race: Terran
ID : 6 PlayerName: player Race: Terran
ID : 7 PlayerName: Security Race: 
FanaticFoe Zombie Win
Public Lobby

Game Length:[33:169]
Players ammount: 8
Marine rank avg: 8,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:671] Frosky Placed/Upgraded MiningDroid
[00:731] Frosky Unlocked ArcWelder
[01:990] Frosky Unlocked BioMechanicalRepairDrone
[02:005] Frosky Unlocked CombatAccelerationDrone
[02:067] Frosky Placed/Upgraded HealingDrone
[03:029] Frosky Placed/Upgraded HealingDrone
[03:494] Frosky Placed/Upgraded HealingDrone
[04:099] Frosky Placed/Upgraded HealingDrone
[04:233] Frosky Placed/Upgraded HealingDrone
[04:591] Frosky Placed/Upgraded HealingDrone
[05:741] Frosky Unlocked Stimpack
[06:414] Frosky Unlocked ExplorationDroid
[07:067] Frosky Placed/Upgraded ExplorationDroid
[07:131] Frosky Placed/Upgraded ExplorationDroid
[07:309] Frosky Placed/Upgraded ExplorationDroid
[08:422] Frosky Unlocked AdvancedDroidEngines
[09:660] Frosky Unlocked CombatSuit
[10:826] Frosky Unlocked TurboDroidEngines
[12:294] Frosky Unlocked AutoTurret
[12:391] Frosky Placed/Upgraded AutoTurret
[13:248] Frosky Unlocked PsiDisrupter
[13:728] Frosky Placed/Upgraded PsiIndoctrinator
[14:999] Frosky Unlocked PsiDepressor
[15:753] Frosky Unlocked HeavyTurret
[16:136] Frosky Placed/Upgraded AutoTurret
[16:276] Frosky Placed/Upgraded AutoTurret
[16:914] Frosky Placed/Upgraded AutoTurret
[17:740] Frosky Placed/Upgraded AutoTurret
[17:951] Frosky Placed/Upgraded AutoTurret
[18:394] Frosky Placed/Upgraded AutoTurret
[18:590] Frosky Placed/Upgraded AutoTurret
[19:608] Frosky Placed/Upgraded MiningDroid
[20:483] Frosky Placed/Upgraded HealingDrone
[20:679] Frosky Placed/Upgraded AutoTurret
[20:810] Frosky Placed/Upgraded AutoTurret
[21:767] Frosky Placed/Upgraded AutoTurret
[22:081] Frosky Placed/Upgraded HealingDrone
