Analyzed: Oh No It's Zombies Arctic Updated (471)

ID : 0 PlayerName: BuildAWall Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: Proteus Race: Zerg
ID : 3 PlayerName: Yello Race: Terran
ID : 4 PlayerName: QurIzE Race: Terran
ID : 5 PlayerName: Sojourne Race: Terran
ID : 6 PlayerName: deatheater Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Proteus Zombie Loss
Public Lobby

Game Length:[31:393]
Players ammount: 8
Marine rank avg: 9,833333333333334
GrandMaster ammount: 1
PURCHASES: 
[00:588] BuildAWall Unlocked AssaultRifle
[00:667] BuildAWall Placed/Upgraded MiningDroid
[00:772] BuildAWall Unlocked Stimpack
[02:267] BuildAWall Unlocked IncendiaryGrenade
[03:899] BuildAWall Unlocked Shotgun
[06:633] BuildAWall Unlocked SpecOpsShotgun
[06:666] BuildAWall Unlocked Shieldsiotunlocked
[08:846] BuildAWall Unlocked AdvancedDroidEngines
[08:854] BuildAWall Unlocked TurboDroidEngines
[11:089] BuildAWall Unlocked AdvancedShieldSuit
[11:122] BuildAWall Unlocked CombatShield
[11:175] BuildAWall Unlocked IncendiaryBullets
[11:216] BuildAWall Unlocked SpecOpsIncendiaryGrenade
[13:228] BuildAWall Unlocked AutoTurret
[13:317] BuildAWall Placed/Upgraded AutoTurret
[13:395] BuildAWall Unlocked FlameTurret
[13:631] BuildAWall Placed/Upgraded AutoTurret
[14:587] BuildAWall Placed/Upgraded AutoTurret
[14:938] BuildAWall Unlocked BioMechanicalRepairDrone
[14:960] BuildAWall Unlocked RechargeDrone
[15:037] BuildAWall Placed/Upgraded HealingDrone
[15:479] BuildAWall Placed/Upgraded HealingDrone
[17:159] BuildAWall Placed/Upgraded HealingDrone
[17:644] BuildAWall Unlocked PsiDisrupter
[17:653] BuildAWall Unlocked SpecOpsPsiDisruptor
[17:692] BuildAWall Placed/Upgraded PsiIndoctrinator
[17:891] BuildAWall Placed/Upgraded PsiIndoctrinator
[19:118] BuildAWall Unlocked SpecOpsTurret
[19:205] BuildAWall Placed/Upgraded AutoTurret
[19:416] BuildAWall Placed/Upgraded AutoTurret
[19:618] BuildAWall Placed/Upgraded AutoTurret
[19:855] BuildAWall Placed/Upgraded HealingDrone
[20:307] BuildAWall Unlocked OpticalVisor
[21:672] BuildAWall Placed/Upgraded PsiIndoctrinator
[21:951] BuildAWall Placed/Upgraded PsiIndoctrinator
[23:247] BuildAWall Unlocked MiningCharge
[23:257] BuildAWall Unlocked AdvancedMiningCharge
[24:802] BuildAWall Placed/Upgraded NukePack
[25:161] BuildAWall Placed/Upgraded HealingDrone
[25:223] BuildAWall Unlocked SpecOpsBioMechanicalRepairDrone
[25:754] BuildAWall Placed/Upgraded HealingDrone
[26:906] BuildAWall Placed/Upgraded NukePack
[28:164] BuildAWall Placed/Upgraded NukePack
[29:057] BuildAWall Placed/Upgraded MiningDroid
[29:896] BuildAWall Placed/Upgraded NukePack
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed MiningDroid
[00:752] Frosky Unlocked Shotgun
[03:769] Frosky Unlocked SpecOpsShotgun
[06:667] Frosky Bought ShieldSuit
[06:667] Frosky Bought CombatSuit
[06:667] Frosky Bought HazmatSuit
[06:667] Frosky Bought ShieldSuit
[08:001] Frosky Unlocked Stimpack
[08:127] Frosky Unlocked AdvancedDroidEngines
[09:067] Frosky Unlocked MedicShield
[10:066] Frosky Unlocked HighPrecisionBeams
[10:908] Frosky Unlocked BioMechanicalRepairDrone
[10:963] Frosky Placed HealingDrone
[11:090] Frosky Bought ShieldSuit
[13:628] Frosky Unlocked HazmatSuit
[16:383] Frosky Placed HealingDrone
[16:480] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[16:522] Frosky Unlocked QuantumBackpack
[16:524] Frosky Unlocked AIAssistant
[17:696] Frosky Unlocked SuperStimpack
[19:379] Frosky Placed MiningDroid
[19:534] Frosky Placed HealingDrone
[21:551] Frosky Unlocked AutoTurret
[21:719] Frosky Placed AutoTurret
[21:925] Frosky Placed AutoTurret
[22:106] Frosky Placed AutoTurret
[22:432] Frosky Placed AutoTurret
[27:299] Frosky Unlocked HeavyTurret
[27:508] Frosky Placed AutoTurret
[27:692] Frosky Placed AutoTurret
[27:863] Frosky Placed AutoTurret
[28:040] Frosky Unlocked MotionSensor
[28:132] Frosky Placed SensorTower
[28:271] Frosky Placed SensorTower
[28:404] Frosky Placed SensorTower
[28:447] Frosky Placed SensorTower
[28:586] Frosky Unlocked PsiDisrupter
[29:581] Frosky Placed SensorTower
[29:614] Frosky Placed SensorTower
[29:750] Frosky Unlocked ExplorationDroid
[29:780] Frosky Placed ExplorationDroid
[29:868] Frosky Placed ExplorationDroid
[00:552] Proteus Bought PlayerNumber
[00:962] Proteus Spawned MassiveCocoon
[02:402] Proteus Spawned PrimalTownHallUprooted
[05:529] Proteus Bought SunkenColony
[05:529] Proteus Placed/Upgraded PrimalSunkenColony
[06:923] Proteus Placed/Upgraded PrimalSunkenColony
[06:924] Proteus Bought SunkenColony
[08:156] Proteus Bought StrainHealth
[10:743] Proteus Spawned MassiveCocoon
[11:613] Proteus Bought SunkenColony
[11:621] Proteus Bought SunkenColony
[12:183] Proteus Spawned PrimalTownHallUprooted
[13:629] Proteus Bought ShieldSuit
[13:629] Proteus Bought CombatSuit
[13:629] Proteus Bought HazmatSuit
[13:629] Proteus Bought HazmatSuit
[14:388] Proteus Bought AdvancedInfestationGateControl
[15:335] Proteus Bought PureStrainHealth
[17:226] Proteus Bought TankStrain
[19:825] Proteus Bought StrainHealth
[19:835] Proteus Bought PureStrainHealth
[19:845] Proteus Bought TankStrain
[21:677] Proteus Bought CreepSpeed
[21:868] Proteus Bought DropshipsFueled
[21:997] Proteus Bought SweepingInfestation
[21:997] Proteus Bought UltimateInfestationResearched
[23:844] Proteus Bought StrainSpeed
[25:906] Proteus Bought CreepSpeed
[26:947] Proteus Bought VirulentCreep
[26:947] Proteus Bought VirulentCreep
[28:030] Proteus Placed/Upgraded LesserNydusWorm
[28:031] Proteus Bought GreaterNydus
[28:761] Proteus Bought PureStrainSpeed
[29:449] Proteus Bought UnlockDropPods
[29:951] Proteus Bought EvolveDropPods
[30:513] Proteus Bought EvolveDropPods
[00:588] Yello Unlocked AssaultRifle
[01:200] Yello Placed/Upgraded MiningDroid
[01:332] Yello Unlocked SpecOpsAssaultRifle
[03:541] Yello Unlocked AutoTargetingSystem
[04:508] Yello Unlocked OverloadWeapon
[07:486] Yello Unlocked EnergySuit
[07:487] Yello Unlocked EnergySuit
[07:498] Yello Unlocked AdvancedEnergySuit
[07:499] Yello Unlocked EnergySuit
[07:499] Yello Unlocked AdvancedEnergySuit
[07:561] Yello Unlocked BioMechanicalRepairDrone
[08:999] Yello Placed/Upgraded HealingDrone
[11:062] Yello Placed/Upgraded HealingDrone
[11:525] Yello Unlocked TitaniumBulletCasings
