Analyzed: Oh No It's Zombies Arctic Updated (472)

ID : 0 PlayerName: Drake Race: Terran
ID : 1 PlayerName: BuildAWall Race: Zerg
ID : 2 PlayerName: QurIzE Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Yello Race: Terran
ID : 5 PlayerName: Sojourne Race: Terran
ID : 6 PlayerName: archdracon Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
BuildAWall Zombie Loss
Public Lobby

Game Length:[34:192]
Players ammount: 8
Marine rank avg: 10,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] Drake Unlocked AssaultRifle
[00:807] Drake Placed MiningDroid
[00:888] Drake Unlocked AdvancedDroidEngines
[03:910] Drake Unlocked TurboDroidEngines
[05:623] Drake Unlocked HellfireRocketLauncher
[06:006] Drake Unlocked SpecOpsHellfireRocketLauncher
[08:243] Drake Unlocked ShockwaveMissiles
[09:445] Drake Unlocked SuperStimpack
[10:823] Drake Unlocked CombatSuit
[13:470] Drake Unlocked AdvancedCombatSuit
[13:510] Drake Unlocked BioMechanicalRepairDrone
[13:517] Drake Unlocked SpecOpsBioMechanicalRepairDrone
[26:030] Drake Placed MiningDroid
[28:008] Drake Unlocked MiningCharge
[30:572] Drake Placed NukePack
[30:586] Drake Placed HealingDrone
[30:792] Drake Placed HealingDrone
[31:306] Drake Placed HealingDrone
[00:552] BuildAWall Bought PlayerNumber
[00:686] BuildAWall Placed/Upgraded PrimalSunkenColony
[00:687] BuildAWall Bought SunkenColony
[00:927] BuildAWall Bought SunkenColony
[00:927] BuildAWall Placed/Upgraded PrimalSunkenColony
[02:831] BuildAWall Spawned MassiveCocoon
[04:271] BuildAWall Spawned Hunter
[05:183] BuildAWall Bought StrainSpeed
[05:975] BuildAWall Placed/Upgraded ToxicNest
[05:984] BuildAWall Placed/Upgraded ToxicNest
[06:057] BuildAWall Placed/Upgraded ToxicNest
[06:090] BuildAWall Bought SunkenColony
[07:508] BuildAWall Spawned MassiveCocoon
[08:014] BuildAWall Bought SunkenColony
[08:612] BuildAWall Placed/Upgraded ToxicNest
[08:630] BuildAWall Placed/Upgraded ToxicNest
[08:649] BuildAWall Placed/Upgraded ToxicNest
[08:948] BuildAWall Spawned Hunter
[09:720] BuildAWall Placed/Upgraded ToxicNest
[09:813] BuildAWall Placed/Upgraded ToxicNest
[09:861] BuildAWall Placed/Upgraded ToxicNest
[10:060] BuildAWall Placed/Upgraded NydusCanalCreeper
[10:195] BuildAWall Bought BuildExtractorProcessingFacilities
[10:195] BuildAWall Placed/Upgraded AutomatedExtractor
[10:824] BuildAWall Bought ShieldSuit
[10:824] BuildAWall Bought CombatSuit
[10:824] BuildAWall Bought HazmatSuit
[10:824] BuildAWall Bought CombatSuit
[12:447] BuildAWall Placed/Upgraded ToxicNest
[12:517] BuildAWall Placed/Upgraded ToxicNest
[12:581] BuildAWall Placed/Upgraded ToxicNest
[13:471] BuildAWall Bought CombatSuit
[14:520] BuildAWall Bought BuildExtractorExcavationZone
[14:520] BuildAWall Placed/Upgraded AutomatedExtractor
[16:399] BuildAWall Placed/Upgraded Virophage
[16:922] BuildAWall Placed/Upgraded PrimalSunkenColony
[16:923] BuildAWall Bought SunkenColony
[17:873] BuildAWall Bought BuildExtractorScienceLabs
[17:873] BuildAWall Placed/Upgraded AutomatedExtractor
[18:001] BuildAWall Placed/Upgraded NydusCanalCreeper
[18:679] BuildAWall Bought VirulentCreep
[18:679] BuildAWall Bought VirulentCreep
[18:767] BuildAWall Bought VirulentCreep
[18:767] BuildAWall Bought VirulentCreep
[19:294] BuildAWall Placed/Upgraded PrimalSunkenColony
[19:295] BuildAWall Bought SunkenColony
[19:535] BuildAWall Bought SunkenColony
[19:535] BuildAWall Placed/Upgraded PrimalSunkenColony
[19:548] BuildAWall Bought UnlockDropPods
[19:555] BuildAWall Bought EvolveDropPods
[20:481] BuildAWall Spawned MassiveCocoon
[20:681] BuildAWall Bought PureStrainSpeed
[21:064] BuildAWall Bought EvolveDropPods
[21:102] BuildAWall Bought SunkenColony
[21:988] BuildAWall Bought SunkenColony
[22:069] BuildAWall Bought SunkenColony
[22:345] BuildAWall Bought SpawnNydusWorm
[22:423] BuildAWall Placed/Upgraded GreaterNydusWorm
[22:620] BuildAWall Bought ExtractorCostReductionProcessingFacilities
[22:620] BuildAWall Bought BuildExtractorProcessingFacilities
[23:010] BuildAWall Bought SiphonFuel
[23:098] BuildAWall Bought StrainVolatile
[23:102] BuildAWall Bought PureStrainVolatile
[23:192] BuildAWall Bought StrainDamage
[23:197] BuildAWall Bought PureStrainDamage
[23:892] BuildAWall Placed/Upgraded PrimalSunkenColony
[23:893] BuildAWall Bought SunkenColony
[24:132] BuildAWall Bought SunkenColony
[24:132] BuildAWall Placed/Upgraded PrimalSunkenColony
[24:877] BuildAWall Bought DropshipsFueled
[25:385] BuildAWall Bought BuildExtractorExcavationZone
[25:749] BuildAWall Bought ConstructiveCreep
[26:213] BuildAWall Placed/Upgraded PrimalSunkenColony
[26:214] BuildAWall Bought SunkenColony
[26:461] BuildAWall Bought UltimateInfestationResearched
[26:480] BuildAWall Bought SunkenColony
[26:768] BuildAWall Bought GreaterNydus
[27:237] BuildAWall Placed/Upgraded NydusCanalCreeper
[27:523] BuildAWall Bought SunkenColony
[27:592] BuildAWall Placed/Upgraded NydusCanalCreeper
[27:649] BuildAWall Bought GreaterNydus
[28:010] BuildAWall Placed/Upgraded PrimalSunkenColony
[28:011] BuildAWall Bought SunkenColony
[28:139] BuildAWall Bought GreaterNydus
[28:170] BuildAWall Bought SunkenColony
[28:170] BuildAWall Placed/Upgraded PrimalSunkenColony
[28:305] BuildAWall Bought SunkenColony
[28:517] BuildAWall Placed/Upgraded NydusCanalCreeper
[28:781] BuildAWall Bought SunkenColony
[28:781] BuildAWall Bought SunkenColony
