Analyzed: Oh No It's Zombies Arctic Updated (479)

ID : 0 PlayerName: ZergWithHat Race: Zerg
ID : 1 PlayerName: cheese Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: ZehN Race: Terran
ID : 4 PlayerName: Josbud Race: Terran
ID : 5 PlayerName: Lullaby Race: Terran
ID : 6 PlayerName: Tostah Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
ZergWithHat Zombie Loss
Public Lobby

Game Length:[40:395]
Players ammount: 8
Marine rank avg: 7,333333333333333
GrandMaster ammount: 1
PURCHASES: 
[01:398] ZergWithHat Spawned MassiveCocoon
[02:838] ZergWithHat Spawned Hunter
[05:578] ZergWithHat Placed/Upgraded ToxicNest
[05:603] ZergWithHat Placed/Upgraded ToxicNest
[05:633] ZergWithHat Placed/Upgraded ToxicNest
[07:003] ZergWithHat Bought StrainDamage
[07:011] ZergWithHat Bought StrainDamage
[09:780] ZergWithHat Bought PureStrainDamage
[10:966] ZergWithHat Bought DefilerStrain
[11:540] ZergWithHat Placed/Upgraded NydusCanalCreeper
[12:786] ZergWithHat Placed/Upgraded Virophage
[12:873] ZergWithHat Placed/Upgraded LesserNydusWorm
[12:874] ZergWithHat Bought GreaterNydus
[13:303] ZergWithHat Placed/Upgraded ToxicNest
[13:407] ZergWithHat Placed/Upgraded ToxicNest
[16:705] ZergWithHat Bought SpawnNydusWorm
[16:782] ZergWithHat Placed/Upgraded GreaterNydusWorm
[18:350] ZergWithHat Bought GreaterNydus
[18:352] ZergWithHat Bought PureStrainDamage
[19:643] ZergWithHat Placed/Upgraded Virophage
[21:673] ZergWithHat Bought BuildExtractorExcavationZone
[21:673] ZergWithHat Placed/Upgraded AutomatedExtractor
[21:864] ZergWithHat Bought DefilerStrain
[22:720] ZergWithHat Bought BuildExtractorExcavationZone
[23:084] ZergWithHat Bought AdvancedInfestationGateControl
[23:748] ZergWithHat Placed/Upgraded GreaterNydusWorm
[23:848] ZergWithHat Bought BuildExtractorManufacturingSector
[23:848] ZergWithHat Placed/Upgraded AutomatedExtractor
