Analyzed: Oh No It's Zombies Arctic Updated (490)

ID : 0 PlayerName: Atalus Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: ZehN Race: Zerg
ID : 3 PlayerName: Lullaby Race: Terran
ID : 4 PlayerName: BurtMacklin Race: Terran
ID : 5 PlayerName: JMM Race: Terran
ID : 6 PlayerName: Sia Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
ZehN Zombie Loss
Public Lobby

Game Length:[32:248]
Players ammount: 8
Marine rank avg: 7,333333333333333
GrandMaster ammount: 2
PURCHASES: 
[00:588] Atalus Unlocked AssaultRifle
[00:823] Atalus Placed/Upgraded MiningDroid
[02:386] Atalus Unlocked AdvancedDroidEngines
[03:925] Atalus Unlocked TurboDroidEngines
[06:392] Atalus Unlocked SpecOpsAssaultRifle
[08:760] Atalus Unlocked TitaniumBulletCasings
[10:644] Atalus Unlocked SuperStimpack
[11:551] Atalus Placed/Upgraded MiningDroid
[12:229] Atalus Unlocked SpecOpsSuperStimpack
[20:025] Atalus Unlocked Shieldsiotunlocked
[00:588] Frosky Unlocked AssaultRifle
[00:800] Frosky Placed MiningDroid
[02:569] Frosky Unlocked AdvancedDroidEngines
[03:591] Frosky Unlocked Shotgun
[06:228] Frosky Unlocked SpecOpsShotgun
[11:524] Frosky Unlocked ExplorationDroid
[11:571] Frosky Placed ExplorationDroid
[11:583] Frosky Placed ExplorationDroid
[11:722] Frosky Placed ExplorationDroid
[14:987] Frosky Unlocked HighPrecisionBeams
[15:026] Frosky Unlocked Stimpack
[15:063] Frosky Unlocked HazmatSuit
[16:167] Frosky Unlocked BioMechanicalRepairDrone
[16:225] Frosky Placed HealingDrone
[17:654] Frosky Unlocked SuperStimpack
[20:026] Frosky Bought ShieldSuit
[20:026] Frosky Bought CombatSuit
[20:026] Frosky Bought HazmatSuit
[20:026] Frosky Bought ShieldSuit
[25:907] Frosky Placed HealingDrone
[27:062] Frosky Placed HealingDrone
[29:169] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[00:552] ZehN Bought PlayerNumber
[02:212] ZehN Bought StrainHealth
[02:892] ZehN Bought CreepSpeed
[06:059] ZehN Bought StrainSpeed
[07:190] ZehN Placed/Upgraded PrimalSunkenColony
[07:191] ZehN Bought SunkenColony
[07:801] ZehN Bought UnlockDropPods
[08:651] ZehN Placed/Upgraded NydusCanalCreeper
[12:650] ZehN Bought VirulentCreep
[12:650] ZehN Bought VirulentCreep
[13:119] ZehN Placed/Upgraded PrimalSunkenColony
[13:120] ZehN Bought SunkenColony
[13:658] ZehN Bought EvolveDropPods
[14:537] ZehN Placed/Upgraded PrimalSunkenColony
