Analyzed: Oh No It's Zombies Arctic Updated (491)

ID : 0 PlayerName: Atalus Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: Sia Race: Terran
ID : 3 PlayerName: ZehN Race: Zerg
ID : 4 PlayerName: Perry Race: Terran
ID : 5 PlayerName: SlimReighnar Race: Terran
ID : 6 PlayerName: alank Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
ZehN Zombie Loss
Public Lobby

Game Length:[32:331]
Players ammount: 8
Marine rank avg: 4,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] Atalus Unlocked AssaultRifle
[00:982] Atalus Placed/Upgraded MiningDroid
[01:075] Atalus Unlocked AdvancedDroidEngines
[08:125] Atalus Unlocked SpecOpsAssaultRifle
[08:148] Atalus Unlocked TitaniumBulletCasings
[08:830] Atalus Placed/Upgraded MiningDroid
[12:051] Atalus Unlocked TurboDroidEngines
[15:199] Atalus Unlocked MedicShield
[15:213] Atalus Unlocked EnergyPack
[15:217] Atalus Unlocked OpticalVisor
[16:342] Atalus Unlocked SuperStimpack
[16:360] Atalus Unlocked SpecOpsSuperStimpack
[17:385] Atalus Unlocked Shieldsiotunlocked
[18:794] Atalus Placed/Upgraded MiningDroid
[19:468] Atalus Unlocked AdvancedShieldSuit
[27:621] Atalus Unlocked ForceFieldGrenade
[27:633] Atalus Unlocked SpecOpsForcefieldGrenade
[27:780] Atalus Unlocked MiningCharge
[27:794] Atalus Unlocked AdvancedMiningCharge
[27:866] Atalus Unlocked Stimpack
[27:923] Atalus Unlocked AutoTurret
[27:946] Atalus Unlocked SpecOpsTurret
[27:955] Atalus Unlocked FlameTurret
[27:965] Atalus Unlocked HeavyTurret
[28:403] Atalus Placed/Upgraded AutoTurret
[28:622] Atalus Placed/Upgraded AutoTurret
[28:812] Atalus Placed/Upgraded AutoTurret
[00:588] Frosky Unlocked AssaultRifle
[00:727] Frosky Placed/Upgraded MiningDroid
[00:800] Frosky Unlocked ArcWelder
