Date: 2021.08.18  05:34:20

ID : 0 PlayerName: Semicedevine Race: Terran
ID : 1 PlayerName: eye Race: Terran
ID : 2 PlayerName: Velociraptor Race: Terran
ID : 3 PlayerName: Cruel Race: Terran
ID : 4 PlayerName: Panda Race: Zerg
ID : 5 PlayerName: WhenWolf Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Panda  Loss
Public Lobby

Game Length:[42:449]
Players ammount: 7
Marine rank avg: 0
GrandMaster ammount: 0

eye First Gun HellfireRocketLauncher
WhenWolf First Gun HellfireRocketLauncher
Frosky First Gun BeamRifle
Semicedevine First Gun HellfireRocketLauncher
Velociraptor First Gun BeamRifle
Cruel First Gun HellfireRocketLauncher

PURCHASES: 
[00:588] Semicedevine Unlocked AssaultRifle
[07:719] Semicedevine Unlocked AdvancedDroidEngines
[07:728] Semicedevine Unlocked TurboDroidEngines
[07:785] Semicedevine Placed/Upgraded MiningDroid
[07:895] Semicedevine Unlocked HellfireRocketLauncher
[07:922] Semicedevine Unlocked SpecOpsHellfireRocketLauncher
[10:899] Semicedevine Unlocked SuperStimpack
[11:019] Semicedevine Unlocked AutoTurret
[18:741] Semicedevine Placed/Upgraded MiningDroid
[19:873] Semicedevine Placed/Upgraded AutoTurret
[21:013] Semicedevine Unlocked ShockwaveMissiles
[21:845] Semicedevine Placed/Upgraded MiningDroid
[24:532] Semicedevine Unlocked MedicShield
[24:739] Semicedevine Placed/Upgraded AutoTurret
[31:906] Semicedevine Placed/Upgraded AutoTurret
[32:222] Semicedevine Placed/Upgraded AutoTurret
[00:588] eye Unlocked AssaultRifle
[00:798] eye Placed/Upgraded MiningDroid
[01:174] eye Unlocked HellfireRocketLauncher
[04:793] eye Unlocked SpecOpsHellfireRocketLauncher
[05:032] eye Unlocked RocketLauncherMod3
[06:907] eye Unlocked AdvancedDroidEngines
[07:728] eye Unlocked QuantumBackpack
[09:202] eye Unlocked CombatSuit
[09:228] eye Unlocked AdvancedCombatSuit
[15:947] eye Unlocked TurboDroidEngines
[35:901] eye Unlocked Shieldsiotunlocked
[35:920] eye Unlocked AdvancedShieldSuit
[00:588] Velociraptor Unlocked AssaultRifle
[00:667] Velociraptor Placed/Upgraded MiningDroid
[00:788] Velociraptor Unlocked AdvancedDroidEngines
[04:908] Velociraptor Unlocked TurboDroidEngines
[05:543] Velociraptor Unlocked OverloadWeapon
[08:915] Velociraptor Unlocked BeamRifle
[08:924] Velociraptor Unlocked SpecOpsPlasmaRifle
[08:943] Velociraptor Unlocked LongRangeScope
[09:203] Velociraptor Bought ShieldSuit
[09:203] Velociraptor Bought CombatSuit
[09:203] Velociraptor Bought HazmatSuit
[09:203] Velociraptor Bought CombatSuit
[09:229] Velociraptor Bought CombatSuit
[11:355] Velociraptor Unlocked EnergySuit
[11:356] Velociraptor Unlocked EnergySuit
[11:363] Velociraptor Unlocked AdvancedEnergySuit
[11:364] Velociraptor Unlocked EnergySuit
[11:364] Velociraptor Unlocked AdvancedEnergySuit
[11:901] Velociraptor Unlocked EnergyPack
[13:797] Velociraptor Unlocked Teleporter
[16:026] Velociraptor Unlocked SpecOpsTeleporter
[18:368] Velociraptor Unlocked FlashBang
[18:381] Velociraptor Unlocked SpecOpsFlashbang
[20:838] Velociraptor Placed/Upgraded MiningDroid
[28:311] Velociraptor Unlocked MiningCharge
[28:407] Velociraptor Placed/Upgraded NukePack
[35:902] Velociraptor Bought ShieldSuit
[35:902] Velociraptor Bought CombatSuit
[35:902] Velociraptor Bought HazmatSuit
[35:902] Velociraptor Bought ShieldSuit
[35:921] Velociraptor Bought ShieldSuit
[37:182] Velociraptor Placed/Upgraded NukePack
[40:694] Velociraptor Placed/Upgraded NukePack
[00:588] Cruel Unlocked AssaultRifle
[00:846] Cruel Unlocked AdvancedDroidEngines
[00:895] Cruel Placed MiningDroid
[04:296] Cruel Unlocked TurboDroidEngines
