Analyzed: Oh No It's Zombies Arctic Updated (501)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: Ascherit Race: Terran
ID : 3 PlayerName: csiz Race: Terran
ID : 4 PlayerName: ZergWithHat Race: Terran
ID : 5 PlayerName: WildMutant Race: Terran
ID : 6 PlayerName: Westy Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Loss
Private Lobby

Game Length:[38:897]
Players ammount: 8
Marine rank avg: 19
GrandMaster ammount: 6
PURCHASES: 
[00:588] Tin Unlocked AssaultRifle
[00:753] Tin Placed MiningDroid
[01:141] Tin Unlocked Shotgun
[03:221] Tin Unlocked SpecOpsShotgun
[05:698] Tin Unlocked SuperStimpack
[07:472] Tin Unlocked HazmatSuit
[08:236] Tin Unlocked AdvancedHazmatSuit
[10:025] Tin Unlocked BioMechanicalRepairDrone
[11:429] Tin Unlocked Stimpack
[12:400] Tin Unlocked MedicShield
[13:765] Tin Unlocked EnergyPack
[14:584] Tin Placed HealingDrone
[18:762] Tin Placed MiningDroid
[21:184] Tin Unlocked HighPrecisionBeams
[21:505] Tin Unlocked OpticalVisor
[23:980] Tin Placed HealingDrone
[24:469] Tin Unlocked SpecOpsSuperStimpack
[27:345] Tin Placed HealingDrone
[27:542] Tin Placed HealingDrone
[29:605] Tin Unlocked MiningCharge
[30:019] Tin Placed NukePack
[30:437] Tin Placed NukePack
[30:751] Tin Unlocked AdvancedMiningCharge
[32:363] Tin Placed HealingDrone
[37:337] Tin Placed NukePack
[00:552] Frosky Bought PlayerNumber
[00:631] Frosky Spawned MassiveCocoon
[02:071] Frosky Spawned Hunter
[03:250] Frosky Spawned MassiveCocoon
[03:824] Frosky Placed/Upgraded ToxicNest
[03:834] Frosky Placed/Upgraded ToxicNest
[03:851] Frosky Placed/Upgraded ToxicNest
[04:690] Frosky Spawned Hunter
[04:904] Frosky Placed/Upgraded ToxicNest
[04:915] Frosky Placed/Upgraded ToxicNest
[05:790] Frosky Spawned MassiveCocoon
[07:096] Frosky Bought CreepSpeed
[07:230] Frosky Spawned PrimalTownHallUprooted
[07:473] Frosky Bought ShieldSuit
[07:473] Frosky Bought CombatSuit
[07:473] Frosky Bought HazmatSuit
[07:473] Frosky Bought HazmatSuit
[08:237] Frosky Bought HazmatSuit
[11:163] Frosky Bought BuildExtractorScienceLabs
[11:163] Frosky Placed/Upgraded AutomatedExtractor
[12:030] Frosky Placed/Upgraded ToxicNest
[12:038] Frosky Placed/Upgraded ToxicNest
[12:045] Frosky Placed/Upgraded ToxicNest
[12:072] Frosky Placed/Upgraded ToxicNest
[12:093] Frosky Placed/Upgraded ToxicNest
[12:660] Frosky Bought UnlockDropPods
[14:540] Frosky Bought EvolveDropPods
[14:543] Frosky Bought EvolveDropPods
[14:546] Frosky Bought EvolveDropPods
[14:958] Frosky Bought BuildExtractorScienceLabs
[15:651] Frosky Placed/Upgraded ToxicNest
[15:658] Frosky Placed/Upgraded ToxicNest
[15:674] Frosky Placed/Upgraded ToxicNest
[16:064] Frosky Spawned MassiveCocoon
[16:550] Frosky Bought EvolveDropPods
[16:553] Frosky Bought EvolveDropPods
[16:557] Frosky Bought EvolveDropPods
[17:504] Frosky Spawned Anubalisk
[17:831] Frosky Placed/Upgraded Virophage
[18:528] Frosky Bought BuildExtractorManufacturingSector
[18:528] Frosky Placed/Upgraded AutomatedExtractor
[19:469] Frosky Bought CreepSpeed
[20:596] Frosky Spawned MassiveCocoon
[21:286] Frosky Bought BuildExtractorScienceLabs
[21:286] Frosky Placed/Upgraded AutomatedExtractor
