Analyzed: Oh No It's Zombies Arctic Updated (503)

ID : 0 PlayerName: Gafe Race: Terran
ID : 1 PlayerName: Sly Race: Terran
ID : 2 PlayerName: Pang Race: Terran
ID : 3 PlayerName: Marth Race: Terran
ID : 4 PlayerName: Expander Race: Terran
ID : 5 PlayerName: Ppoint Race: Terran
ID : 6 PlayerName: Frosky Race: Zerg
ID : 7 PlayerName: Security Race: Protoss
Frosky Zombie Win
Public Lobby

Game Length:[29:855]
Players ammount: 8
Marine rank avg: 10
GrandMaster ammount: 1
PURCHASES: 
[00:588] Gafe Unlocked AssaultRifle
[01:028] Gafe Placed/Upgraded MiningDroid
[01:226] Gafe Unlocked Shotgun
[04:171] Gafe Unlocked Stimpack
[06:979] Gafe Unlocked AdvancedDroidEngines
[08:628] Gafe Unlocked SpecOpsShotgun
[09:700] Gafe Unlocked Shieldsiotunlocked
[12:328] Gafe Unlocked SuperStimpack
[14:122] Gafe Unlocked IncendiaryBullets
[00:588] Sly Unlocked AssaultRifle
[00:705] Sly Placed/Upgraded MiningDroid
[00:747] Sly Unlocked AdvancedDroidEngines
[04:001] Sly Unlocked TurboDroidEngines
[06:684] Sly Unlocked SpecOpsAssaultRifle
[09:701] Sly Bought ShieldSuit
[09:701] Sly Bought CombatSuit
[09:701] Sly Bought HazmatSuit
[09:701] Sly Bought ShieldSuit
[09:755] Sly Unlocked CombatSuit
[09:772] Sly Unlocked AdvancedCombatSuit
[10:726] Sly Unlocked OverloadWeapon
[11:823] Sly Unlocked TitaniumBulletCasings
[13:277] Sly Unlocked ExplorationDroid
[13:281] Sly Unlocked AdvancedExplorationDroid
[18:138] Sly Unlocked SuperStimpack
[18:237] Sly Placed/Upgraded ExplorationDroid
[00:588] Pang Unlocked AssaultRifle
[00:892] Pang Unlocked Stimpack
[01:380] Pang Placed/Upgraded MiningDroid
[04:265] Pang Unlocked AdvancedDroidEngines
[06:494] Pang Unlocked SpecOpsAssaultRifle
[09:012] Pang Unlocked CombatSuit
[09:054] Pang Unlocked AdvancedCombatSuit
[09:756] Pang Bought ShieldSuit
[09:756] Pang Bought CombatSuit
[09:756] Pang Bought HazmatSuit
[09:756] Pang Bought CombatSuit
[09:773] Pang Bought CombatSuit
[10:778] Pang Unlocked AutoTargetingSystem
[10:911] Pang Unlocked FlashBang
[13:395] Pang Unlocked TurboDroidEngines
[18:635] Pang Unlocked MedicShield
[18:646] Pang Unlocked AIAssistant
[19:235] Pang Placed/Upgraded MiningDroid
[00:588] Marth Unlocked AssaultRifle
[00:707] Marth Placed/Upgraded MiningDroid
[00:777] Marth Unlocked FragGrenade
[03:053] Marth Unlocked AdvancedDroidEngines
[06:270] Marth Unlocked HellfireRocketLauncher
[06:322] Marth Unlocked SpecOpsHellfireRocketLauncher
