Analyzed: Oh No It's Zombies Arctic Updated (506)

ID : 0 PlayerName: DLonRa Race: Terran
ID : 1 PlayerName: surpuffarlot Race: Terran
ID : 2 PlayerName: FirceShadow Race: Terran
ID : 3 PlayerName: Chickenkub Race: Terran
ID : 4 PlayerName: Sly Race: Zerg
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: AICOB Race: Terran
ID : 7 PlayerName: Security Race: Terran
Sly Zombie Win
Public Lobby

Game Length:[10:342]
Players ammount: 8
Marine rank avg: 3,6666666666666665
GrandMaster ammount: 1
PURCHASES: 
[00:588] DLonRa Unlocked AssaultRifle
[07:497] DLonRa Placed/Upgraded MiningDroid
[00:588] surpuffarlot Unlocked AssaultRifle
[00:739] surpuffarlot Placed/Upgraded MiningDroid
[01:987] surpuffarlot Unlocked AdvancedDroidEngines
[03:726] surpuffarlot Unlocked TurboDroidEngines
[06:157] surpuffarlot Unlocked SpecOpsAssaultRifle
[08:799] surpuffarlot Unlocked TitaniumBulletCasings
[00:588] FirceShadow Unlocked AssaultRifle
[00:770] FirceShadow Placed/Upgraded MiningDroid
[02:609] FirceShadow Unlocked AdvancedDroidEngines
[04:796] FirceShadow Unlocked TurboDroidEngines
[07:076] FirceShadow Unlocked OverloadWeapon
[07:973] FirceShadow Unlocked BeamRifle
[00:588] Chickenkub Unlocked AssaultRifle
[00:778] Chickenkub Placed MiningDroid
[02:120] Chickenkub Unlocked SpecOpsAssaultRifle
[03:362] Chickenkub Unlocked FragGrenade
[04:722] Chickenkub Unlocked CombatSuit
[00:552] Sly Bought PlayerNumber
[00:848] Sly Bought StrainHealth
[02:670] Sly Spawned MassiveCocoon
[03:275] Sly Bought StrainVolatile
[04:110] Sly Spawned Hunter
[04:369] Sly Bought UnlockDropPods
[04:723] Sly Bought ShieldSuit
[04:723] Sly Bought CombatSuit
[04:723] Sly Bought HazmatSuit
[04:723] Sly Bought CombatSuit
[05:322] Sly Placed/Upgraded ToxicNest
[05:518] Sly Placed/Upgraded ToxicNest
[05:703] Sly Placed/Upgraded ToxicNest
[05:920] Sly Bought EvolveDropPods
[05:924] Sly Bought EvolveDropPods
[06:274] Sly Bought EvolveDropPods
[06:698] Sly Placed/Upgraded ToxicNest
[06:734] Sly Placed/Upgraded ToxicNest
[07:018] Sly Bought EvolveDropPods
[07:021] Sly Bought EvolveDropPods
[07:468] Sly Placed/Upgraded ToxicNest
[07:793] Sly Placed/Upgraded ToxicNest
[08:030] Sly Bought CreepSpeed
[08:257] Sly Placed/Upgraded ToxicNest
[08:468] Sly Placed/Upgraded ToxicNest
[00:588] Frosky Unlocked AssaultRifle
[00:672] Frosky Placed/Upgraded MiningDroid
[00:745] Frosky Unlocked Shotgun
[03:244] Frosky Unlocked AdvancedDroidEngines
[00:588] AICOB Unlocked AssaultRifle
[00:888] AICOB Unlocked AdvancedDroidEngines
[04:011] AICOB Unlocked TurboDroidEngines
[05:111] AICOB Unlocked ArcWelder
[07:420] AICOB Unlocked BioMechanicalRepairDrone
[07:480] AICOB Unlocked CombatAccelerationDrone
Sly First Alpha Hunter |  Win

Sly Placed 0 Greaters.
--------------------------------
