Analyzed: Oh No It's Zombies Arctic Updated (507)

ID : 0 PlayerName: JMM Race: Terran
ID : 1 PlayerName: Prinz Race: Terran
ID : 2 PlayerName: AilyChan Race: Terran
ID : 3 PlayerName: sov Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: Tin Race: Zerg
ID : 6 PlayerName: Salem Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Tin Zombie Win
Public Lobby

Game Length:[43:108]
Players ammount: 8
Marine rank avg: 4,833333333333333
GrandMaster ammount: 3
PURCHASES: 
[00:588] JMM Unlocked AssaultRifle
[00:758] JMM Placed/Upgraded MiningDroid
[01:489] JMM Unlocked Stimpack
[03:529] JMM Unlocked HellfireRocketLauncher
[06:094] JMM Unlocked SpecOpsHellfireRocketLauncher
[07:485] JMM Unlocked ShockwaveMissiles
[12:029] JMM Unlocked HazmatSuit
[12:036] JMM Unlocked AdvancedHazmatSuit
[14:066] JMM Unlocked SuperStimpack
[14:116] JMM Unlocked BioMechanicalRepairDrone
[16:798] JMM Unlocked SpecOpsSuperStimpack
[17:968] JMM Unlocked EnergyPack
[21:491] JMM Placed/Upgraded HealingDrone
[22:088] JMM Unlocked FlashBang
[22:127] JMM Unlocked ExplorationDroid
[22:147] JMM Placed/Upgraded ExplorationDroid
[22:212] JMM Placed/Upgraded ExplorationDroid
[22:353] JMM Placed/Upgraded ExplorationDroid
[24:293] JMM Placed/Upgraded HealingDrone
[25:433] JMM Unlocked SpecOpsFlashbang
[25:476] JMM Unlocked CombatShield
[25:492] JMM Unlocked OpticalVisor
[25:569] JMM Unlocked AdvancedExplorationDroid
[27:833] JMM Unlocked MiningCharge
[28:511] JMM Placed/Upgraded HealingDrone
[29:245] JMM Placed/Upgraded HealingDrone
[35:021] JMM Placed/Upgraded HealingDrone
[36:271] JMM Placed/Upgraded HealingDrone
[37:765] JMM Placed/Upgraded HealingDrone
[40:087] JMM Placed/Upgraded HealingDrone
[41:000] JMM Placed/Upgraded HealingDrone
[42:201] JMM Placed/Upgraded HealingDrone
[00:588] Prinz Unlocked AssaultRifle
[00:757] Prinz Placed/Upgraded MiningDroid
[01:091] Prinz Unlocked IncendiaryGrenade
[01:170] Prinz Unlocked SpecOpsIncendiaryGrenade
[04:999] Prinz Unlocked SpecOpsAssaultRifle
[07:547] Prinz Unlocked AutoTargetingSystem
[10:457] Prinz Unlocked AutoTurret
[10:487] Prinz Unlocked FlameTurret
[11:355] Prinz Placed/Upgraded AutoTurret
[12:030] Prinz Bought ShieldSuit
[12:030] Prinz Bought CombatSuit
[12:030] Prinz Bought HazmatSuit
[12:030] Prinz Bought HazmatSuit
[12:037] Prinz Bought HazmatSuit
[13:602] Prinz Unlocked Shieldsiotunlocked
[18:365] Prinz Placed/Upgraded AutoTurret
[19:272] Prinz Placed/Upgraded AutoTurret
[24:514] Prinz Placed/Upgraded AutoTurret
[27:733] Prinz Placed/Upgraded AutoTurret
[28:245] Prinz Placed/Upgraded AutoTurret
[28:794] Prinz Placed/Upgraded AutoTurret
[31:764] Prinz Placed/Upgraded AutoTurret
[32:742] Prinz Placed/Upgraded AutoTurret
[33:104] Prinz Placed/Upgraded AutoTurret
[33:370] Prinz Placed/Upgraded AutoTurret
[37:146] Prinz Placed/Upgraded AutoTurret
[38:103] Prinz Unlocked AdvancedShieldSuit
[40:801] Prinz Placed/Upgraded AutoTurret
[00:588] AilyChan Unlocked AssaultRifle
[00:981] AilyChan Unlocked Flamethrower
[13:603] AilyChan Bought ShieldSuit
[13:603] AilyChan Bought CombatSuit
[13:603] AilyChan Bought HazmatSuit
[13:603] AilyChan Bought ShieldSuit
[38:104] AilyChan Bought ShieldSuit
[00:588] sov Unlocked AssaultRifle
[01:053] sov Placed/Upgraded MiningDroid
[05:144] sov Unlocked Flamethrower
[07:164] sov Unlocked IncendiaryGrenade
[07:798] sov Unlocked ExplorationDroid
[07:928] sov Placed/Upgraded ExplorationDroid
[08:816] sov Placed/Upgraded ExplorationDroid
[09:011] sov Placed/Upgraded ExplorationDroid
[13:682] sov Placed/Upgraded MiningDroid
[16:809] sov Unlocked SpecOpsFlamethrower
[17:646] sov Unlocked AutoTurret
[19:130] sov Unlocked FlameTurret
[21:774] sov Placed/Upgraded AutoTurret
[22:091] sov Placed/Upgraded AutoTurret
[22:332] sov Placed/Upgraded AutoTurret
[25:707] sov Unlocked CombatShield
[25:743] sov Unlocked MedicShield
[26:172] sov Placed/Upgraded AutoTurret
[26:430] sov Placed/Upgraded AutoTurret
[26:732] sov Placed/Upgraded AutoTurret
[30:109] sov Placed/Upgraded AutoTurret
[30:506] sov Placed/Upgraded MiningDroid
[41:201] sov Placed/Upgraded AutoTurret
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed MiningDroid
[00:865] Frosky Unlocked Shotgun
[03:071] Frosky Unlocked AdvancedDroidEngines
[04:776] Frosky Unlocked ExplorationDroid
[04:814] Frosky Placed ExplorationDroid
[05:147] Frosky Placed ExplorationDroid
[05:389] Frosky Placed ExplorationDroid
[12:055] Frosky Unlocked SpecOpsShotgun
[17:977] Frosky Placed MiningDroid
[24:349] Frosky Placed MiningDroid
[25:957] Frosky Unlocked HighPrecisionBeams
[28:954] Frosky Unlocked Stimpack
[31:276] Frosky Unlocked HazmatSuit
[31:342] Frosky Unlocked MedicShield
[39:813] Frosky Unlocked BioMechanicalRepairDrone
[40:445] Frosky Placed HealingDrone
[41:767] Frosky Placed HealingDrone
[00:552] Tin Bought PlayerNumber
[01:026] Tin Spawned MassiveCocoon
[01:273] Tin Placed/Upgraded PrimalSunkenColony
[01:274] Tin Bought SunkenColony
[02:466] Tin Spawned Hunter
[05:368] Tin Spawned MassiveCocoon
[05:400] Tin Bought SunkenColony
[05:872] Tin Bought VirulentCreep
