Analyzed: Oh No It's Zombies Arctic Updated (508)

ID : 0 PlayerName: JMM Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: Tin Race: Terran
ID : 3 PlayerName: Cuthulhu Race: Terran
ID : 4 PlayerName: Salem Race: Terran
ID : 5 PlayerName: Wally Race: Terran
ID : 6 PlayerName: meTT Race: Terran
ID : 7 PlayerName: Security Race: Terran
Frosky Zombie Loss
Public Lobby

Game Length:[35:920]
Players ammount: 8
Marine rank avg: 5
GrandMaster ammount: 3
PURCHASES: 
[00:588] JMM Unlocked AssaultRifle
[01:720] JMM Placed MiningDroid
[02:883] JMM Unlocked Stimpack
[06:078] JMM Unlocked Flamethrower
[06:088] JMM Unlocked SpecOpsFlamethrower
[06:124] JMM Unlocked BioMechanicalRepairDrone
[06:290] JMM Placed HealingDrone
[06:600] JMM Placed HealingDrone
[08:953] JMM Unlocked ExplorationDroid
[09:006] JMM Placed ExplorationDroid
[09:015] JMM Placed ExplorationDroid
[09:085] JMM Placed ExplorationDroid
[09:123] JMM Unlocked AdvancedExplorationDroid
[09:169] JMM Unlocked HazmatSuit
[09:422] JMM Placed HealingDrone
[10:598] JMM Placed ExplorationDroid
[11:143] JMM Placed HealingDrone
[11:783] JMM Placed HealingDrone
[12:921] JMM Unlocked AdvancedHazmatSuit
[12:957] JMM Unlocked FlashBang
[12:968] JMM Unlocked SpecOpsFlashbang
[13:025] JMM Unlocked ThermiteFilaments
[13:091] JMM Unlocked CombatShield
[13:160] JMM Unlocked EnergyPack
[14:478] JMM Placed HealingDrone
[15:815] JMM Unlocked Teleporter
[16:538] JMM Placed HealingDrone
[16:635] JMM Unlocked SpecOpsBioMechanicalRepairDrone
[21:349] JMM Placed MiningDroid
[21:426] JMM Placed ExplorationDroid
[22:356] JMM Unlocked Shieldsiotunlocked
[22:367] JMM Unlocked AdvancedShieldSuit
[22:562] JMM Placed HealingDrone
[22:942] JMM Placed HealingDrone
[23:202] JMM Placed HealingDrone
[24:588] JMM Unlocked AutoTurret
[24:611] JMM Unlocked FlameTurret
[24:794] JMM Placed AutoTurret
[25:085] JMM Placed AutoTurret
[25:267] JMM Placed HealingDrone
[25:728] JMM Placed HealingDrone
[26:004] JMM Placed HealingDrone
[26:245] JMM Placed AutoTurret
[26:896] JMM Unlocked SpecOpsTeleporter
[29:420] JMM Unlocked OpticalVisor
[30:654] JMM Placed AutoTurret
[30:843] JMM Placed AutoTurret
[31:037] JMM Placed AutoTurret
[31:228] JMM Unlocked HeavyTurret
[31:392] JMM Placed AutoTurret
[31:972] JMM Placed AutoTurret
[32:206] JMM Placed AutoTurret
[32:658] JMM Placed HealingDrone
[32:896] JMM Placed HealingDrone
[33:113] JMM Placed HealingDrone
[33:550] JMM Placed HealingDrone
[35:240] JMM Placed HealingDrone
[35:485] JMM Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[00:625] Frosky Spawned MassiveCocoon
[02:065] Frosky Spawned Hunter
[03:209] Frosky Spawned MassiveCocoon
[04:649] Frosky Spawned Hunter
[04:887] Frosky Spawned MassiveCocoon
[06:349] Frosky Spawned MassiveCocoon
[07:366] Frosky Bought CreepSpeed
[07:789] Frosky Spawned Hunter
[09:012] Frosky Spawned MassiveCocoon
[09:170] Frosky Bought ShieldSuit
[09:170] Frosky Bought CombatSuit
[09:170] Frosky Bought HazmatSuit
[09:170] Frosky Bought HazmatSuit
[09:936] Frosky Bought StrainSpeed
[10:182] Frosky Bought PureStrainSpeed
[10:452] Frosky Spawned PrimalTownHallUprooted
[12:090] Frosky Bought HunterlingStrain
[12:922] Frosky Bought HazmatSuit
[13:704] Frosky Bought StrainSpeed
[14:728] Frosky Bought PureStrainSpeed
