Analyzed: Oh No It's Zombies Arctic Updated (510)

ID : 0 PlayerName: gumball Race: Terran
ID : 1 PlayerName: DaNuSkA Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: SKYTOSS Race: Terran
ID : 4 PlayerName: Yello Race: Terran
ID : 5 PlayerName: meTT Race: Terran
ID : 6 PlayerName: Kira Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Frosky Zombie Loss
Public Lobby

Game Length:[31:541]
Players ammount: 8
Marine rank avg: 8,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] gumball Unlocked AssaultRifle
[00:853] gumball Unlocked Shotgun
[01:898] gumball Placed/Upgraded MiningDroid
[04:778] gumball Unlocked SpecOpsShotgun
[05:040] gumball Unlocked MedicShield
[10:227] gumball Placed/Upgraded MiningDroid
[12:826] gumball Unlocked Stimpack
[23:343] gumball Placed/Upgraded MiningDroid
[25:651] gumball Unlocked Shieldsiotunlocked
[28:525] gumball Unlocked AdvancedShieldSuit
[28:855] gumball Unlocked CloakingDevice
[00:588] DaNuSkA Unlocked AssaultRifle
[01:450] DaNuSkA Placed MiningDroid
[01:816] DaNuSkA Unlocked Stimpack
[03:538] DaNuSkA Unlocked Shotgun
[06:582] DaNuSkA Unlocked SpecOpsShotgun
[07:957] DaNuSkA Unlocked SuperStimpack
[09:254] DaNuSkA Unlocked MotionSensor
[09:646] DaNuSkA Placed SensorTower
[12:730] DaNuSkA Placed SensorTower
[13:035] DaNuSkA Unlocked Shieldsiotunlocked
[13:137] DaNuSkA Unlocked QuantumBackpack
[17:339] DaNuSkA Unlocked BioMechanicalRepairDrone
[17:408] DaNuSkA Placed HealingDrone
[17:734] DaNuSkA Placed HealingDrone
[19:628] DaNuSkA Unlocked HighPrecisionBeams
[19:687] DaNuSkA Unlocked AdvancedShieldSuit
[19:983] DaNuSkA Placed HealingDrone
[20:707] DaNuSkA Placed HealingDrone
[22:697] DaNuSkA Unlocked SpecOpsSuperStimpack
[22:897] DaNuSkA Placed HealingDrone
[23:428] DaNuSkA Placed HealingDrone
[23:807] DaNuSkA Placed HealingDrone
[24:192] DaNuSkA Placed SensorTower
[25:153] DaNuSkA Placed SensorTower
[25:292] DaNuSkA Unlocked AutoTurret
[25:438] DaNuSkA Unlocked SpecOpsTurret
[25:577] DaNuSkA Unlocked RechargeDrone
[25:652] DaNuSkA Bought ShieldSuit
[25:652] DaNuSkA Bought CombatSuit
