Analyzed: Oh No It's Zombies Arctic Updated (511)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: DaNuSkA Race: Terran
ID : 2 PlayerName: SKYTOSS Race: Terran
ID : 3 PlayerName: meTT Race: Terran
ID : 4 PlayerName: Yello Race: Terran
ID : 5 PlayerName: PeterParkerP Race: Terran
ID : 6 PlayerName: TheSandman Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Frosky Zombie Loss
Public Lobby

Game Length:[33:830]
Players ammount: 8
Marine rank avg: 10
GrandMaster ammount: 2
PURCHASES: 
[01:373] Frosky Spawned MassiveCocoon
[02:813] Frosky Spawned Hunter
[03:442] Frosky Spawned MassiveCocoon
[04:882] Frosky Spawned Hunter
[05:699] Frosky Spawned MassiveCocoon
[07:595] Frosky Bought StrainSpeed
[09:557] Frosky Bought CreepSpeed
[10:791] Frosky Placed/Upgraded ToxicNest
[10:791] Frosky Placed/Upgraded ToxicNest
[10:816] Frosky Placed/Upgraded ToxicNest
[11:079] Frosky Bought PureStrainSpeed
[11:116] Frosky Bought HunterlingStrain
[11:839] Frosky Bought StrainSpeed
[13:386] Frosky Bought UnlockDropPods
[13:390] Frosky Bought EvolveDropPods
[13:449] Frosky Bought EvolveDropPods
[15:708] Frosky Bought PureStrainSpeed
[15:954] Frosky Bought SunkenColony
[15:954] Frosky Placed/Upgraded PrimalSunkenColony
[16:901] Frosky Bought SunkenColony
[17:202] Frosky Placed/Upgraded PrimalSunkenColony
[17:203] Frosky Bought SunkenColony
[17:221] Frosky Bought SunkenColony
[17:635] Frosky Bought EvolveDropPods
[17:735] Frosky Bought SunkenColony
[17:735] Frosky Placed/Upgraded PrimalSunkenColony
[18:006] Frosky Bought SunkenColony
[19:049] Frosky Bought HunterlingStrain
[19:420] Frosky Bought EvolveDropPods
[20:043] Frosky Placed/Upgraded Virophage
[21:394] Frosky Bought VirulentCreep
[22:597] Frosky Bought StrainVolatile
[25:388] Frosky Bought DropshipsFueled
[25:470] Frosky Bought SweepingInfestation
[25:470] Frosky Bought UltimateInfestationResearched
[25:745] Frosky Bought PureStrainVolatile
[25:758] Frosky Bought KaboomerStrain
[27:962] Frosky Placed/Upgraded NydusCanalCreeper
[28:203] Frosky Spawned MassiveCocoon
[29:283] Frosky Spawned Underseer
[31:610] Frosky Placed/Upgraded NydusCanalCreeper
[32:027] Frosky Bought SpawnNydusWorm
[32:047] Frosky Placed/Upgraded GreaterNydusWorm
[00:588] DaNuSkA Unlocked AssaultRifle
[00:667] DaNuSkA Placed/Upgraded MiningDroid
[01:034] DaNuSkA Unlocked AutoTurret
[01:049] DaNuSkA Unlocked BioMechanicalRepairDrone
[02:514] DaNuSkA Placed/Upgraded HealingDrone
[04:711] DaNuSkA Placed/Upgraded HealingDrone
[04:957] DaNuSkA Unlocked Shotgun
[07:806] DaNuSkA Unlocked Stimpack
[08:586] DaNuSkA Placed/Upgraded HealingDrone
[12:944] DaNuSkA Placed/Upgraded MiningDroid
[13:217] DaNuSkA Placed/Upgraded HealingDrone
[14:508] DaNuSkA Placed/Upgraded HealingDrone
[15:561] DaNuSkA Placed/Upgraded HealingDrone
[17:113] DaNuSkA Unlocked SpecOpsShotgun
[18:069] DaNuSkA Placed/Upgraded AutoTurret
[18:334] DaNuSkA Unlocked RechargeDrone
[19:493] DaNuSkA Placed/Upgraded HealingDrone
[19:693] DaNuSkA Placed/Upgraded HealingDrone
[21:157] DaNuSkA Unlocked HighPrecisionBeams
[21:873] DaNuSkA Unlocked CombatAccelerationDrone
[23:569] DaNuSkA Placed/Upgraded HealingDrone
[23:899] DaNuSkA Placed/Upgraded AutoTurret
[25:600] DaNuSkA Placed/Upgraded AutoTurret
[25:803] DaNuSkA Placed/Upgraded AutoTurret
[28:247] DaNuSkA Unlocked SuperStimpack
[30:375] DaNuSkA Unlocked SpecOpsBioMechanicalRepairDrone
[31:259] DaNuSkA Placed/Upgraded MiningDroid
[32:340] DaNuSkA Placed/Upgraded HealingDrone
[33:045] DaNuSkA Placed/Upgraded HealingDrone
[00:588] SKYTOSS Unlocked AssaultRifle
[00:673] SKYTOSS Placed/Upgraded MiningDroid
[00:801] SKYTOSS Unlocked Stimpack
[03:520] SKYTOSS Unlocked Flamethrower
[05:259] SKYTOSS Unlocked SpecOpsFlamethrower
[08:010] SKYTOSS Unlocked Teleporter
[08:196] SKYTOSS Unlocked MedicShield
[09:052] SKYTOSS Unlocked CryoFreeze
[13:958] SKYTOSS Unlocked CombatSuit
[13:959] SKYTOSS Unlocked ShieldSuit
[13:959] SKYTOSS Unlocked AdvancedShieldSuit
[13:959] SKYTOSS Unlocked CombatSuit
[13:959] SKYTOSS Unlocked AdvancedCombatSuit
[13:959] SKYTOSS Unlocked HazmatSuit
[13:959] SKYTOSS Unlocked AdvancedHazmatSuit
[13:959] SKYTOSS Unlocked CombatSuit
[17:197] SKYTOSS Unlocked AutoTurret
[23:609] SKYTOSS Placed/Upgraded AutoTurret
[23:806] SKYTOSS Placed/Upgraded AutoTurret
[23:995] SKYTOSS Unlocked BioMechanicalRepairDrone
[24:129] SKYTOSS Placed/Upgraded HealingDrone
[24:671] SKYTOSS Placed/Upgraded HealingDrone
[25:805] SKYTOSS Placed/Upgraded HealingDrone
[27:116] SKYTOSS Placed/Upgraded HealingDrone
[27:398] SKYTOSS Placed/Upgraded HealingDrone
[27:598] SKYTOSS Placed/Upgraded HealingDrone
[28:129] SKYTOSS Unlocked SpecOpsTurret
[28:293] SKYTOSS Placed/Upgraded AutoTurret
[28:560] SKYTOSS Placed/Upgraded AutoTurret
[30:357] SKYTOSS Placed/Upgraded AutoTurret
[30:871] SKYTOSS Placed/Upgraded HealingDrone
[00:588] meTT Unlocked AssaultRifle
[00:702] meTT Placed/Upgraded MiningDroid
[00:721] meTT Unlocked AdvancedDroidEngines
[03:972] meTT Unlocked TurboDroidEngines
[06:137] meTT Unlocked Stimpack
[06:763] meTT Placed/Upgraded MiningDroid
[08:400] meTT Unlocked HellfireRocketLauncher
[11:370] meTT Placed/Upgraded MiningDroid
[13:192] meTT Unlocked SpecOpsHellfireRocketLauncher
[15:050] meTT Unlocked ShockwaveMissiles
[19:382] meTT Unlocked IncendiaryGrenade
[19:389] meTT Unlocked SpecOpsIncendiaryGrenade
[19:432] meTT Unlocked EnergyPack
[19:438] meTT Unlocked AIAssistant
[19:501] meTT Unlocked CombatSuit
[19:502] meTT Unlocked ShieldSuit
[19:502] meTT Unlocked AdvancedShieldSuit
[19:502] meTT Unlocked CombatSuit
[19:502] meTT Unlocked AdvancedCombatSuit
[19:502] meTT Unlocked HazmatSuit
[19:502] meTT Unlocked AdvancedHazmatSuit
[19:502] meTT Unlocked CombatSuit
[20:788] meTT Unlocked Shieldsiotunlocked
[20:789] meTT Unlocked ShieldSuit
[20:789] meTT Unlocked AdvancedShieldSuit
[20:789] meTT Unlocked CombatSuit
[20:789] meTT Unlocked AdvancedCombatSuit
[20:789] meTT Unlocked HazmatSuit
[20:789] meTT Unlocked AdvancedHazmatSuit
[20:789] meTT Unlocked ShieldSuit
[20:825] meTT Unlocked ShieldSuit
[20:825] meTT Unlocked AdvancedShieldSuit
[20:825] meTT Unlocked CombatSuit
[20:825] meTT Unlocked AdvancedCombatSuit
[20:825] meTT Unlocked HazmatSuit
[20:825] meTT Unlocked AdvancedHazmatSuit
[20:825] meTT Unlocked CombatSuit
[21:309] meTT Unlocked AdvancedCombatSuit
[21:310] meTT Unlocked CombatSuit
[21:310] meTT Unlocked AdvancedCombatSuit
[22:246] meTT Unlocked CombatShield
[24:434] meTT Unlocked BioMechanicalRepairDrone
[24:971] meTT Placed/Upgraded HealingDrone
[27:486] meTT Unlocked PowerConverter
[27:499] meTT Unlocked SpecOpsPowerConverter
[30:470] meTT Placed/Upgraded HealingDrone
[31:584] meTT Placed/Upgraded HealingDrone
[00:588] Yello Unlocked AssaultRifle
[00:676] Yello Placed/Upgraded MiningDroid
[00:718] Yello Unlocked AdvancedDroidEngines
[04:486] Yello Unlocked Shotgun
[04:534] Yello Unlocked SuperStimpack
[05:176] Yello Placed/Upgraded MiningDroid
[07:784] Yello Unlocked BioMechanicalRepairDrone
[09:586] Yello Unlocked TurboDroidEngines
[16:596] Yello Unlocked SpecOpsShotgun
[16:632] Yello Unlocked Stimpack
[16:697] Yello Unlocked CombatShield
[16:799] Yello Unlocked Shieldsiotunlocked
[16:800] Yello Unlocked ShieldSuit
[16:800] Yello Unlocked AdvancedShieldSuit
[16:800] Yello Unlocked CombatSuit
[16:800] Yello Unlocked AdvancedCombatSuit
[16:800] Yello Unlocked HazmatSuit
[16:800] Yello Unlocked AdvancedHazmatSuit
[16:800] Yello Unlocked ShieldSuit
[16:818] Yello Unlocked AdvancedShieldSuit
[16:819] Yello Unlocked ShieldSuit
[16:819] Yello Unlocked AdvancedShieldSuit
[18:452] Yello Placed/Upgraded HealingDrone
[18:835] Yello Placed/Upgraded HealingDrone
[19:436] Yello Unlocked MiningCharge
[19:447] Yello Unlocked AdvancedMiningCharge
[19:495] Yello Unlocked ExplorationDroid
[19:520] Yello Placed/Upgraded ExplorationDroid
[19:697] Yello Placed/Upgraded ExplorationDroid
[20:972] Yello Unlocked AIAssistant
[21:041] Yello Unlocked EnergyPack
[23:752] Yello Unlocked SpecOpsSuperStimpack
[27:132] Yello Unlocked SpecOpsBioMechanicalRepairDrone
[27:625] Yello Placed/Upgraded HealingDrone
[27:804] Yello Unlocked PsiDisrupter
[27:853] Yello Placed/Upgraded PsiIndoctrinator
[28:115] Yello Placed/Upgraded PsiIndoctrinator
[28:244] Yello Unlocked PsiDepressor
[29:141] Yello Placed/Upgraded PsiIndoctrinator
[29:705] Yello Placed/Upgraded PsiIndoctrinator
[30:307] Yello Placed/Upgraded HealingDrone
[31:308] Yello Placed/Upgraded HealingDrone
[00:588] PeterParkerP Unlocked AssaultRifle
[00:967] PeterParkerP Placed/Upgraded MiningDroid
[01:052] PeterParkerP Unlocked HellfireRocketLauncher
[03:997] PeterParkerP Unlocked MotionSensor
[04:567] PeterParkerP Placed/Upgraded SensorTower
[04:881] PeterParkerP Unlocked AdvancedDroidEngines
[05:885] PeterParkerP Placed/Upgraded SensorTower
[08:050] PeterParkerP Unlocked SpecOpsHellfireRocketLauncher
[09:022] PeterParkerP Unlocked ShockwaveMissiles
[11:237] PeterParkerP Placed/Upgraded SensorTower
[11:853] PeterParkerP Unlocked Stimpack
[14:963] PeterParkerP Unlocked BioMechanicalRepairDrone
[14:984] PeterParkerP Unlocked SpecOpsBioMechanicalRepairDrone
[15:031] PeterParkerP Placed/Upgraded HealingDrone
[16:347] PeterParkerP Placed/Upgraded HealingDrone
[16:668] PeterParkerP Placed/Upgraded HealingDrone
[17:427] PeterParkerP Unlocked TurboDroidEngines
[19:736] PeterParkerP Unlocked CombatSuit
[19:737] PeterParkerP Unlocked ShieldSuit
[19:737] PeterParkerP Unlocked AdvancedShieldSuit
[19:737] PeterParkerP Unlocked CombatSuit
[19:737] PeterParkerP Unlocked AdvancedCombatSuit
[19:737] PeterParkerP Unlocked HazmatSuit
