Analyzed: Oh No It's Zombies Arctic Updated (514)

ID : 0 PlayerName: Salem Race: Terran
ID : 1 PlayerName: Atalus Race: Terran
ID : 2 PlayerName: meTT Race: Terran
ID : 3 PlayerName: Frosky Race: Zerg
ID : 4 PlayerName: Zepherd Race: Terran
ID : 5 PlayerName: Sojourne Race: Terran
ID : 6 PlayerName: NipsPerKing Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Loss
Public Lobby

Game Length:[34:768]
Players ammount: 8
Marine rank avg: 13,166666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:588] Salem Unlocked AssaultRifle
[00:791] Salem Placed/Upgraded MiningDroid
[00:931] Salem Unlocked BeamRifle
[03:368] Salem Unlocked Stimpack
[06:248] Salem Unlocked SpecOpsPlasmaRifle
[07:211] Salem Unlocked LongRangeScope
[09:866] Salem Unlocked ForceFieldGrenade
[09:870] Salem Unlocked SpecOpsForcefieldGrenade
[11:809] Salem Unlocked BioMechanicalRepairDrone
[12:383] Salem Unlocked CorrosivePlasma
[13:461] Salem Unlocked MedicShield
[14:167] Salem Unlocked AdvancedDroidEngines
[14:680] Salem Placed/Upgraded HealingDrone
[16:296] Salem Unlocked EnergySuit
[16:297] Salem Unlocked EnergySuit
[16:301] Salem Unlocked AdvancedEnergySuit
[16:302] Salem Unlocked EnergySuit
[16:302] Salem Unlocked AdvancedEnergySuit
[16:738] Salem Placed/Upgraded HealingDrone
[17:962] Salem Unlocked MiningCharge
[17:971] Salem Unlocked AdvancedMiningCharge
[19:863] Salem Placed/Upgraded HealingDrone
[21:125] Salem Placed/Upgraded NukePack
[21:396] Salem Placed/Upgraded HealingDrone
[21:583] Salem Placed/Upgraded HealingDrone
[22:099] Salem Placed/Upgraded HealingDrone
[22:763] Salem Placed/Upgraded NukePack
[23:098] Salem Placed/Upgraded NukePack
[24:921] Salem Placed/Upgraded HealingDrone
[25:902] Salem Unlocked Teleporter
[27:380] Salem Placed/Upgraded NukePack
[28:532] Salem Placed/Upgraded NukePack
[30:211] Salem Placed/Upgraded HealingDrone
[30:856] Salem Placed/Upgraded HealingDrone
[32:145] Salem Placed/Upgraded HealingDrone
[32:536] Salem Placed/Upgraded NukePack
[33:768] Salem Placed/Upgraded HealingDrone
[34:500] Salem Placed/Upgraded HealingDrone
[00:588] Atalus Unlocked AssaultRifle
[01:673] Atalus Placed/Upgraded MiningDroid
[02:038] Atalus Unlocked AdvancedDroidEngines
[07:829] Atalus Unlocked Flamethrower
[09:021] Atalus Unlocked TurboDroidEngines
[10:722] Atalus Unlocked SpecOpsFlamethrower
[11:574] Atalus Unlocked BioMechanicalRepairDrone
[11:917] Atalus Placed/Upgraded HealingDrone
[16:297] Atalus Bought ShieldSuit
[16:297] Atalus Bought CombatSuit
[16:297] Atalus Bought HazmatSuit
[16:870] Atalus Unlocked LongRangeIncinerators
[16:953] Atalus Unlocked Shieldsiotunlocked
[16:962] Atalus Unlocked AdvancedShieldSuit
[17:066] Atalus Unlocked SpecOpsBioMechanicalRepairDrone
[17:071] Atalus Unlocked RechargeDrone
[17:077] Atalus Unlocked CombatAccelerationDrone
[17:359] Atalus Placed/Upgraded HealingDrone
[19:795] Atalus Placed/Upgraded MiningDroid
[20:846] Atalus Placed/Upgraded HealingDrone
[21:047] Atalus Placed/Upgraded HealingDrone
[21:292] Atalus Placed/Upgraded HealingDrone
[23:280] Atalus Unlocked Stimpack
[23:403] Atalus Placed/Upgraded HealingDrone
[23:706] Atalus Placed/Upgraded HealingDrone
[31:153] Atalus Placed/Upgraded HealingDrone
[00:588] meTT Unlocked AssaultRifle
[00:677] meTT Placed MiningDroid
[03:929] meTT Unlocked AdvancedDroidEngines
[05:311] meTT Unlocked TurboDroidEngines
[07:368] meTT Unlocked Stimpack
[09:216] meTT Unlocked HellfireRocketLauncher
[09:229] meTT Unlocked SpecOpsHellfireRocketLauncher
[11:232] meTT Unlocked MotionSensor
[11:411] meTT Placed SensorTower
[12:121] meTT Unlocked BioMechanicalRepairDrone
[12:241] meTT Placed HealingDrone
[12:520] meTT Placed SensorTower
[12:934] meTT Unlocked ShockwaveMissiles
[13:861] meTT Placed SensorTower
[15:443] meTT Unlocked IncendiaryGrenade
[15:452] meTT Unlocked SpecOpsIncendiaryGrenade
[16:346] meTT Placed SensorTower
[16:716] meTT Placed HealingDrone
[16:954] meTT Bought ShieldSuit
[16:954] meTT Bought CombatSuit
[16:954] meTT Bought HazmatSuit
[16:954] meTT Bought ShieldSuit
[16:963] meTT Bought ShieldSuit
[17:667] meTT Unlocked PowerConverter
[18:895] meTT Unlocked CombatSuit
[19:018] meTT Unlocked AdvancedCombatSuit
[20:286] meTT Unlocked SpecOpsPowerConverter
[21:437] meTT Placed SensorTower
[23:766] meTT Placed SensorTower
[24:739] meTT Placed HealingDrone
[26:334] meTT Unlocked CombatShield
[26:337] meTT Unlocked EnergyPack
[26:343] meTT Unlocked AIAssistant
[28:816] meTT Unlocked SpecOpsBioMechanicalRepairDrone
[29:718] meTT Unlocked PsiDisrupter
[29:731] meTT Unlocked PsiDepressor
[29:887] meTT Placed PsiIndoctrinator
[30:534] meTT Placed HealingDrone
[32:848] meTT Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[00:632] Frosky Bought StrainSpeed
[02:497] Frosky Bought StrainHealth
[04:615] Frosky Bought PureStrainSpeed
[06:010] Frosky Bought PureStrainHealth
[07:595] Frosky Bought HunterlingStrain
[09:879] Frosky Bought UnlockDropPods
[10:719] Frosky Bought EvolveDropPods
[12:253] Frosky Bought EvolveDropPods
[14:276] Frosky Bought TankStrain
[16:449] Frosky Bought StrainDamage
[18:820] Frosky Bought EvolveDropPods
[18:823] Frosky Bought EvolveDropPods
[18:896] Frosky Bought ShieldSuit
[18:896] Frosky Bought CombatSuit
[18:896] Frosky Bought HazmatSuit
[18:896] Frosky Bought CombatSuit
[19:019] Frosky Bought CombatSuit
[20:570] Frosky Bought EvolveDropPods
[20:579] Frosky Bought EvolveDropPods
[21:661] Frosky Bought PureStrainDamage
[24:663] Frosky Bought CreepSpeed
[25:228] Frosky Bought DropshipsFueled
[25:587] Frosky Bought SweepingInfestation
[25:587] Frosky Bought UltimateInfestationResearched
[25:770] Frosky Placed/Upgraded NydusCanalCreeper
[28:260] Frosky Bought DefilerStrain
[28:910] Frosky Spawned MassiveCocoon
[28:967] Frosky Placed/Upgraded NydusCanalCreeper
[29:990] Frosky Spawned Underseer
[31:438] Frosky Bought SpawnNydusWorm
[31:506] Frosky Placed/Upgraded GreaterNydusWorm
[31:539] Frosky Placed/Upgraded NydusCanalCreeper
[32:141] Frosky Placed/Upgraded NydusCanalCreeper
[00:588] Zepherd Unlocked AssaultRifle
[01:285] Zepherd Unlocked AdvancedDroidEngines
[01:318] Zepherd Placed/Upgraded MiningDroid
[03:967] Zepherd Unlocked TurboDroidEngines
[06:507] Zepherd Unlocked Flamethrower
[07:286] Zepherd Unlocked SpecOpsFlamethrower
[08:924] Zepherd Unlocked CombatShield
[08:962] Zepherd Unlocked BioMechanicalRepairDrone
[09:215] Zepherd Placed/Upgraded HealingDrone
[10:202] Zepherd Placed/Upgraded HealingDrone
[10:433] Zepherd Placed/Upgraded HealingDrone
[12:104] Zepherd Unlocked CryoFreeze
[12:269] Zepherd Placed/Upgraded HealingDrone
[12:453] Zepherd Placed/Upgraded HealingDrone
[12:658] Zepherd Placed/Upgraded HealingDrone
[13:322] Zepherd Unlocked SpecOpsBioMechanicalRepairDrone
[13:376] Zepherd Placed/Upgraded HealingDrone
[13:563] Zepherd Placed/Upgraded HealingDrone
[13:673] Zepherd Unlocked OverloadWeapon
[14:614] Zepherd Unlocked QuantumBackpack
[14:632] Zepherd Unlocked AIAssistant
[14:782] Zepherd Placed/Upgraded HealingDrone
[15:114] Zepherd Placed/Upgraded HealingDrone
[15:754] Zepherd Placed/Upgraded HealingDrone
[16:866] Zepherd Unlocked Teleporter
[18:205] Zepherd Placed/Upgraded MiningDroid
[18:388] Zepherd Placed/Upgraded HealingDrone
[18:768] Zepherd Placed/Upgraded HealingDrone
[18:984] Zepherd Placed/Upgraded HealingDrone
[19:302] Zepherd Placed/Upgraded HealingDrone
[20:196] Zepherd Placed/Upgraded HealingDrone
[20:402] Zepherd Placed/Upgraded MiningDroid
[21:830] Zepherd Unlocked SpecOpsTeleporter
[22:728] Zepherd Placed/Upgraded HealingDrone
[24:444] Zepherd Unlocked MiningCharge
[24:499] Zepherd Unlocked AdvancedMiningCharge
[25:381] Zepherd Placed/Upgraded HealingDrone
[26:176] Zepherd Unlocked Shieldsiotunlocked
[26:657] Zepherd Unlocked AdvancedShieldSuit
[26:902] Zepherd Placed/Upgraded HealingDrone
[32:508] Zepherd Placed/Upgraded HealingDrone
[32:701] Zepherd Placed/Upgraded HealingDrone
[00:588] Sojourne Unlocked AssaultRifle
[00:724] Sojourne Placed/Upgraded MiningDroid
[00:829] Sojourne Unlocked AdvancedDroidEngines
[02:959] Sojourne Unlocked Flamethrower
[06:232] Sojourne Unlocked TurboDroidEngines
[07:626] Sojourne Unlocked ExplorationDroid
[07:673] Sojourne Placed/Upgraded ExplorationDroid
[07:689] Sojourne Placed/Upgraded ExplorationDroid
[08:927] Sojourne Unlocked SpecOpsFlamethrower
[09:499] Sojourne Placed/Upgraded ExplorationDroid
[10:595] Sojourne Unlocked SuperHealingDrone
[12:708] Sojourne Unlocked Stimpack
[13:684] Sojourne Unlocked CombatShield
[18:948] Sojourne Unlocked Shieldsiotunlocked
[19:087] Sojourne Unlocked ThermiteFilaments
[19:190] Sojourne Unlocked IncendiaryGrenade
[21:482] Sojourne Unlocked AdvancedShieldSuit
[24:276] Sojourne Unlocked BioMechanicalRepairDrone
[24:359] Sojourne Placed/Upgraded HealingDrone
[25:454] Sojourne Placed/Upgraded HealingDrone
[25:678] Sojourne Unlocked AutoTurret
[25:720] Sojourne Unlocked HeavyTurret
[25:846] Sojourne Placed/Upgraded AutoTurret
[26:124] Sojourne Placed/Upgraded AutoTurret
[26:177] Sojourne Bought ShieldSuit
[26:177] Sojourne Bought CombatSuit
[26:177] Sojourne Bought HazmatSuit
[26:177] Sojourne Bought ShieldSuit
[26:658] Sojourne Bought ShieldSuit
[27:585] Sojourne Placed/Upgraded AutoTurret
[29:171] Sojourne Placed/Upgraded AutoTurret
[29:568] Sojourne Placed/Upgraded AutoTurret
[31:361] Sojourne Placed/Upgraded AutoTurret
[33:138] Sojourne Placed/Upgraded AutoTurret
[00:588] NipsPerKing Unlocked AssaultRifle
[00:954] NipsPerKing Unlocked AdvancedDroidEngines
[02:739] NipsPerKing Unlocked Stimpack
[05:557] NipsPerKing Unlocked BeamRifle
[05:681] NipsPerKing Unlocked EnergySuit
[05:682] NipsPerKing Unlocked EnergySuit
[07:069] NipsPerKing Unlocked CombatSuit
[07:070] NipsPerKing Unlocked EnergySuit
[09:069] NipsPerKing Unlocked PsiDisrupter
[09:916] NipsPerKing Unlocked BioMechanicalRepairDrone
[12:737] NipsPerKing Unlocked CombatAccelerationDrone
[14:637] NipsPerKing Unlocked AIAssistant
[16:962] NipsPerKing Unlocked AdvancedCombatSuit
[17:005] NipsPerKing Unlocked SpecOpsPlasmaRifle
[18:949] NipsPerKing Bought ShieldSuit
[18:949] NipsPerKing Bought CombatSuit
[18:949] NipsPerKing Bought HazmatSuit
[18:949] NipsPerKing Bought ShieldSuit
[21:483] NipsPerKing Bought ShieldSuit
[26:906] NipsPerKing Unlocked AutoTurret
[28:689] NipsPerKing Unlocked HeavyTurret
[05:682] Security Bought ShieldSuit
[05:682] Security Bought CombatSuit
[05:682] Security Bought HazmatSuit
[07:070] Security Bought ShieldSuit
[07:070] Security Bought CombatSuit
[07:070] Security Bought HazmatSuit
[07:070] Security Bought CombatSuit
Frosky First Alpha Underseer |  Loss

Frosky Placed 1 Greaters.
