Analyzed: Oh No It's Zombies Arctic Updated (515)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: BlueSpaceCat Race: Terran
ID : 2 PlayerName: Ascherit Race: Terran
ID : 3 PlayerName: MordredHoper Race: Terran
ID : 4 PlayerName: Ahanax Race: Terran
ID : 5 PlayerName: Zepherd Race: Terran
ID : 6 PlayerName: HornyHumplar Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Frosky Zombie Loss
Private Lobby

Game Length:[32:996]
Players ammount: 8
Marine rank avg: 9,333333333333334
GrandMaster ammount: 5
PURCHASES: 
[00:641] Frosky Spawned MassiveCocoon
[02:081] Frosky Spawned Hunter
[03:023] Frosky Placed/Upgraded ToxicNest
[03:028] Frosky Placed/Upgraded ToxicNest
[03:160] Frosky Bought StrainDamage
[04:351] Frosky Bought StrainSpeed
[05:890] Frosky Spawned MassiveCocoon
[07:330] Frosky Spawned PrimalTownHallUprooted
[08:604] Frosky Bought CreepSpeed
[11:292] Frosky Placed/Upgraded PrimalSunkenColony
[11:293] Frosky Bought SunkenColony
[11:787] Frosky Bought SunkenColony
[11:904] Frosky Placed/Upgraded PrimalSunkenColony
[11:905] Frosky Bought SunkenColony
[12:409] Frosky Bought PureStrainSpeed
[13:925] Frosky Spawned MassiveCocoon
[15:365] Frosky Spawned Anubalisk
[16:281] Frosky Bought BuildExtractorProcessingFacilities
[16:281] Frosky Placed/Upgraded AutomatedExtractor
[16:302] Frosky Bought BuildExtractorScienceLabs
[16:302] Frosky Placed/Upgraded AutomatedExtractor
[17:121] Frosky Bought ExtractorCostReductionProcessingFacilities
[17:121] Frosky Bought BuildExtractorProcessingFacilities
[17:460] Frosky Bought BuildExtractorScienceLabs
[18:651] Frosky Spawned MassiveCocoon
[20:091] Frosky Spawned Anubalisk
[21:158] Frosky Bought UnlockDropPods
[21:163] Frosky Bought EvolveDropPods
[21:166] Frosky Bought EvolveDropPods
[21:169] Frosky Bought EvolveDropPods
[22:843] Frosky Bought VirulentCreep
[23:148] Frosky Bought DropshipsFueled
[23:220] Frosky Bought UltimateInfestationResearched
[23:544] Frosky Bought GreaterNydus
[23:617] Frosky Bought GreaterNydus
[24:027] Frosky Bought GreaterNydus
[24:375] Frosky Spawned MassiveCocoon
[24:408] Frosky Bought CreepSpeed
[25:179] Frosky Bought GreaterNydus
[25:214] Frosky Bought EvolveDropPods
[25:416] Frosky Bought GreaterNydus
[25:454] Frosky Spawned Underseer
[25:896] Frosky Spawned MassiveCocoon
[26:508] Frosky Placed/Upgraded NydusCanalCreeper
[27:336] Frosky Spawned Anubalisk
[27:498] Frosky Bought EvolveDropPods
[27:503] Frosky Bought EvolveDropPods
[27:745] Frosky Placed/Upgraded NydusCanalCreeper
[28:415] Frosky Bought GreaterNydus
[28:995] Frosky Bought HunterlingStrain
[29:011] Frosky Bought PureStrainDamage
[29:809] Frosky Bought GreaterNydus
[31:096] Frosky Bought GreaterNydus
[31:621] Frosky Bought DefilerStrain
[31:628] Frosky Bought StrainDamage
[31:640] Frosky Bought StrainHealth
[31:650] Frosky Bought PureStrainDamage
[00:588] BlueSpaceCat Unlocked AssaultRifle
[00:938] BlueSpaceCat Unlocked ArcWelder
[05:515] BlueSpaceCat Unlocked MedicShield
[07:263] BlueSpaceCat Unlocked Shieldsiotunlocked
[07:264] BlueSpaceCat Unlocked ShieldSuit
[07:264] BlueSpaceCat Unlocked AdvancedShieldSuit
[07:264] BlueSpaceCat Unlocked CombatSuit
[07:264] BlueSpaceCat Unlocked AdvancedCombatSuit
[07:264] BlueSpaceCat Unlocked HazmatSuit
[07:264] BlueSpaceCat Unlocked AdvancedHazmatSuit
[07:264] BlueSpaceCat Unlocked ShieldSuit
[00:588] Ascherit Unlocked AssaultRifle
[00:836] Ascherit Unlocked ArcWelder
[00:993] Ascherit Placed/Upgraded MiningDroid
[02:190] Ascherit Unlocked BioMechanicalRepairDrone
[02:206] Ascherit Unlocked CombatAccelerationDrone
[02:309] Ascherit Placed/Upgraded HealingDrone
[02:942] Ascherit Placed/Upgraded HealingDrone
[03:506] Ascherit Placed/Upgraded HealingDrone
[04:040] Ascherit Unlocked AdvancedDroidEngines
[04:961] Ascherit Unlocked MotionSensor
[05:109] Ascherit Placed/Upgraded SensorTower
[06:427] Ascherit Unlocked Stimpack
[07:724] Ascherit Unlocked TurboDroidEngines
[08:977] Ascherit Unlocked AutoTurret
[09:000] Ascherit Unlocked HeavyTurret
[09:108] Ascherit Unlocked QuantumBackpack
[09:439] Ascherit Placed/Upgraded AutoTurret
[09:591] Ascherit Placed/Upgraded AutoTurret
[10:144] Ascherit Placed/Upgraded AutoTurret
[10:482] Ascherit Placed/Upgraded AutoTurret
[10:691] Ascherit Placed/Upgraded SensorTower
[10:834] Ascherit Placed/Upgraded AutoTurret
[12:133] Ascherit Unlocked EnergySuit
[12:134] Ascherit Unlocked ShieldSuit
[12:134] Ascherit Unlocked AdvancedShieldSuit
[12:134] Ascherit Unlocked CombatSuit
[12:134] Ascherit Unlocked AdvancedCombatSuit
[12:134] Ascherit Unlocked HazmatSuit
[12:134] Ascherit Unlocked AdvancedHazmatSuit
[12:134] Ascherit Unlocked EnergySuit
[12:238] Ascherit Unlocked SpecOpsArcWelder
[12:522] Ascherit Placed/Upgraded AutoTurret
[12:638] Ascherit Placed/Upgraded AutoTurret
[12:733] Ascherit Placed/Upgraded HealingDrone
[13:516] Ascherit Placed/Upgraded AutoTurret
[13:608] Ascherit Placed/Upgraded AutoTurret
[13:882] Ascherit Unlocked MiningCharge
[13:890] Ascherit Unlocked AdvancedMiningCharge
[14:011] Ascherit Placed/Upgraded NukePack
[14:031] Ascherit Placed/Upgraded AutoTurret
[14:541] Ascherit Placed/Upgraded AutoTurret
[15:855] Ascherit Unlocked PsiDisrupter
[15:979] Ascherit Placed/Upgraded NukePack
[16:214] Ascherit Placed/Upgraded PsiIndoctrinator
[16:430] Ascherit Placed/Upgraded HealingDrone
[16:776] Ascherit Placed/Upgraded NukePack
[16:942] Ascherit Placed/Upgraded AutoTurret
[17:065] Ascherit Placed/Upgraded AutoTurret
[17:607] Ascherit Placed/Upgraded AutoTurret
[17:942] Ascherit Placed/Upgraded AutoTurret
[18:393] Ascherit Placed/Upgraded NukePack
[18:651] Ascherit Placed/Upgraded AutoTurret
[18:825] Ascherit Placed/Upgraded AutoTurret
[19:016] Ascherit Placed/Upgraded AutoTurret
[19:218] Ascherit Placed/Upgraded AutoTurret
[19:511] Ascherit Placed/Upgraded AutoTurret
[19:774] Ascherit Placed/Upgraded HealingDrone
[19:840] Ascherit Placed/Upgraded NukePack
[19:912] Ascherit Placed/Upgraded AutoTurret
[20:426] Ascherit Placed/Upgraded NukePack
[20:506] Ascherit Placed/Upgraded AutoTurret
[20:857] Ascherit Placed/Upgraded AutoTurret
[21:396] Ascherit Placed/Upgraded AutoTurret
[22:010] Ascherit Placed/Upgraded MiningDroid
[22:216] Ascherit Placed/Upgraded AutoTurret
[22:736] Ascherit Placed/Upgraded NukePack
[23:661] Ascherit Placed/Upgraded AutoTurret
[23:846] Ascherit Placed/Upgraded HealingDrone
[24:017] Ascherit Placed/Upgraded HealingDrone
[24:237] Ascherit Placed/Upgraded PsiIndoctrinator
[24:299] Ascherit Unlocked PsiDepressor
