Analyzed: Oh No It's Zombies Arctic Updated (516)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Wasp Race: Terran
ID : 2 PlayerName: Zepherd Race: Terran
ID : 3 PlayerName: DaNuSkA Race: Terran
ID : 4 PlayerName: MIGUELON Race: Terran
ID : 5 PlayerName: SilverWolf Race: Terran
ID : 6 PlayerName: Hivetyrant Race: Zerg
ID : 7 PlayerName: Security Race: Protoss
Hivetyrant Zombie Win
Public Lobby

Game Length:[45:653]
Players ammount: 8
Marine rank avg: 12
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[02:131] Frosky Unlocked AdvancedDroidEngines
[05:277] Frosky Unlocked TurboDroidEngines
[06:229] Frosky Unlocked Flamethrower
[07:666] Frosky Unlocked SpecOpsFlamethrower
[08:769] Frosky Unlocked ExplorationDroid
[08:859] Frosky Placed/Upgraded ExplorationDroid
[08:904] Frosky Placed/Upgraded ExplorationDroid
[09:026] Frosky Placed/Upgraded ExplorationDroid
[10:356] Frosky Unlocked Stimpack
[12:721] Frosky Unlocked MedicShield
[12:789] Frosky Unlocked CryoFreeze
[13:103] Frosky Unlocked BioMechanicalRepairDrone
[13:500] Frosky Placed/Upgraded HealingDrone
[14:060] Frosky Placed/Upgraded HealingDrone
[14:388] Frosky Placed/Upgraded HealingDrone
[16:676] Frosky Unlocked HazmatSuit
[16:681] Frosky Unlocked AdvancedHazmatSuit
[18:622] Frosky Placed/Upgraded HealingDrone
[19:112] Frosky Placed/Upgraded HealingDrone
[19:526] Frosky Placed/Upgraded HealingDrone
[22:301] Frosky Placed/Upgraded MiningDroid
[23:250] Frosky Unlocked CombatShield
[23:576] Frosky Placed/Upgraded HealingDrone
[23:902] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[25:332] Frosky Placed/Upgraded HealingDrone
[26:645] Frosky Placed/Upgraded HealingDrone
[27:561] Frosky Placed/Upgraded HealingDrone
[29:084] Frosky Placed/Upgraded MiningDroid
[29:613] Frosky Placed/Upgraded HealingDrone
[31:521] Frosky Unlocked AIAssistant
[31:819] Frosky Placed/Upgraded HealingDrone
[31:919] Frosky Unlocked AutoTurret
[32:409] Frosky Placed/Upgraded HealingDrone
[33:271] Frosky Placed/Upgraded AutoTurret
[34:536] Frosky Placed/Upgraded MiningDroid
[34:773] Frosky Placed/Upgraded AutoTurret
[37:978] Frosky Unlocked HeavyTurret
[38:018] Frosky Unlocked QuantumBackpack
[38:254] Frosky Placed/Upgraded AutoTurret
[38:431] Frosky Placed/Upgraded AutoTurret
[39:075] Frosky Placed/Upgraded AutoTurret
[39:440] Frosky Placed/Upgraded HealingDrone
[39:989] Frosky Placed/Upgraded HealingDrone
[40:231] Frosky Placed/Upgraded HealingDrone
[00:588] Wasp Unlocked AssaultRifle
[00:667] Wasp Placed/Upgraded MiningDroid
[03:125] Wasp Unlocked HellfireRocketLauncher
[03:533] Wasp Unlocked SpecOpsHellfireRocketLauncher
[05:266] Wasp Unlocked ShockwaveMissiles
[06:347] Wasp Unlocked CombatSuit
[08:908] Wasp Unlocked CombatShield
[08:924] Wasp Unlocked MedicShield
[08:960] Wasp Unlocked AIAssistant
[10:826] Wasp Unlocked EnergyPack
[14:777] Wasp Unlocked AdvancedCombatSuit
[14:829] Wasp Unlocked Teleporter
[16:677] Wasp Bought ShieldSuit
[16:677] Wasp Bought CombatSuit
[16:677] Wasp Bought HazmatSuit
[16:677] Wasp Bought HazmatSuit
[16:682] Wasp Bought HazmatSuit
[16:795] Wasp Unlocked SpecOpsTeleporter
