Analyzed: Oh No It's Zombies Arctic Updated (518)

ID : 0 PlayerName: Casual Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: Wasp Race: Terran
ID : 3 PlayerName: BarcodesOP Race: Terran
ID : 4 PlayerName: Thejosh Race: Terran
ID : 5 PlayerName: GreyWanderer Race: Terran
ID : 6 PlayerName: SilverWolf Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Frosky Zombie Win
Public Lobby

Game Length:[36:913]
Players ammount: 8
Marine rank avg: 8,666666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:588] Casual Unlocked AssaultRifle
[01:032] Casual Unlocked SpecOpsAssaultRifle
[01:093] Casual Placed MiningDroid
[04:157] Casual Unlocked Bayonette
[05:872] Casual Unlocked Shieldsiotunlocked
[07:565] Casual Unlocked AdvancedShieldSuit
[11:075] Casual Unlocked PsiDisrupter
[11:609] Casual Placed PsiIndoctrinator
[15:299] Casual Unlocked AdvancedDroidEngines
[19:413] Casual Unlocked BioMechanicalRepairDrone
[23:558] Casual Unlocked FlashBang
[23:566] Casual Unlocked SpecOpsFlashbang
[33:345] Casual Placed HealingDrone
[33:585] Casual Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[01:362] Frosky Spawned MassiveCocoon
[02:802] Frosky Spawned Hunter
[02:948] Frosky Placed/Upgraded ToxicNest
[02:965] Frosky Placed/Upgraded ToxicNest
[03:084] Frosky Placed/Upgraded ToxicNest
[03:204] Frosky Spawned MassiveCocoon
[03:654] Frosky Placed/Upgraded ToxicNest
[04:644] Frosky Spawned Hunter
[04:819] Frosky Placed/Upgraded ToxicNest
[05:209] Frosky Spawned MassiveCocoon
[05:873] Frosky Bought ShieldSuit
[05:873] Frosky Bought CombatSuit
[05:873] Frosky Bought HazmatSuit
[05:873] Frosky Bought ShieldSuit
[06:285] Frosky Bought CreepSpeed
[06:649] Frosky Spawned PrimalTownHallUprooted
[07:477] Frosky Bought BuildExtractorScienceLabs
[07:477] Frosky Placed/Upgraded AutomatedExtractor
[07:566] Frosky Bought ShieldSuit
[07:907] Frosky Spawned MassiveCocoon
[09:347] Frosky Spawned Anubalisk
[09:811] Frosky Bought BuildExtractorScienceLabs
[11:669] Frosky Bought UnlockDropPods
[11:682] Frosky Bought EvolveDropPods
[11:685] Frosky Bought EvolveDropPods
[11:687] Frosky Bought EvolveDropPods
[14:715] Frosky Bought BuildExtractorManufacturingSector
[14:715] Frosky Placed/Upgraded AutomatedExtractor
[15:105] Frosky Bought BuildExtractorProcessingFacilities
[15:105] Frosky Placed/Upgraded AutomatedExtractor
[15:213] Frosky Placed/Upgraded Virophage
[16:975] Frosky Bought StrainSpeed
[16:986] Frosky Bought PureStrainSpeed
[18:607] Frosky Bought HunterlingStrain
[18:734] Frosky Bought AdvancedInfestationContainment
[19:668] Frosky Bought EvolveDropPods
[19:672] Frosky Bought EvolveDropPods
[19:675] Frosky Bought EvolveDropPods
[20:323] Frosky Bought StrainSpeed
[21:027] Frosky Placed/Upgraded PrimalSunkenColony
[21:028] Frosky Bought SunkenColony
[21:311] Frosky Bought ExtractorCostReductionProcessingFacilities
[21:311] Frosky Bought BuildExtractorProcessingFacilities
[21:804] Frosky Bought PureStrainSpeed
[21:813] Frosky Bought StrainHealth
[21:823] Frosky Bought StrainSpeed
[22:280] Frosky Bought SiphonFuel
[22:442] Frosky Bought BuildExtractorExcavationZone
[22:442] Frosky Placed/Upgraded AutomatedExtractor
[23:043] Frosky Bought BuildExtractorScienceLabs
[23:043] Frosky Placed/Upgraded AutomatedExtractor
[23:454] Frosky Bought SunkenColony
[23:629] Frosky Placed/Upgraded Virophage
[25:194] Frosky Bought StrainVolatile
[25:205] Frosky Bought PureStrainVolatile
[25:808] Frosky Bought SiphonFuel
